2.368s,3.182s,1.817s,7.368s,1.686s
1.100s,2.847s,1.683s,5.631s,1.667s
1.069s,2.757s,1.531s,5.357s,1.517s
1.064s,2.655s,1.519s,5.238s,1.507s
1.061s,2.710s,1.530s,5.302s,1.518s
1.082s,2.783s,1.528s,5.394s,1.511s
1.088s,2.755s,1.709s,5.554s,1.695s
1.073s,2.946s,1.538s,5.559s,1.527s
1.087s,2.674s,1.705s,5.467s,1.692s
1.078s,2.996s,1.566s,5.641s,1.551s
1.061s,2.659s,1.658s,5.379s,1.646s
1.066s,2.746s,1.696s,5.510s,1.681s
1.073s,2.692s,1.718s,5.483s,1.704s
1.071s,2.654s,1.524s,5.250s,1.510s
1.088s,2.819s,1.539s,5.447s,1.526s
1.075s,2.613s,1.526s,5.215s,1.514s
1.084s,2.871s,1.754s,5.710s,1.742s
1.070s,2.682s,1.534s,5.287s,1.521s
1.069s,2.806s,1.572s,5.447s,1.559s
1.080s,2.889s,1.507s,5.477s,1.494s
1.052s,2.746s,1.662s,5.461s,1.646s
1.099s,2.768s,1.686s,5.554s,1.677s
1.066s,3.032s,1.778s,5.877s,1.764s
1.065s,2.736s,1.553s,5.356s,1.539s
1.071s,2.706s,1.576s,5.354s,1.561s
1.062s,2.627s,1.544s,5.234s,1.531s
1.055s,2.741s,1.527s,5.324s,1.515s
1.057s,2.744s,1.713s,5.514s,1.700s
1.061s,2.798s,1.716s,5.576s,1.701s
1.085s,2.771s,1.523s,5.380s,1.509s
1.096s,2.998s,1.524s,5.619s,1.508s
1.062s,2.782s,1.744s,5.589s,1.730s
1.063s,2.734s,1.751s,5.549s,1.739s
1.058s,2.754s,1.563s,5.376s,1.544s
1.055s,2.934s,1.720s,5.709s,1.703s
1.059s,2.901s,1.560s,5.521s,1.545s
1.067s,2.962s,1.530s,5.560s,1.516s
1.098s,2.694s,1.705s,5.498s,1.693s
1.074s,3.076s,1.574s,5.725s,1.559s
1.069s,2.754s,1.776s,5.600s,1.763s
1.052s,2.821s,1.553s,5.427s,1.538s
1.065s,2.854s,1.530s,5.450s,1.515s
1.051s,2.921s,1.770s,5.743s,1.758s
1.047s,2.768s,1.523s,5.338s,1.510s
1.080s,2.833s,1.512s,5.426s,1.499s
1.091s,2.722s,1.550s,5.364s,1.536s
1.075s,2.783s,1.507s,5.365s,1.493s
1.073s,2.868s,1.521s,5.464s,1.507s
1.073s,2.757s,1.727s,5.558s,1.714s
1.065s,2.969s,1.725s,5.760s,1.710s
1.066s,3.034s,1.505s,5.605s,1.493s
1.180s,2.870s,1.544s,5.596s,1.530s
1.100s,2.819s,1.563s,5.484s,1.550s
1.163s,2.849s,1.788s,5.801s,1.772s
1.094s,3.144s,1.757s,5.996s,1.744s
