1.100s,2.762s,1.870s,5.733s,1.853s
1.065s,2.800s,1.929s,5.796s,1.895s
1.070s,2.883s,1.906s,5.860s,1.881s
1.077s,2.740s,1.948s,5.767s,1.913s
1.082s,2.839s,1.939s,5.861s,1.918s
1.065s,2.886s,1.969s,5.921s,1.930s
1.078s,2.771s,1.953s,5.803s,1.936s
1.098s,2.949s,1.892s,5.940s,1.864s
1.043s,2.927s,1.927s,5.898s,1.893s
1.057s,2.812s,2.018s,5.889s,1.984s
1.071s,2.709s,1.871s,5.652s,1.854s
1.075s,2.816s,1.944s,5.837s,1.928s
1.062s,2.876s,1.942s,5.881s,1.910s
1.057s,2.905s,1.938s,5.901s,1.909s
1.083s,2.828s,1.965s,5.877s,1.935s
1.066s,2.745s,1.885s,5.697s,1.855s
1.067s,2.724s,1.885s,5.676s,1.862s
1.058s,2.989s,1.899s,5.947s,1.883s
1.050s,2.787s,1.966s,5.805s,1.950s
1.074s,2.837s,1.943s,5.854s,1.928s
1.072s,2.908s,1.898s,5.879s,1.869s
1.084s,2.875s,1.803s,5.762s,1.787s
1.075s,2.692s,1.903s,5.670s,1.891s
1.060s,2.920s,1.967s,5.948s,1.937s
1.048s,2.758s,1.903s,5.710s,1.874s
1.078s,2.696s,1.917s,5.692s,1.886s
1.074s,2.930s,1.965s,5.970s,1.930s
1.091s,2.780s,1.906s,5.777s,1.873s
1.158s,2.714s,1.913s,5.786s,1.896s
1.073s,2.789s,1.987s,5.849s,1.957s
1.083s,2.823s,1.867s,5.774s,1.852s
1.075s,2.835s,1.889s,5.800s,1.864s
1.104s,2.692s,1.887s,5.683s,1.865s
1.053s,2.865s,1.769s,5.688s,1.747s
1.062s,3.007s,2.073s,6.144s,1.941s
1.097s,2.841s,1.775s,5.714s,1.752s
1.123s,2.781s,1.909s,5.814s,1.882s
1.070s,2.813s,1.989s,5.872s,1.960s
1.057s,2.750s,1.943s,5.751s,1.921s
1.074s,2.737s,1.948s,5.760s,1.917s
1.067s,2.906s,1.938s,5.912s,1.910s
1.061s,2.849s,1.929s,5.840s,1.899s
1.043s,2.742s,1.784s,5.570s,1.748s
1.063s,3.009s,1.963s,6.036s,1.945s
1.091s,2.883s,2.009s,5.985s,1.996s
1.083s,2.951s,1.926s,5.961s,1.910s
1.080s,3.073s,1.914s,6.068s,1.895s
1.071s,2.941s,1.951s,5.964s,1.921s
1.008s,2.973s,1.963s,5.945s,1.945s
1.000s,2.739s,1.968s,5.708s,1.946s
994ms,2.966s,1.934s,5.896s,1.902s
989ms,2.969s,1.911s,5.870s,1.885s
1.001s,2.885s,1.900s,5.787s,1.883s
991ms,2.786s,1.978s,5.756s,1.949s
1.001s,2.794s,2.062s,5.859s,2.042s
