2.507s,2.817s,2.061s,7.387s,2.035s
1.079s,2.893s,1.872s,5.845s,1.834s
1.066s,2.745s,1.980s,5.792s,1.955s
1.070s,2.663s,1.972s,5.705s,1.953s
1.063s,2.819s,2.084s,5.967s,2.055s
1.108s,2.727s,1.989s,5.824s,1.947s
1.053s,2.802s,2.103s,5.960s,1.934s
1.163s,3.056s,1.993s,6.212s,1.959s
1.080s,2.934s,2.007s,6.022s,1.980s
1.071s,2.822s,2.123s,6.017s,2.096s
1.074s,2.883s,2.002s,5.961s,1.974s
1.087s,2.675s,1.929s,5.692s,1.897s
1.067s,2.923s,2.010s,6.002s,1.985s
1.077s,2.770s,1.981s,5.829s,1.952s
1.077s,2.729s,2.184s,5.992s,2.043s
1.080s,2.833s,1.983s,5.897s,1.953s
1.072s,2.858s,1.982s,5.912s,1.954s
1.058s,2.716s,1.993s,5.768s,1.967s
1.121s,2.872s,1.957s,5.951s,1.931s
1.087s,2.831s,2.076s,5.995s,2.045s
1.110s,2.795s,1.969s,5.875s,1.939s
1.088s,2.723s,2.073s,5.885s,2.050s
1.070s,2.910s,1.955s,5.936s,1.940s
1.076s,2.722s,2.157s,5.956s,2.015s
1.070s,2.737s,2.067s,5.875s,2.036s
1.067s,2.908s,1.977s,5.953s,1.946s
1.063s,2.896s,2.006s,5.966s,1.967s
1.061s,2.635s,2.001s,5.698s,1.970s
1.069s,2.841s,2.040s,5.951s,2.009s
1.106s,3.003s,1.845s,5.955s,1.826s
1.077s,2.896s,2.011s,5.985s,1.991s
1.074s,2.933s,2.104s,6.112s,2.075s
1.071s,2.956s,2.000s,6.028s,1.962s
1.043s,2.878s,2.053s,5.975s,2.024s
1.046s,2.640s,2.078s,5.765s,2.052s
1.069s,2.867s,1.995s,5.932s,1.971s
1.067s,2.628s,1.991s,5.688s,1.956s
1.063s,2.685s,2.025s,5.774s,1.990s
1.074s,2.696s,2.031s,5.802s,1.998s
1.071s,2.848s,2.123s,6.043s,2.073s
1.097s,2.756s,1.993s,5.847s,1.969s
1.115s,2.734s,2.063s,5.913s,2.031s
1.065s,2.996s,2.003s,6.065s,1.974s
1.059s,2.702s,2.238s,6.000s,2.100s
1.067s,2.778s,2.057s,5.904s,2.030s
1.084s,2.801s,2.023s,5.909s,1.990s
1.062s,2.777s,2.062s,5.902s,2.036s
1.077s,2.849s,1.831s,5.758s,1.795s
1.138s,2.813s,1.989s,5.941s,1.968s
1.156s,2.849s,2.102s,6.107s,2.070s
1.126s,2.819s,2.013s,5.959s,1.980s
1.049s,2.798s,2.118s,5.967s,2.087s
1.078s,3.004s,2.086s,6.169s,2.055s
1.067s,2.978s,2.002s,6.048s,1.975s
1.091s,2.872s,2.067s,6.031s,2.038s
