1.097s,2.803s,1.465s,5.367s,1.453s
1.067s,2.733s,1.687s,5.488s,1.675s
1.076s,2.753s,1.520s,5.349s,1.508s
1.040s,2.742s,1.472s,5.256s,1.458s
1.067s,2.713s,1.467s,5.247s,1.454s
1.115s,3.008s,1.533s,5.657s,1.518s
1.070s,2.748s,1.741s,5.560s,1.726s
1.098s,2.828s,1.507s,5.434s,1.484s
1.108s,2.736s,1.710s,5.554s,1.696s
1.074s,2.831s,1.784s,5.690s,1.773s
1.056s,2.729s,1.479s,5.265s,1.466s
1.066s,2.652s,1.515s,5.235s,1.503s
1.059s,2.727s,1.672s,5.460s,1.659s
1.064s,2.751s,1.481s,5.297s,1.467s
1.074s,2.758s,1.487s,5.320s,1.476s
1.060s,2.847s,1.479s,5.386s,1.468s
1.063s,2.883s,1.566s,5.513s,1.551s
1.065s,2.680s,1.741s,5.488s,1.722s
1.064s,2.640s,1.479s,5.184s,1.469s
1.069s,2.713s,1.505s,5.288s,1.495s
1.065s,2.737s,1.509s,5.313s,1.496s
1.068s,2.694s,1.473s,5.236s,1.460s
1.056s,2.894s,1.490s,5.441s,1.480s
1.060s,2.756s,1.488s,5.306s,1.477s
1.070s,2.845s,1.468s,5.385s,1.458s
1.079s,2.826s,1.470s,5.376s,1.458s
1.064s,2.633s,1.708s,5.406s,1.697s
1.094s,2.694s,1.478s,5.267s,1.466s
1.084s,2.905s,1.661s,5.651s,1.648s
1.067s,2.750s,1.473s,5.291s,1.458s
1.050s,2.708s,1.482s,5.241s,1.472s
1.077s,2.807s,1.528s,5.413s,1.513s
1.071s,2.741s,1.531s,5.344s,1.519s
1.069s,2.679s,1.693s,5.442s,1.680s
1.063s,2.622s,1.516s,5.202s,1.505s
1.045s,2.861s,1.732s,5.639s,1.719s
1.067s,2.595s,1.480s,5.143s,1.467s
1.102s,2.845s,1.499s,5.447s,1.484s
1.066s,2.664s,1.554s,5.285s,1.540s
1.047s,2.682s,1.509s,5.238s,1.479s
1.077s,2.830s,1.508s,5.416s,1.494s
1.098s,2.821s,1.480s,5.400s,1.469s
1.083s,2.764s,1.525s,5.373s,1.511s
1.101s,2.921s,1.553s,5.576s,1.541s
1.081s,2.717s,1.746s,5.545s,1.735s
1.068s,2.842s,1.715s,5.626s,1.702s
1.096s,2.688s,1.503s,5.288s,1.478s
1.102s,2.672s,1.513s,5.288s,1.500s
1.100s,2.830s,1.750s,5.680s,1.739s
1.145s,2.794s,1.521s,5.460s,1.504s
1.092s,2.634s,1.553s,5.280s,1.540s
1.087s,2.840s,1.688s,5.616s,1.675s
1.054s,2.833s,1.484s,5.372s,1.469s
1.054s,2.688s,1.756s,5.499s,1.733s
1.061s,2.720s,1.695s,5.477s,1.681s
