2.800s,3.020s,6.845s,12.666s,6.818s
1.067s,2.840s,6.833s,10.741s,6.695s
1.067s,2.917s,6.804s,10.789s,6.775s
1.065s,2.686s,6.777s,10.529s,6.750s
1.056s,2.669s,6.997s,10.724s,6.851s
1.079s,2.811s,6.936s,10.828s,6.887s
1.083s,2.742s,6.929s,10.756s,6.781s
1.117s,2.730s,6.844s,10.693s,6.808s
1.061s,2.752s,6.897s,10.711s,6.855s
1.082s,2.701s,6.823s,10.608s,6.797s
1.054s,2.617s,6.781s,10.453s,6.752s
1.078s,2.911s,6.765s,10.755s,6.734s
1.071s,2.896s,6.822s,10.791s,6.792s
1.057s,2.873s,6.779s,10.710s,6.752s
1.051s,2.711s,6.842s,10.606s,6.816s
1.067s,2.800s,7.036s,10.904s,6.875s
1.072s,2.788s,6.878s,10.739s,6.851s
1.083s,2.771s,6.963s,10.818s,6.931s
1.112s,2.795s,6.750s,10.659s,6.711s
1.064s,2.890s,6.762s,10.718s,6.734s
1.062s,2.731s,6.881s,10.676s,6.737s
1.075s,2.933s,6.852s,10.860s,6.828s
1.079s,2.795s,6.913s,10.788s,6.890s
1.106s,2.692s,6.828s,10.627s,6.801s
1.082s,2.741s,6.992s,10.816s,6.829s
1.057s,2.791s,6.726s,10.575s,6.701s
1.060s,2.669s,6.766s,10.496s,6.735s
1.054s,2.628s,6.858s,10.540s,6.830s
1.076s,2.840s,6.790s,10.707s,6.761s
1.081s,2.728s,6.823s,10.633s,6.794s
1.132s,2.841s,6.830s,10.804s,6.751s
1.069s,2.646s,6.831s,10.547s,6.803s
1.054s,2.790s,6.911s,10.757s,6.764s
1.070s,2.845s,7.051s,10.967s,6.910s
1.081s,2.866s,6.957s,10.905s,6.915s
1.064s,2.870s,6.808s,10.743s,6.783s
1.079s,2.773s,6.782s,10.634s,6.760s
1.060s,2.863s,6.814s,10.738s,6.796s
1.064s,2.645s,6.844s,10.554s,6.821s
1.087s,2.807s,6.980s,10.876s,6.927s
1.061s,2.775s,6.876s,10.714s,6.850s
1.106s,2.884s,6.843s,10.834s,6.810s
1.070s,2.929s,6.831s,10.832s,6.768s
1.061s,2.651s,6.725s,10.438s,6.699s
1.084s,2.681s,6.938s,10.704s,6.803s
1.076s,2.573s,7.130s,10.780s,6.981s
1.098s,2.694s,6.995s,10.788s,6.837s
1.083s,2.706s,6.783s,10.573s,6.757s
1.098s,2.810s,6.841s,10.750s,6.807s
1.072s,2.845s,6.977s,10.896s,6.836s
1.068s,2.841s,6.889s,10.798s,6.859s
1.092s,2.778s,6.776s,10.646s,6.748s
1.052s,2.773s,6.819s,10.646s,6.791s
1.044s,2.815s,6.920s,10.780s,6.886s
1.082s,2.779s,6.902s,10.764s,6.874s
