1.089s,2.749s,2.046s,5.885s,2.014s
1.073s,2.692s,2.053s,5.819s,2.025s
1.066s,2.731s,2.025s,5.823s,1.999s
1.058s,2.653s,2.059s,5.772s,2.026s
1.061s,2.735s,2.087s,5.883s,2.062s
1.054s,2.846s,2.008s,5.909s,1.991s
1.061s,2.683s,1.820s,5.565s,1.796s
1.063s,2.850s,2.059s,5.974s,2.029s
1.062s,2.869s,2.035s,5.967s,2.004s
1.055s,2.685s,2.141s,5.882s,2.114s
1.064s,2.757s,2.075s,5.896s,2.049s
1.065s,2.744s,2.041s,5.851s,2.023s
1.058s,2.912s,2.066s,6.036s,2.037s
1.062s,2.768s,2.061s,5.892s,2.035s
1.072s,2.801s,2.120s,5.994s,2.085s
1.064s,2.923s,2.029s,6.017s,1.991s
1.073s,2.931s,2.075s,6.079s,2.047s
1.069s,2.722s,2.044s,5.837s,2.017s
1.071s,2.774s,2.107s,5.953s,2.072s
1.058s,2.754s,2.098s,5.912s,2.062s
1.063s,2.713s,1.837s,5.615s,1.802s
1.063s,2.794s,2.197s,6.056s,2.052s
1.044s,2.745s,2.099s,5.889s,2.045s
1.063s,2.906s,2.074s,6.043s,2.047s
1.061s,2.677s,2.142s,5.882s,2.108s
1.062s,2.751s,2.053s,5.867s,2.018s
1.071s,2.797s,2.029s,5.898s,2.003s
1.063s,2.668s,2.091s,5.823s,2.058s
1.065s,2.764s,2.089s,5.919s,2.055s
1.063s,2.827s,2.062s,5.953s,2.046s
1.060s,2.716s,2.071s,5.848s,2.038s
1.067s,2.661s,2.034s,5.763s,2.001s
1.063s,2.819s,2.076s,5.959s,2.048s
1.064s,2.743s,2.084s,5.892s,2.051s
1.068s,2.642s,2.123s,5.833s,2.094s
1.058s,2.798s,1.818s,5.675s,1.789s
1.060s,2.735s,2.065s,5.861s,2.030s
1.059s,2.689s,2.038s,5.787s,2.004s
1.062s,2.941s,2.041s,6.045s,2.012s
1.065s,2.872s,2.098s,6.036s,2.068s
1.067s,2.755s,2.055s,5.877s,2.023s
1.068s,2.613s,1.840s,5.521s,1.813s
1.080s,2.821s,2.031s,5.933s,2.002s
1.070s,2.858s,2.084s,6.013s,2.056s
1.063s,2.750s,2.118s,5.932s,2.082s
1.062s,2.910s,2.065s,6.038s,2.025s
1.066s,2.686s,2.067s,5.819s,2.037s
1.058s,2.668s,2.085s,5.811s,2.052s
1.058s,2.703s,2.041s,5.803s,2.007s
1.045s,2.880s,2.087s,6.014s,2.060s
1.061s,2.798s,2.054s,5.914s,2.029s
1.063s,2.721s,2.056s,5.841s,2.026s
1.065s,2.846s,1.827s,5.739s,1.797s
1.066s,2.667s,2.102s,5.835s,2.073s
1.060s,2.665s,2.072s,5.798s,2.049s
