4.178s,2.856s,3.465s,10.501s,3.431s
1.074s,2.755s,3.307s,7.136s,3.270s
1.068s,2.748s,3.187s,7.005s,3.154s
1.067s,2.730s,3.267s,7.065s,3.245s
1.064s,2.887s,3.261s,7.214s,3.239s
1.055s,2.751s,3.244s,7.051s,3.202s
1.074s,2.836s,3.251s,7.162s,3.228s
1.047s,2.726s,3.285s,7.058s,3.262s
1.063s,2.730s,3.240s,7.035s,3.215s
1.064s,2.588s,3.285s,6.937s,3.245s
1.057s,2.681s,3.247s,6.986s,3.223s
1.063s,2.884s,3.253s,7.201s,3.223s
1.060s,2.672s,3.246s,6.978s,3.219s
1.060s,2.767s,3.360s,7.188s,3.210s
1.063s,2.734s,3.303s,7.101s,3.271s
1.061s,2.781s,3.278s,7.120s,3.252s
1.072s,2.868s,3.227s,7.168s,3.188s
1.067s,2.682s,3.265s,7.016s,3.230s
1.081s,2.862s,3.391s,7.335s,3.360s
1.068s,2.737s,3.393s,7.200s,3.254s
1.057s,2.931s,3.327s,7.316s,3.184s
1.058s,2.820s,3.207s,7.086s,3.182s
1.079s,2.726s,3.346s,7.152s,3.204s
1.059s,2.920s,3.276s,7.257s,3.241s
1.058s,2.805s,3.417s,7.281s,3.277s
1.061s,2.769s,3.310s,7.141s,3.175s
1.062s,2.689s,3.291s,7.043s,3.269s
1.059s,2.690s,3.275s,7.025s,3.241s
1.057s,2.787s,3.280s,7.125s,3.246s
1.054s,2.721s,3.396s,7.172s,3.254s
1.069s,2.745s,3.314s,7.129s,3.291s
1.041s,2.834s,3.300s,7.176s,3.272s
1.068s,2.834s,3.246s,7.149s,3.225s
1.066s,2.742s,3.290s,7.100s,3.254s
1.079s,2.839s,3.355s,7.274s,3.331s
1.064s,2.865s,3.241s,7.170s,3.218s
1.058s,2.686s,3.243s,6.989s,3.217s
1.066s,2.770s,3.185s,7.023s,3.161s
1.059s,2.900s,3.238s,7.198s,3.215s
1.040s,2.785s,3.272s,7.097s,3.248s
1.061s,2.640s,3.338s,7.040s,3.204s
1.062s,2.903s,3.234s,7.200s,3.207s
1.060s,2.653s,3.205s,6.919s,3.170s
1.061s,2.803s,3.245s,7.110s,3.216s
1.066s,2.710s,3.225s,7.002s,3.198s
1.057s,2.901s,3.254s,7.213s,3.230s
1.061s,2.794s,3.239s,7.096s,3.201s
1.067s,2.759s,3.277s,7.103s,3.251s
1.059s,2.721s,3.331s,7.113s,3.300s
1.061s,2.782s,3.307s,7.151s,3.275s
1.065s,2.764s,3.224s,7.054s,3.198s
1.052s,2.968s,3.243s,7.264s,3.207s
1.065s,2.772s,3.248s,7.086s,3.224s
1.076s,2.682s,3.282s,7.041s,3.249s
1.074s,2.743s,3.302s,7.119s,3.271s
