1.526s,3.410s,2.755s,7.692s,2.592s
1.096s,2.778s,2.583s,6.458s,2.549s
1.063s,2.979s,2.601s,6.644s,2.561s
1.055s,2.819s,2.597s,6.472s,2.573s
1.064s,2.622s,2.626s,6.313s,2.593s
1.055s,2.834s,2.599s,6.489s,2.557s
1.075s,2.875s,2.573s,6.523s,2.537s
1.067s,2.581s,2.577s,6.226s,2.548s
1.064s,2.876s,2.571s,6.512s,2.543s
1.065s,2.622s,2.630s,6.318s,2.607s
1.053s,2.665s,2.550s,6.270s,2.523s
1.058s,2.683s,2.612s,6.353s,2.588s
1.065s,2.722s,2.525s,6.313s,2.498s
1.074s,2.684s,2.583s,6.341s,2.550s
1.078s,2.897s,2.667s,6.643s,2.639s
1.069s,2.932s,2.560s,6.563s,2.529s
1.072s,2.776s,2.580s,6.429s,2.543s
1.057s,2.697s,2.603s,6.359s,2.576s
1.058s,2.916s,2.545s,6.520s,2.520s
1.064s,2.875s,2.656s,6.597s,2.623s
1.065s,2.832s,2.674s,6.572s,2.524s
1.063s,2.710s,2.602s,6.377s,2.563s
1.057s,2.733s,2.562s,6.353s,2.536s
1.074s,2.638s,2.594s,6.308s,2.556s
1.055s,2.806s,2.597s,6.459s,2.574s
1.059s,2.835s,2.534s,6.429s,2.498s
1.064s,2.656s,2.670s,6.392s,2.520s
1.060s,2.852s,2.599s,6.511s,2.568s
1.059s,2.712s,2.595s,6.366s,2.565s
1.059s,2.879s,2.639s,6.578s,2.599s
1.063s,2.728s,2.584s,6.376s,2.550s
1.057s,2.813s,2.538s,6.410s,2.515s
1.080s,2.786s,2.580s,6.447s,2.552s
1.086s,2.795s,2.554s,6.437s,2.526s
1.060s,2.674s,2.644s,6.379s,2.614s
1.065s,2.781s,2.601s,6.449s,2.566s
1.059s,2.750s,2.516s,6.326s,2.491s
1.058s,2.751s,2.584s,6.395s,2.555s
1.074s,2.988s,2.573s,6.636s,2.536s
1.064s,2.883s,2.703s,6.651s,2.668s
1.063s,2.667s,2.626s,6.356s,2.591s
1.061s,2.686s,2.564s,6.312s,2.532s
1.059s,2.870s,2.717s,6.647s,2.578s
1.082s,2.862s,2.641s,6.585s,2.608s
1.063s,2.861s,2.596s,6.521s,2.565s
1.056s,2.823s,2.530s,6.409s,2.495s
1.053s,2.688s,2.558s,6.300s,2.515s
1.059s,2.723s,2.641s,6.424s,2.605s
1.063s,2.876s,2.628s,6.567s,2.600s
1.063s,2.839s,2.660s,6.562s,2.632s
1.057s,2.749s,2.623s,6.430s,2.590s
1.060s,2.913s,2.619s,6.593s,2.588s
1.060s,2.729s,2.553s,6.343s,2.523s
1.076s,2.734s,2.596s,6.407s,2.567s
1.071s,2.752s,2.318s,6.143s,2.286s
