2.555s,3.648s,2.090s,8.294s,2.060s
1.055s,2.918s,2.357s,6.332s,2.322s
1.065s,2.628s,2.395s,6.090s,2.363s
1.051s,2.692s,2.363s,6.107s,2.339s
1.055s,2.635s,2.445s,6.136s,2.401s
1.071s,2.700s,2.329s,6.101s,2.304s
1.059s,2.764s,2.444s,6.267s,2.302s
1.057s,2.762s,2.484s,6.304s,2.318s
1.058s,2.648s,2.371s,6.077s,2.344s
1.060s,2.679s,2.381s,6.120s,2.345s
1.061s,2.735s,2.376s,6.174s,2.343s
1.058s,2.689s,2.306s,6.054s,2.283s
1.056s,2.653s,2.352s,6.063s,2.319s
1.059s,2.706s,2.402s,6.168s,2.350s
1.069s,2.721s,2.374s,6.165s,2.340s
1.059s,2.697s,2.518s,6.276s,2.357s
1.056s,2.707s,2.341s,6.105s,2.301s
1.073s,2.654s,2.352s,6.080s,2.325s
1.060s,2.662s,2.338s,6.060s,2.312s
1.061s,2.645s,2.373s,6.080s,2.347s
1.055s,2.741s,2.323s,6.119s,2.297s
1.059s,2.753s,2.349s,6.162s,2.317s
1.057s,2.706s,2.317s,6.081s,2.284s
1.056s,2.830s,2.338s,6.225s,2.304s
1.058s,2.720s,2.093s,5.871s,2.068s
1.057s,2.908s,2.338s,6.305s,2.309s
1.066s,2.685s,2.287s,6.039s,2.262s
1.069s,2.711s,2.361s,6.141s,2.320s
1.067s,2.707s,2.348s,6.123s,2.298s
1.066s,2.781s,2.401s,6.249s,2.366s
1.066s,2.795s,2.364s,6.226s,2.341s
1.073s,2.721s,2.367s,6.163s,2.342s
1.050s,2.752s,2.352s,6.155s,2.321s
1.062s,2.741s,2.413s,6.217s,2.377s
1.048s,2.790s,2.417s,6.256s,2.387s
1.062s,2.614s,2.338s,6.015s,2.309s
1.062s,2.716s,2.334s,6.113s,2.301s
1.062s,2.909s,2.448s,6.420s,2.416s
1.063s,2.869s,2.377s,6.311s,2.341s
1.068s,2.866s,2.378s,6.312s,2.351s
1.068s,2.721s,2.370s,6.161s,2.343s
1.071s,2.701s,2.363s,6.137s,2.338s
1.067s,2.725s,2.383s,6.177s,2.347s
1.067s,2.744s,2.373s,6.186s,2.348s
1.074s,2.928s,2.412s,6.415s,2.378s
1.061s,2.724s,2.353s,6.139s,2.325s
1.060s,2.822s,2.342s,6.225s,2.314s
1.070s,2.910s,2.442s,6.423s,2.407s
1.067s,2.791s,2.407s,6.266s,2.377s
1.055s,2.799s,2.545s,6.400s,2.398s
1.061s,2.803s,2.392s,6.257s,2.360s
1.068s,2.752s,2.351s,6.172s,2.315s
1.059s,2.928s,2.083s,6.070s,2.048s
1.069s,2.736s,2.422s,6.227s,2.387s
1.053s,2.835s,2.384s,6.272s,2.360s
