1.075s,2.681s,4.271s,8.028s,4.249s
1.054s,2.775s,4.191s,8.020s,4.161s
1.059s,2.770s,4.183s,8.014s,4.157s
1.070s,2.819s,4.118s,8.008s,4.052s
1.067s,2.674s,4.195s,7.937s,4.170s
1.074s,2.802s,4.084s,7.961s,4.051s
1.065s,2.763s,4.095s,7.925s,4.064s
1.039s,2.828s,4.137s,8.005s,4.113s
1.062s,2.724s,4.120s,7.906s,4.091s
1.058s,2.724s,4.134s,7.917s,4.116s
1.070s,2.704s,4.204s,7.978s,4.174s
1.064s,2.671s,4.105s,7.841s,4.078s
1.058s,2.718s,4.282s,8.060s,4.134s
1.070s,2.832s,4.155s,8.059s,4.134s
1.072s,2.695s,4.200s,7.968s,4.179s
1.070s,2.893s,4.080s,8.045s,4.048s
1.065s,2.714s,4.164s,7.944s,4.133s
1.057s,2.827s,4.267s,8.152s,4.133s
1.057s,2.770s,4.101s,7.929s,4.077s
1.064s,2.794s,4.199s,8.058s,4.172s
1.066s,2.774s,4.151s,7.992s,4.125s
1.070s,2.759s,4.082s,7.912s,4.055s
1.060s,2.773s,4.143s,7.977s,4.121s
1.056s,2.780s,4.160s,7.996s,4.112s
1.060s,2.789s,4.144s,7.994s,4.118s
1.063s,2.886s,4.123s,8.073s,4.097s
1.067s,2.843s,4.114s,8.025s,4.088s
1.068s,2.889s,4.147s,8.105s,4.114s
1.041s,2.740s,4.181s,7.964s,4.157s
1.061s,2.769s,4.149s,7.979s,4.120s
1.059s,2.831s,4.126s,8.017s,4.089s
1.063s,2.972s,4.181s,8.216s,4.159s
1.045s,2.765s,4.108s,7.920s,4.073s
1.065s,2.688s,4.164s,7.918s,4.143s
1.063s,2.764s,4.210s,8.038s,4.176s
1.063s,2.684s,4.095s,7.842s,4.060s
1.061s,2.807s,4.095s,7.964s,4.064s
1.064s,2.713s,4.107s,7.885s,4.080s
1.063s,2.762s,4.174s,8.000s,4.143s
1.063s,2.848s,4.187s,8.099s,4.158s
1.073s,2.733s,4.101s,7.907s,4.077s
1.059s,2.674s,4.126s,7.860s,4.103s
1.059s,2.782s,4.121s,7.963s,4.097s
1.058s,2.796s,4.137s,7.992s,4.102s
1.061s,2.735s,4.180s,7.977s,4.156s
1.069s,2.711s,4.113s,7.893s,4.086s
1.048s,2.782s,4.277s,8.108s,4.123s
1.059s,2.865s,4.116s,8.042s,4.096s
1.071s,2.824s,4.105s,8.001s,4.074s
1.059s,2.700s,4.156s,7.916s,4.135s
1.060s,2.812s,4.072s,7.945s,4.049s
1.070s,2.912s,4.130s,8.112s,4.103s
1.067s,2.788s,4.100s,7.955s,4.073s
1.070s,2.887s,4.214s,8.172s,4.066s
1.066s,2.911s,4.178s,8.156s,4.145s
