2.149s,2.722s,1.942s,6.814s,1.910s
1.051s,2.624s,1.881s,5.558s,1.857s
1.064s,2.628s,1.848s,5.542s,1.835s
1.061s,2.703s,1.881s,5.646s,1.846s
1.067s,2.680s,1.936s,5.684s,1.896s
1.076s,2.645s,1.860s,5.582s,1.839s
1.065s,2.583s,1.870s,5.519s,1.832s
1.066s,2.751s,1.878s,5.696s,1.852s
1.072s,2.583s,1.898s,5.554s,1.872s
1.045s,2.658s,1.941s,5.645s,1.908s
1.064s,2.781s,1.877s,5.724s,1.856s
1.068s,2.739s,1.891s,5.698s,1.870s
1.066s,2.592s,1.885s,5.545s,1.860s
1.054s,2.723s,1.872s,5.651s,1.852s
1.055s,2.747s,1.907s,5.710s,1.892s
1.069s,2.620s,1.856s,5.546s,1.843s
1.059s,2.793s,1.892s,5.745s,1.876s
1.060s,2.650s,1.896s,5.607s,1.869s
1.071s,2.638s,1.939s,5.648s,1.924s
1.064s,2.538s,1.898s,5.501s,1.883s
1.059s,2.701s,1.732s,5.493s,1.717s
1.054s,2.717s,1.896s,5.668s,1.879s
1.061s,2.677s,1.912s,5.651s,1.881s
1.063s,2.546s,1.916s,5.527s,1.890s
1.061s,2.577s,1.946s,5.585s,1.913s
1.057s,2.702s,1.945s,5.704s,1.915s
1.055s,2.774s,1.845s,5.676s,1.832s
1.062s,2.603s,1.862s,5.528s,1.848s
1.063s,2.581s,1.896s,5.541s,1.878s
1.074s,2.531s,1.907s,5.513s,1.893s
1.062s,2.735s,1.771s,5.569s,1.733s
1.064s,2.557s,1.887s,5.509s,1.853s
1.063s,2.724s,1.921s,5.710s,1.874s
1.067s,2.748s,1.869s,5.685s,1.856s
1.058s,2.616s,1.957s,5.632s,1.929s
1.064s,2.536s,1.879s,5.480s,1.841s
1.063s,2.615s,1.887s,5.566s,1.859s
1.067s,2.514s,1.856s,5.438s,1.837s
1.060s,2.683s,1.991s,5.736s,1.848s
1.061s,2.927s,1.910s,5.899s,1.893s
1.065s,2.569s,1.897s,5.532s,1.869s
1.049s,2.587s,1.889s,5.526s,1.854s
1.077s,2.859s,1.915s,5.851s,1.904s
1.064s,2.542s,1.887s,5.494s,1.869s
1.078s,2.668s,1.929s,5.676s,1.898s
1.072s,2.642s,1.737s,5.453s,1.706s
1.068s,2.497s,1.876s,5.442s,1.851s
1.067s,2.538s,1.893s,5.499s,1.871s
1.060s,2.615s,1.905s,5.580s,1.873s
1.072s,2.590s,1.899s,5.563s,1.890s
1.070s,2.563s,1.846s,5.479s,1.831s
1.066s,2.605s,1.864s,5.536s,1.849s
1.059s,2.692s,1.912s,5.664s,1.881s
1.063s,2.593s,1.895s,5.552s,1.864s
1.061s,2.773s,1.909s,5.744s,1.878s
