1.093s,2.632s,6.633s,10.359s,6.605s
1.058s,2.520s,6.520s,10.099s,6.490s
1.058s,2.696s,6.683s,10.439s,6.649s
1.069s,2.611s,6.498s,10.178s,6.466s
1.052s,2.637s,6.567s,10.257s,6.534s
1.066s,2.736s,6.613s,10.417s,6.586s
1.066s,2.701s,6.509s,10.277s,6.483s
1.059s,2.595s,6.664s,10.320s,6.526s
1.062s,2.742s,6.724s,10.529s,6.575s
1.063s,2.739s,6.729s,10.532s,6.587s
1.056s,2.624s,6.620s,10.301s,6.591s
1.062s,2.546s,6.618s,10.228s,6.591s
1.063s,2.482s,6.770s,10.316s,6.624s
1.068s,2.588s,6.615s,10.272s,6.555s
1.062s,2.563s,6.695s,10.321s,6.671s
1.072s,2.603s,6.556s,10.232s,6.523s
1.063s,2.631s,6.553s,10.248s,6.527s
1.057s,2.746s,6.693s,10.498s,6.664s
1.069s,2.752s,6.676s,10.498s,6.522s
1.061s,2.533s,6.785s,10.380s,6.641s
1.059s,2.713s,6.726s,10.500s,6.576s
1.069s,2.558s,6.574s,10.202s,6.551s
1.062s,2.616s,6.579s,10.258s,6.553s
1.063s,2.574s,6.681s,10.319s,6.653s
1.054s,2.760s,6.597s,10.412s,6.573s
1.062s,2.650s,6.576s,10.289s,6.532s
1.061s,2.600s,6.608s,10.270s,6.575s
1.059s,2.598s,6.593s,10.251s,6.566s
1.071s,2.596s,6.705s,10.373s,6.681s
1.044s,2.531s,6.650s,10.226s,6.617s
1.064s,2.520s,6.586s,10.171s,6.552s
1.068s,2.698s,6.729s,10.496s,6.590s
1.058s,2.662s,6.507s,10.229s,6.479s
1.066s,2.490s,6.786s,10.343s,6.758s
1.059s,2.684s,6.731s,10.475s,6.704s
1.068s,2.702s,6.673s,10.444s,6.521s
1.057s,2.620s,6.636s,10.315s,6.610s
1.052s,2.518s,6.577s,10.149s,6.542s
1.061s,2.614s,6.560s,10.236s,6.529s
1.058s,2.683s,6.674s,10.416s,6.530s
1.036s,2.478s,6.362s,9.877s,6.228s
993ms,2.462s,6.180s,9.637s,6.149s
987ms,2.489s,6.169s,9.645s,6.139s
991ms,2.454s,6.314s,9.760s,6.290s
976ms,2.703s,6.107s,9.787s,6.083s
977ms,2.510s,6.166s,9.654s,6.143s
1.000s,2.572s,6.050s,9.623s,6.023s
996ms,2.699s,6.187s,9.883s,6.159s
1.005s,2.597s,6.136s,9.739s,6.112s
987ms,2.719s,6.103s,9.809s,6.076s
1.004s,2.666s,6.248s,9.920s,6.093s
1.000s,2.801s,6.067s,9.868s,6.033s
985ms,2.812s,6.119s,9.916s,6.091s
1.015s,2.630s,6.096s,9.743s,6.072s
1.008s,2.674s,6.188s,9.870s,6.159s
