6.855s,3.669s,2.183s,12.708s,2.144s
1.187s,3.040s,2.252s,6.480s,2.215s
1.122s,2.585s,2.046s,5.754s,2.012s
1.104s,2.743s,2.078s,5.925s,2.048s
1.120s,2.886s,2.115s,6.121s,2.084s
1.129s,2.602s,2.033s,5.764s,2.003s
1.143s,2.599s,2.050s,5.793s,2.022s
1.116s,2.707s,2.043s,5.868s,2.004s
1.117s,2.578s,2.022s,5.717s,2.003s
1.103s,2.779s,2.060s,5.943s,2.032s
1.114s,2.621s,2.018s,5.753s,1.986s
1.114s,2.718s,2.039s,5.873s,2.000s
1.119s,2.618s,1.889s,5.628s,1.865s
1.098s,2.620s,1.998s,5.717s,1.971s
1.101s,2.770s,2.054s,5.925s,2.020s
1.107s,2.784s,2.043s,5.935s,2.008s
1.101s,2.718s,1.971s,5.791s,1.946s
1.097s,2.676s,2.013s,5.788s,1.978s
1.101s,2.698s,1.993s,5.792s,1.966s
1.096s,2.645s,2.037s,5.780s,2.011s
1.126s,2.750s,2.068s,5.945s,2.039s
1.139s,2.550s,2.015s,5.705s,1.979s
1.121s,2.603s,2.048s,5.773s,2.011s
1.395s,2.619s,2.042s,6.057s,2.012s
1.119s,2.724s,2.114s,5.957s,2.082s
1.127s,2.642s,2.028s,5.798s,1.994s
1.124s,2.716s,2.020s,5.862s,2.003s
1.117s,2.711s,2.010s,5.839s,1.979s
1.108s,2.689s,2.004s,5.803s,1.986s
1.144s,2.835s,2.111s,6.091s,2.082s
1.127s,2.615s,1.998s,5.741s,1.970s
1.115s,2.797s,2.094s,6.008s,2.076s
1.160s,2.729s,2.041s,5.932s,2.014s
1.104s,2.551s,2.058s,5.714s,2.036s
1.162s,2.724s,2.141s,6.028s,2.108s
1.113s,2.630s,2.041s,5.784s,1.995s
1.139s,2.580s,2.003s,5.722s,1.972s
1.118s,2.606s,2.079s,5.804s,2.046s
1.113s,2.606s,2.060s,5.779s,2.014s
1.127s,2.653s,2.074s,5.855s,2.035s
1.131s,2.918s,1.991s,6.041s,1.965s
1.112s,2.761s,2.052s,5.926s,2.014s
1.100s,2.669s,1.992s,5.762s,1.950s
1.108s,2.676s,2.074s,5.860s,2.056s
1.120s,2.757s,1.890s,5.768s,1.856s
1.094s,2.725s,2.008s,5.828s,1.976s
1.137s,2.700s,1.999s,5.837s,1.968s
1.120s,2.718s,2.061s,5.901s,2.026s
1.123s,2.714s,2.079s,5.917s,2.047s
1.114s,2.576s,2.088s,5.778s,2.037s
1.141s,2.854s,2.009s,6.005s,1.979s
1.119s,2.619s,2.041s,5.780s,2.021s
1.110s,2.665s,2.092s,5.868s,2.065s
1.113s,2.787s,1.994s,5.895s,1.963s
1.111s,2.704s,2.082s,5.898s,2.060s
