5.670s,3.750s,4.103s,13.524s,3.831s
1.114s,2.607s,2.907s,6.629s,2.875s
1.166s,2.824s,2.925s,6.916s,2.889s
1.141s,2.683s,2.843s,6.667s,2.818s
1.129s,3.079s,2.848s,7.057s,2.823s
1.137s,2.901s,2.855s,6.894s,2.822s
1.120s,2.941s,2.832s,6.894s,2.799s
1.150s,2.794s,2.853s,6.798s,2.824s
1.146s,3.010s,2.871s,7.028s,2.835s
1.125s,2.815s,2.832s,6.773s,2.799s
1.120s,2.704s,2.839s,6.664s,2.806s
1.123s,2.919s,2.846s,6.889s,2.807s
1.156s,2.936s,2.897s,6.990s,2.864s
1.135s,2.628s,2.927s,6.690s,2.892s
1.149s,3.203s,3.187s,7.540s,2.875s
1.148s,2.955s,2.809s,6.913s,2.780s
1.146s,2.610s,2.863s,6.619s,2.837s
1.135s,3.106s,2.835s,7.077s,2.799s
1.129s,2.642s,2.845s,6.618s,2.811s
1.136s,2.926s,2.903s,6.965s,2.874s
1.136s,2.866s,2.782s,6.785s,2.754s
1.107s,2.762s,2.789s,6.659s,2.754s
1.109s,2.890s,2.856s,6.856s,2.827s
1.132s,3.110s,2.863s,7.105s,2.827s
1.105s,3.027s,2.882s,7.015s,2.852s
1.140s,2.560s,2.830s,6.530s,2.800s
1.119s,2.580s,2.838s,6.539s,2.806s
1.135s,2.949s,2.837s,6.921s,2.802s
1.127s,2.553s,2.844s,6.525s,2.809s
1.094s,2.777s,2.829s,6.701s,2.794s
1.136s,2.499s,2.765s,6.401s,2.739s
1.143s,2.913s,2.815s,6.873s,2.785s
1.211s,2.885s,2.837s,6.934s,2.808s
1.129s,2.864s,2.828s,6.821s,2.799s
1.121s,2.632s,2.882s,6.635s,2.855s
1.100s,2.831s,2.829s,6.761s,2.794s
1.115s,2.716s,2.819s,6.652s,2.796s
1.149s,3.072s,3.194s,7.416s,2.854s
1.144s,3.120s,2.868s,7.133s,2.840s
1.131s,2.640s,2.914s,6.686s,2.870s
1.119s,2.876s,2.868s,6.864s,2.830s
1.106s,2.975s,2.861s,6.942s,2.836s
1.104s,2.900s,2.868s,6.873s,2.835s
1.088s,2.707s,2.842s,6.638s,2.815s
1.124s,2.811s,2.878s,6.815s,2.845s
1.137s,2.724s,2.826s,6.688s,2.798s
1.121s,3.008s,2.803s,6.933s,2.769s
2.267s,2.576s,2.885s,7.729s,2.842s
1.130s,2.931s,2.831s,6.893s,2.800s
1.126s,2.912s,2.897s,6.936s,2.859s
1.151s,2.924s,2.808s,6.884s,2.782s
1.145s,2.715s,2.821s,6.682s,2.792s
1.141s,2.583s,2.827s,6.552s,2.796s
1.156s,2.894s,2.853s,6.903s,2.816s
1.149s,2.939s,3.203s,7.292s,2.867s
