7.468s,3.142s,2.933s,13.544s,2.901s
1.103s,2.779s,2.611s,6.494s,2.578s
1.121s,2.639s,2.453s,6.213s,2.420s
1.121s,2.571s,2.442s,6.135s,2.408s
1.144s,2.622s,2.452s,6.219s,2.421s
1.120s,2.689s,2.414s,6.224s,2.375s
1.136s,2.627s,2.535s,6.300s,2.392s
1.151s,2.640s,2.474s,6.265s,2.441s
2.311s,2.826s,2.578s,7.716s,2.439s
1.124s,2.609s,2.531s,6.265s,2.498s
2.226s,2.706s,2.466s,7.399s,2.429s
1.132s,2.764s,2.425s,6.322s,2.395s
1.139s,2.581s,2.396s,6.117s,2.369s
1.123s,2.739s,2.470s,6.334s,2.436s
1.109s,2.633s,2.462s,6.205s,2.425s
1.108s,2.588s,2.424s,6.121s,2.389s
1.114s,2.556s,2.398s,6.069s,2.361s
1.111s,2.755s,2.444s,6.312s,2.408s
1.099s,2.522s,2.401s,6.023s,2.373s
1.128s,2.759s,2.600s,6.488s,2.445s
1.125s,2.784s,2.458s,6.368s,2.425s
1.138s,2.645s,2.451s,6.235s,2.412s
1.123s,2.809s,2.436s,6.369s,2.399s
1.114s,2.712s,2.439s,6.266s,2.404s
1.105s,2.716s,2.414s,6.236s,2.388s
1.262s,2.760s,2.434s,6.456s,2.403s
1.151s,2.634s,2.414s,6.200s,2.383s
1.130s,2.802s,2.412s,6.345s,2.374s
1.129s,2.679s,2.417s,6.225s,2.374s
1.162s,2.607s,2.503s,6.272s,2.468s
1.115s,2.737s,2.447s,6.300s,2.411s
1.114s,2.660s,2.422s,6.196s,2.390s
1.132s,2.755s,2.508s,6.396s,2.368s
1.128s,2.545s,2.475s,6.149s,2.441s
1.139s,2.782s,2.548s,6.470s,2.519s
1.143s,2.737s,2.428s,6.309s,2.395s
1.147s,2.860s,2.488s,6.496s,2.448s
1.159s,2.708s,2.481s,6.349s,2.458s
1.158s,2.792s,2.486s,6.437s,2.450s
1.105s,2.801s,2.434s,6.341s,2.397s
1.137s,2.771s,2.437s,6.346s,2.405s
1.103s,2.783s,2.437s,6.324s,2.396s
1.149s,2.894s,2.517s,6.561s,2.473s
1.131s,2.811s,2.445s,6.388s,2.412s
1.142s,2.756s,2.464s,6.364s,2.425s
1.121s,2.889s,2.533s,6.544s,2.385s
1.127s,2.571s,2.451s,6.151s,2.411s
1.127s,2.794s,2.470s,6.391s,2.425s
1.132s,2.761s,2.466s,6.360s,2.431s
1.120s,2.674s,2.450s,6.245s,2.421s
1.125s,2.594s,2.412s,6.132s,2.381s
1.118s,2.714s,2.417s,6.250s,2.384s
1.136s,2.787s,2.411s,6.334s,2.379s
1.108s,2.812s,2.507s,6.428s,2.470s
1.105s,2.587s,2.515s,6.208s,2.480s
