5.982s,3.775s,5.422s,15.180s,5.344s
1.130s,2.655s,4.839s,8.625s,4.817s
1.130s,2.718s,4.272s,8.122s,4.225s
1.125s,2.881s,4.312s,8.318s,4.268s
1.116s,3.048s,4.300s,8.465s,4.271s
1.120s,2.680s,4.219s,8.020s,4.194s
1.140s,3.057s,4.223s,8.421s,4.187s
1.111s,2.848s,4.252s,8.212s,4.221s
1.130s,3.046s,4.227s,8.405s,4.201s
1.119s,2.857s,4.340s,8.316s,4.302s
1.120s,3.010s,4.241s,8.372s,4.219s
1.125s,2.871s,4.248s,8.245s,4.218s
1.120s,3.072s,4.248s,8.441s,4.215s
1.443s,3.166s,4.222s,8.831s,4.191s
1.123s,2.710s,4.265s,8.099s,4.245s
1.104s,2.727s,4.244s,8.076s,4.200s
1.292s,2.842s,4.210s,8.346s,4.185s
1.117s,2.843s,4.252s,8.212s,4.218s
1.165s,2.861s,4.239s,8.265s,4.218s
1.122s,2.583s,4.316s,8.022s,4.285s
2.448s,2.922s,4.223s,9.594s,4.198s
1.115s,2.871s,4.183s,8.170s,4.153s
1.105s,2.879s,4.333s,8.318s,4.299s
1.129s,2.890s,4.303s,8.322s,4.216s
1.093s,2.785s,4.210s,8.089s,4.177s
1.106s,2.953s,4.229s,8.288s,4.187s
1.159s,3.157s,4.235s,8.552s,4.207s
1.107s,2.959s,4.150s,8.217s,4.122s
1.103s,2.857s,4.326s,8.287s,4.301s
1.124s,2.836s,4.615s,8.576s,4.307s
1.424s,2.931s,4.173s,8.529s,4.142s
1.116s,2.947s,4.311s,8.375s,4.282s
1.129s,3.016s,4.291s,8.438s,4.254s
1.112s,2.817s,4.301s,8.231s,4.270s
1.151s,3.028s,4.323s,8.504s,4.290s
1.137s,2.811s,4.329s,8.278s,4.295s
1.126s,2.773s,4.524s,8.424s,4.231s
1.126s,2.801s,4.275s,8.203s,4.252s
1.117s,2.902s,4.320s,8.339s,4.296s
1.118s,2.676s,4.317s,8.112s,4.280s
1.138s,2.575s,4.562s,8.276s,4.217s
1.129s,2.729s,4.280s,8.140s,4.249s
1.140s,2.943s,4.263s,8.347s,4.235s
1.133s,2.899s,4.223s,8.256s,4.197s
1.133s,3.089s,4.501s,8.724s,4.229s
1.117s,2.846s,4.527s,8.492s,4.240s
1.140s,2.927s,4.321s,8.389s,4.295s
1.133s,2.747s,4.690s,8.572s,4.327s
1.146s,2.891s,4.309s,8.347s,4.278s
1.115s,2.785s,4.482s,8.384s,4.179s
1.087s,3.116s,4.100s,8.304s,4.076s
1.062s,2.639s,4.041s,7.744s,3.883s
1.061s,2.693s,4.190s,7.944s,4.151s
1.086s,2.572s,4.074s,7.732s,4.037s
1.082s,2.536s,3.972s,7.591s,3.950s
