6.546s,3.512s,3.632s,13.691s,3.570s
1.121s,2.639s,2.936s,6.698s,2.900s
1.103s,2.579s,2.893s,6.576s,2.866s
1.101s,2.762s,2.957s,6.821s,2.935s
1.135s,2.520s,2.943s,6.599s,2.906s
1.126s,2.779s,2.998s,6.905s,2.969s
1.120s,2.862s,2.968s,6.951s,2.932s
1.135s,2.618s,2.972s,6.725s,2.940s
1.124s,2.815s,3.007s,6.948s,2.973s
1.123s,2.794s,3.058s,6.976s,3.039s
1.132s,2.602s,2.914s,6.650s,2.889s
1.134s,2.752s,3.027s,6.913s,2.879s
1.135s,2.547s,3.089s,6.772s,2.942s
1.156s,2.629s,3.004s,6.790s,2.981s
1.140s,2.757s,3.021s,6.919s,2.979s
1.129s,2.690s,2.965s,6.785s,2.922s
1.171s,2.613s,2.921s,6.707s,2.890s
1.124s,2.766s,2.964s,6.856s,2.933s
1.135s,2.678s,2.975s,6.789s,2.944s
1.112s,2.592s,3.026s,6.732s,2.989s
1.126s,2.597s,2.978s,6.701s,2.945s
1.124s,2.955s,2.989s,7.068s,2.963s
1.142s,2.735s,2.946s,6.824s,2.914s
1.139s,2.618s,2.897s,6.656s,2.869s
1.131s,2.876s,2.990s,6.998s,2.959s
1.104s,2.559s,2.951s,6.615s,2.913s
1.173s,2.558s,2.956s,6.688s,2.922s
1.129s,2.862s,2.952s,6.945s,2.917s
1.145s,2.759s,3.062s,6.966s,2.923s
1.133s,2.637s,2.980s,6.751s,2.957s
1.120s,2.559s,2.901s,6.581s,2.867s
1.132s,2.606s,2.945s,6.684s,2.918s
1.137s,2.757s,3.033s,6.928s,2.896s
1.099s,2.639s,2.943s,6.681s,2.916s
1.102s,2.642s,3.080s,6.825s,3.044s
1.091s,2.781s,3.053s,6.926s,2.901s
1.139s,2.603s,2.969s,6.711s,2.928s
1.198s,2.661s,2.992s,6.853s,2.960s
1.144s,2.636s,2.933s,6.714s,2.893s
1.117s,2.767s,3.175s,7.060s,3.039s
1.345s,2.547s,2.981s,6.875s,2.937s
1.126s,2.710s,2.946s,6.783s,2.914s
1.153s,2.852s,2.969s,6.976s,2.931s
1.119s,2.756s,2.998s,6.873s,2.965s
1.129s,2.883s,3.021s,7.035s,2.988s
1.192s,2.612s,2.940s,6.745s,2.911s
1.123s,2.687s,2.878s,6.689s,2.852s
1.101s,2.536s,2.923s,6.561s,2.884s
1.102s,2.696s,2.931s,6.730s,2.914s
1.133s,2.732s,3.010s,6.876s,2.973s
1.109s,2.556s,2.925s,6.591s,2.897s
1.119s,2.723s,2.904s,6.747s,2.871s
1.119s,2.673s,2.945s,6.738s,2.912s
1.104s,2.763s,3.068s,6.937s,3.028s
1.184s,2.883s,3.013s,7.081s,2.979s
