6.385s,3.628s,2.090s,12.105s,2.059s
1.129s,2.817s,1.549s,5.497s,1.532s
1.122s,3.006s,1.666s,5.795s,1.632s
1.128s,2.487s,1.702s,5.319s,1.670s
1.146s,3.241s,1.560s,5.948s,1.543s
1.145s,3.088s,1.574s,5.808s,1.557s
1.126s,2.657s,1.564s,5.348s,1.541s
1.122s,2.803s,1.586s,5.512s,1.575s
1.121s,2.830s,1.567s,5.519s,1.552s
1.163s,2.707s,1.639s,5.509s,1.623s
1.126s,2.744s,1.553s,5.425s,1.539s
1.132s,2.543s,1.564s,5.240s,1.549s
1.135s,2.704s,1.746s,5.586s,1.709s
1.145s,2.863s,1.843s,5.852s,1.565s
1.134s,2.414s,1.569s,5.118s,1.554s
1.157s,2.922s,1.601s,5.681s,1.579s
1.143s,2.871s,1.628s,5.643s,1.614s
1.159s,3.072s,1.747s,5.979s,1.730s
1.125s,3.035s,1.657s,5.818s,1.637s
1.120s,2.833s,1.702s,5.656s,1.686s
1.143s,2.901s,1.557s,5.602s,1.543s
1.141s,2.699s,1.754s,5.595s,1.740s
1.128s,2.725s,1.583s,5.437s,1.564s
1.118s,2.916s,1.583s,5.619s,1.550s
1.125s,2.969s,1.679s,5.774s,1.663s
1.127s,2.532s,1.698s,5.357s,1.684s
1.124s,2.999s,1.719s,5.843s,1.707s
1.111s,2.889s,1.557s,5.559s,1.542s
1.129s,2.863s,1.553s,5.545s,1.540s
1.124s,2.896s,1.722s,5.744s,1.706s
1.131s,2.743s,1.705s,5.580s,1.670s
1.106s,2.495s,1.540s,5.142s,1.526s
1.129s,2.596s,1.635s,5.361s,1.617s
1.116s,2.806s,1.557s,5.481s,1.543s
1.146s,3.032s,1.566s,5.745s,1.529s
1.125s,2.929s,1.587s,5.642s,1.573s
1.106s,3.232s,1.685s,6.024s,1.671s
1.159s,3.185s,1.611s,5.957s,1.592s
1.135s,2.882s,1.760s,5.777s,1.725s
1.133s,2.933s,1.725s,5.792s,1.694s
1.148s,2.670s,1.603s,5.423s,1.586s
1.169s,2.617s,1.750s,5.537s,1.730s
1.153s,2.639s,1.753s,5.546s,1.736s
1.152s,2.722s,1.716s,5.591s,1.701s
1.138s,2.669s,1.637s,5.445s,1.621s
1.169s,2.636s,1.620s,5.425s,1.592s
1.151s,2.778s,1.961s,5.892s,1.625s
1.106s,2.479s,1.571s,5.157s,1.557s
1.071s,2.797s,1.584s,5.453s,1.567s
1.092s,2.329s,1.615s,5.037s,1.589s
1.069s,2.563s,1.775s,5.408s,1.754s
1.052s,2.805s,1.568s,5.425s,1.555s
1.061s,2.569s,1.691s,5.322s,1.675s
1.068s,2.831s,1.699s,5.599s,1.674s
1.058s,2.958s,1.587s,5.605s,1.573s
