6.165s,3.576s,2.274s,12.016s,2.256s
1.112s,2.701s,1.952s,5.766s,1.918s
1.114s,2.728s,1.911s,5.754s,1.873s
1.127s,2.500s,1.904s,5.532s,1.867s
1.131s,2.752s,1.906s,5.790s,1.878s
1.136s,2.695s,1.940s,5.772s,1.915s
1.149s,3.009s,1.943s,6.101s,1.919s
1.143s,2.581s,1.916s,5.642s,1.891s
1.112s,2.717s,1.866s,5.696s,1.834s
1.143s,2.865s,1.878s,5.887s,1.844s
1.091s,2.627s,1.932s,5.651s,1.904s
1.133s,2.779s,1.802s,5.715s,1.772s
1.114s,2.923s,1.880s,5.919s,1.849s
1.120s,2.502s,1.901s,5.525s,1.870s
1.123s,2.524s,1.939s,5.587s,1.908s
1.139s,2.657s,1.931s,5.728s,1.898s
1.137s,2.486s,2.017s,5.642s,1.985s
1.111s,2.755s,1.933s,5.800s,1.901s
1.109s,2.873s,1.886s,5.869s,1.854s
1.109s,2.794s,1.945s,5.849s,1.918s
1.171s,3.020s,1.904s,6.095s,1.875s
1.129s,2.937s,1.923s,5.990s,1.893s
1.138s,3.044s,1.951s,6.133s,1.928s
1.161s,2.769s,1.937s,5.868s,1.906s
1.135s,2.838s,1.966s,5.939s,1.936s
1.137s,2.756s,1.926s,5.820s,1.900s
1.131s,2.833s,1.808s,5.773s,1.782s
1.140s,2.858s,1.954s,5.953s,1.924s
1.140s,2.928s,1.928s,5.997s,1.910s
1.148s,3.064s,1.918s,6.131s,1.879s
1.128s,2.963s,1.811s,5.903s,1.782s
1.116s,2.745s,1.970s,5.833s,1.937s
1.127s,2.884s,1.971s,5.984s,1.938s
1.116s,2.763s,1.911s,5.791s,1.874s
1.124s,2.638s,1.877s,5.641s,1.852s
1.171s,3.051s,1.909s,6.132s,1.882s
1.111s,2.580s,1.884s,5.576s,1.854s
1.114s,2.763s,1.811s,5.689s,1.772s
1.103s,2.861s,1.988s,5.953s,1.949s
1.113s,2.823s,1.901s,5.837s,1.867s
1.107s,2.740s,1.898s,5.746s,1.866s
1.106s,2.779s,1.918s,5.804s,1.883s
1.111s,2.540s,1.895s,5.547s,1.853s
1.111s,2.742s,1.887s,5.740s,1.871s
1.121s,2.783s,1.866s,5.770s,1.845s
1.126s,2.860s,1.949s,5.936s,1.917s
1.134s,2.554s,1.891s,5.579s,1.862s
1.115s,2.832s,1.918s,5.866s,1.889s
1.114s,2.978s,1.919s,6.012s,1.886s
1.140s,2.851s,1.967s,5.959s,1.933s
1.133s,2.567s,1.870s,5.570s,1.847s
1.133s,3.041s,1.918s,6.093s,1.883s
1.113s,3.114s,1.897s,6.125s,1.862s
1.171s,3.026s,1.935s,6.132s,1.907s
1.125s,2.565s,1.935s,5.626s,1.906s
