6.624s,3.371s,7.484s,17.480s,7.454s
1.227s,3.104s,7.110s,11.442s,7.036s
1.118s,2.777s,6.832s,10.728s,6.624s
1.119s,2.613s,6.822s,10.556s,6.615s
1.126s,2.499s,6.809s,10.436s,6.593s
1.107s,2.736s,6.744s,10.588s,6.718s
1.126s,2.702s,6.787s,10.616s,6.757s
1.139s,2.677s,6.677s,10.495s,6.648s
1.116s,2.645s,6.674s,10.437s,6.638s
1.132s,2.756s,6.679s,10.568s,6.624s
1.117s,2.805s,6.696s,10.619s,6.675s
1.119s,2.675s,6.964s,10.760s,6.737s
1.140s,2.860s,6.727s,10.728s,6.608s
1.117s,2.613s,6.633s,10.365s,6.601s
1.117s,2.613s,6.705s,10.436s,6.650s
1.131s,2.783s,6.647s,10.561s,6.619s
1.123s,2.858s,6.717s,10.700s,6.693s
1.094s,2.581s,6.576s,10.252s,6.547s
1.123s,2.592s,6.725s,10.441s,6.700s
1.102s,2.814s,6.616s,10.532s,6.596s
1.107s,2.615s,6.774s,10.498s,6.741s
1.094s,2.827s,6.591s,10.513s,6.565s
1.123s,2.707s,6.773s,10.604s,6.568s
1.125s,2.388s,6.874s,10.388s,6.667s
1.112s,2.754s,6.663s,10.530s,6.641s
1.115s,2.765s,6.807s,10.688s,6.725s
1.099s,2.744s,6.580s,10.424s,6.550s
1.133s,2.557s,6.658s,10.349s,6.632s
1.095s,2.666s,6.600s,10.362s,6.570s
1.137s,2.737s,6.699s,10.573s,6.667s
1.113s,2.695s,6.672s,10.481s,6.641s
1.141s,2.668s,6.830s,10.640s,6.637s
1.121s,2.596s,6.838s,10.556s,6.620s
1.130s,2.559s,6.802s,10.492s,6.584s
1.131s,2.835s,6.699s,10.665s,6.674s
1.140s,2.707s,6.737s,10.585s,6.692s
1.104s,2.794s,6.738s,10.637s,6.703s
1.112s,2.896s,6.700s,10.709s,6.657s
1.113s,2.701s,6.614s,10.430s,6.589s
1.126s,2.904s,6.573s,10.604s,6.535s
1.105s,2.658s,6.653s,10.417s,6.620s
1.118s,2.781s,6.773s,10.673s,6.732s
1.123s,2.855s,6.777s,10.756s,6.669s
1.115s,2.812s,6.776s,10.704s,6.588s
1.117s,2.675s,6.630s,10.424s,6.430s
1.095s,2.486s,6.965s,10.548s,6.755s
1.116s,2.618s,6.585s,10.321s,6.559s
1.112s,2.716s,6.704s,10.533s,6.672s
1.128s,2.764s,6.778s,10.672s,6.571s
1.103s,2.610s,6.579s,10.292s,6.544s
1.109s,2.810s,6.546s,10.465s,6.518s
1.114s,2.488s,6.738s,10.340s,6.627s
1.140s,2.815s,6.884s,10.840s,6.647s
1.111s,2.789s,6.665s,10.566s,6.629s
1.107s,2.588s,6.638s,10.333s,6.600s
