6.957s,3.201s,2.307s,12.466s,2.232s
1.106s,2.525s,1.957s,5.589s,1.921s
1.113s,2.654s,2.008s,5.776s,1.972s
1.112s,2.703s,2.011s,5.827s,1.977s
1.111s,2.583s,2.029s,5.723s,1.992s
1.098s,2.633s,2.056s,5.787s,2.021s
1.137s,2.639s,2.071s,5.848s,2.037s
1.124s,2.794s,2.004s,5.922s,1.974s
1.119s,2.553s,2.032s,5.705s,1.992s
1.098s,2.564s,2.002s,5.666s,1.977s
1.125s,2.657s,2.013s,5.797s,1.978s
1.114s,2.699s,1.971s,5.784s,1.929s
1.168s,2.787s,2.083s,6.039s,2.039s
1.138s,2.605s,1.984s,5.728s,1.955s
1.133s,2.541s,2.017s,5.691s,1.981s
1.114s,2.516s,2.026s,5.657s,1.999s
1.113s,2.706s,2.052s,5.873s,2.018s
1.130s,2.726s,2.008s,5.866s,1.971s
1.120s,2.744s,2.006s,5.872s,1.975s
1.131s,2.772s,2.045s,5.950s,2.004s
1.113s,2.713s,2.034s,5.860s,1.992s
1.119s,2.657s,2.061s,5.838s,2.029s
1.149s,2.673s,2.022s,5.845s,1.990s
1.117s,2.753s,2.037s,5.908s,1.993s
1.090s,2.597s,1.992s,5.680s,1.963s
1.122s,2.610s,1.903s,5.636s,1.873s
1.106s,2.723s,2.014s,5.844s,1.974s
1.141s,2.777s,2.058s,5.977s,2.027s
1.128s,2.682s,1.991s,5.802s,1.958s
1.093s,2.608s,2.013s,5.716s,1.983s
1.109s,2.611s,1.926s,5.647s,1.897s
1.115s,2.632s,2.033s,5.781s,2.000s
1.107s,2.530s,2.136s,5.774s,2.002s
1.115s,2.689s,2.051s,5.856s,2.022s
1.106s,2.760s,2.032s,5.899s,2.002s
1.102s,2.666s,2.043s,5.812s,2.005s
1.112s,2.594s,2.011s,5.718s,1.979s
1.118s,2.497s,2.043s,5.659s,2.013s
1.134s,2.644s,2.060s,5.839s,2.012s
1.168s,2.724s,2.033s,5.926s,1.995s
1.107s,2.561s,1.988s,5.658s,1.961s
1.124s,2.665s,1.904s,5.694s,1.871s
1.117s,2.728s,2.011s,5.858s,1.977s
1.104s,2.663s,2.020s,5.787s,1.985s
1.108s,2.637s,2.012s,5.758s,1.986s
1.107s,2.495s,2.014s,5.618s,1.980s
1.128s,2.549s,1.983s,5.662s,1.958s
1.136s,2.578s,2.031s,5.745s,2.003s
2.219s,2.544s,2.088s,6.851s,2.053s
1.132s,2.600s,2.084s,5.816s,2.047s
1.117s,2.646s,2.033s,5.797s,1.996s
1.105s,2.572s,2.007s,5.685s,1.970s
1.165s,2.618s,2.029s,5.813s,2.002s
1.122s,2.700s,2.051s,5.875s,2.017s
1.122s,2.761s,2.021s,5.905s,1.979s
