5.495s,3.675s,2.755s,11.926s,2.691s
1.194s,2.879s,2.433s,6.507s,2.403s
1.117s,2.722s,2.297s,6.137s,2.266s
1.108s,2.446s,2.269s,5.824s,2.240s
1.114s,2.750s,2.235s,6.100s,2.202s
1.120s,2.646s,2.347s,6.113s,2.314s
1.134s,2.763s,2.233s,6.131s,2.199s
1.118s,2.731s,2.257s,6.107s,2.227s
1.107s,2.546s,2.284s,5.938s,2.242s
1.108s,2.621s,2.285s,6.015s,2.242s
1.119s,2.747s,2.268s,6.135s,2.240s
1.116s,2.654s,2.277s,6.048s,2.253s
1.120s,2.794s,2.217s,6.131s,2.186s
1.173s,2.450s,2.254s,5.879s,2.221s
1.129s,2.853s,2.282s,6.265s,2.250s
1.128s,2.610s,2.330s,6.069s,2.294s
1.103s,2.514s,2.294s,5.912s,2.260s
1.096s,2.705s,2.262s,6.063s,2.217s
1.124s,2.784s,2.280s,6.189s,2.252s
1.116s,2.668s,2.140s,5.925s,2.106s
1.108s,2.658s,2.297s,6.064s,2.256s
1.114s,2.740s,2.362s,6.217s,2.317s
1.171s,2.639s,2.222s,6.033s,2.196s
1.163s,2.573s,2.249s,5.985s,2.223s
1.095s,2.524s,2.178s,5.798s,2.147s
1.101s,2.722s,2.273s,6.097s,2.240s
1.103s,2.610s,2.275s,5.989s,2.242s
1.128s,2.812s,2.266s,6.207s,2.231s
1.114s,2.781s,2.231s,6.127s,2.200s
1.136s,2.807s,2.373s,6.317s,2.337s
1.120s,2.737s,2.231s,6.089s,2.194s
1.115s,2.854s,2.305s,6.275s,2.272s
1.107s,2.514s,2.364s,5.986s,2.337s
1.140s,2.780s,2.282s,6.203s,2.246s
1.129s,2.657s,2.262s,6.049s,2.229s
1.136s,2.761s,2.251s,6.149s,2.220s
1.165s,2.501s,2.280s,5.947s,2.257s
1.125s,2.560s,2.318s,6.004s,2.281s
1.127s,2.519s,2.280s,5.926s,2.244s
1.119s,2.760s,2.298s,6.179s,2.271s
1.116s,2.729s,2.283s,6.129s,2.251s
1.108s,2.528s,2.285s,5.923s,2.247s
1.124s,2.511s,2.313s,5.950s,2.279s
1.137s,2.830s,2.349s,6.317s,2.315s
1.157s,2.529s,2.305s,5.993s,2.259s
1.387s,2.777s,2.284s,6.449s,2.251s
1.137s,2.779s,2.300s,6.217s,2.260s
1.113s,2.558s,2.252s,5.923s,2.227s
1.105s,2.524s,2.292s,5.922s,2.266s
1.122s,2.740s,2.243s,6.107s,2.219s
1.094s,2.647s,2.288s,6.030s,2.252s
1.111s,2.670s,2.268s,6.051s,2.238s
1.127s,2.470s,2.288s,5.886s,2.256s
1.118s,2.794s,2.267s,6.180s,2.234s
1.128s,2.867s,2.257s,6.253s,2.222s
