5.554s,3.952s,1.869s,11.376s,1.838s
2.271s,2.689s,1.587s,6.548s,1.559s
1.110s,2.716s,1.536s,5.363s,1.520s
1.114s,2.815s,1.571s,5.501s,1.554s
1.121s,2.811s,1.537s,5.470s,1.512s
1.148s,2.873s,1.557s,5.579s,1.543s
1.118s,3.197s,1.533s,5.849s,1.517s
1.145s,2.661s,1.589s,5.397s,1.570s
1.131s,2.652s,1.570s,5.355s,1.555s
1.106s,2.905s,1.630s,5.642s,1.615s
1.112s,2.715s,1.691s,5.520s,1.661s
1.150s,2.967s,1.533s,5.650s,1.517s
1.108s,2.801s,1.592s,5.502s,1.576s
1.140s,3.395s,1.550s,6.086s,1.536s
1.121s,2.925s,1.621s,5.667s,1.603s
1.100s,2.533s,1.681s,5.314s,1.665s
1.113s,2.614s,1.538s,5.266s,1.523s
1.109s,2.630s,1.576s,5.315s,1.562s
1.089s,3.274s,1.585s,5.949s,1.570s
1.090s,2.846s,1.520s,5.456s,1.507s
1.114s,2.974s,1.555s,5.645s,1.542s
1.117s,3.064s,1.580s,5.761s,1.563s
1.102s,2.847s,1.543s,5.492s,1.529s
1.122s,2.872s,1.565s,5.560s,1.551s
1.112s,2.711s,1.752s,5.576s,1.519s
1.102s,2.896s,1.666s,5.665s,1.652s
1.122s,2.766s,1.597s,5.487s,1.581s
1.126s,2.846s,1.554s,5.527s,1.541s
1.117s,2.803s,1.552s,5.473s,1.521s
1.245s,2.918s,1.689s,5.853s,1.676s
1.112s,2.779s,1.547s,5.439s,1.528s
1.123s,2.881s,1.579s,5.584s,1.553s
1.112s,2.806s,1.585s,5.504s,1.571s
1.129s,3.046s,1.630s,5.806s,1.611s
1.135s,2.893s,1.720s,5.749s,1.706s
1.132s,3.135s,1.743s,6.011s,1.725s
1.104s,3.292s,1.721s,6.118s,1.704s
1.125s,3.378s,1.626s,6.130s,1.610s
1.122s,3.089s,1.695s,5.907s,1.682s
1.106s,3.211s,1.731s,6.048s,1.715s
1.110s,3.162s,1.775s,6.048s,1.763s
1.112s,2.978s,1.623s,5.713s,1.608s
1.113s,2.830s,1.593s,5.538s,1.576s
1.130s,3.230s,1.627s,5.988s,1.614s
1.119s,2.764s,1.615s,5.498s,1.599s
1.126s,3.002s,1.605s,5.734s,1.590s
1.116s,3.211s,1.622s,5.950s,1.605s
1.121s,3.010s,1.971s,6.104s,1.704s
1.134s,3.142s,1.591s,5.868s,1.574s
1.134s,3.005s,1.589s,5.729s,1.564s
1.121s,3.357s,1.645s,6.124s,1.632s
1.166s,2.659s,1.603s,5.429s,1.589s
1.145s,3.415s,1.725s,6.287s,1.713s
1.149s,3.254s,1.602s,6.006s,1.571s
1.115s,3.462s,1.758s,6.337s,1.746s
