6.231s,4.189s,2.474s,12.895s,2.445s
1.149s,3.102s,1.895s,6.147s,1.875s
1.113s,2.762s,2.073s,5.949s,2.039s
1.112s,2.725s,1.958s,5.797s,1.940s
1.127s,2.994s,1.943s,6.065s,1.917s
1.147s,3.239s,1.763s,6.150s,1.746s
1.112s,2.822s,1.954s,5.889s,1.922s
1.127s,3.114s,1.963s,6.205s,1.931s
1.122s,3.042s,1.844s,6.010s,1.814s
1.751s,2.858s,1.964s,6.573s,1.944s
1.102s,3.065s,1.893s,6.061s,1.877s
1.106s,2.952s,1.921s,5.980s,1.894s
1.163s,3.134s,1.937s,6.235s,1.912s
1.110s,3.088s,1.922s,6.122s,1.894s
1.112s,3.001s,1.902s,6.015s,1.870s
1.134s,2.666s,1.931s,5.732s,1.900s
1.102s,2.894s,1.857s,5.854s,1.839s
1.110s,2.996s,1.922s,6.030s,1.892s
1.112s,2.843s,1.871s,5.827s,1.852s
1.122s,2.849s,1.865s,5.837s,1.850s
1.119s,2.948s,1.853s,5.920s,1.835s
1.094s,2.707s,1.865s,5.667s,1.848s
1.119s,2.855s,1.928s,5.903s,1.894s
1.098s,2.651s,1.887s,5.636s,1.855s
1.103s,2.618s,1.758s,5.480s,1.741s
1.112s,2.860s,1.841s,5.815s,1.819s
1.126s,2.797s,1.888s,5.812s,1.858s
1.129s,2.754s,1.894s,5.777s,1.883s
1.127s,2.614s,1.883s,5.625s,1.850s
1.110s,2.932s,1.984s,6.027s,1.951s
1.110s,2.814s,1.903s,5.827s,1.869s
1.128s,3.028s,1.908s,6.065s,1.866s
1.114s,2.992s,1.904s,6.011s,1.877s
1.116s,2.662s,1.923s,5.702s,1.888s
1.157s,3.068s,1.936s,6.162s,1.916s
1.104s,3.033s,1.882s,6.020s,1.853s
1.113s,3.219s,1.907s,6.240s,1.877s
1.131s,3.034s,2.218s,6.384s,1.924s
1.115s,3.064s,1.906s,6.086s,1.864s
1.116s,3.128s,1.756s,6.001s,1.731s
1.112s,3.053s,1.911s,6.076s,1.878s
1.131s,2.738s,1.907s,5.777s,1.876s
1.097s,2.753s,1.895s,5.746s,1.875s
1.104s,3.081s,1.908s,6.094s,1.875s
1.114s,2.889s,1.891s,5.894s,1.873s
1.119s,2.693s,1.894s,5.707s,1.864s
1.133s,2.944s,1.912s,5.991s,1.897s
1.113s,2.761s,1.814s,5.689s,1.794s
1.103s,2.877s,1.930s,5.911s,1.898s
1.113s,2.727s,1.970s,5.811s,1.950s
1.118s,3.293s,1.896s,6.308s,1.878s
1.115s,2.732s,1.896s,5.744s,1.863s
1.121s,2.651s,1.920s,5.693s,1.903s
1.137s,2.916s,1.906s,5.960s,1.890s
1.108s,3.160s,1.964s,6.233s,1.950s
