6.806s,3.940s,7.534s,18.280s,7.502s
1.108s,2.766s,6.909s,10.784s,6.870s
1.142s,3.003s,6.647s,10.793s,6.623s
1.130s,2.896s,6.778s,10.805s,6.741s
1.107s,2.648s,6.840s,10.596s,6.669s
1.088s,2.750s,6.627s,10.467s,6.596s
1.119s,2.883s,6.620s,10.624s,6.576s
1.107s,2.786s,6.705s,10.599s,6.542s
1.113s,2.784s,7.275s,11.173s,7.244s
1.132s,2.809s,6.721s,10.663s,6.681s
1.119s,2.604s,6.784s,10.508s,6.640s
1.116s,2.917s,6.645s,10.679s,6.607s
1.114s,2.811s,6.556s,10.482s,6.514s
1.119s,2.824s,6.693s,10.636s,6.655s
1.118s,2.822s,6.704s,10.645s,6.678s
1.122s,2.921s,6.702s,10.746s,6.673s
1.134s,2.934s,6.590s,10.660s,6.558s
1.122s,2.739s,6.596s,10.458s,6.570s
1.110s,2.752s,6.690s,10.552s,6.652s
1.125s,3.004s,6.635s,10.766s,6.607s
1.130s,2.827s,6.623s,10.581s,6.589s
1.109s,2.820s,6.590s,10.520s,6.565s
1.102s,2.814s,6.727s,10.643s,6.698s
1.121s,2.850s,6.606s,10.578s,6.579s
1.156s,2.784s,6.786s,10.728s,6.745s
1.107s,2.810s,6.782s,10.700s,6.718s
1.112s,2.836s,6.698s,10.648s,6.652s
1.129s,2.838s,6.687s,10.656s,6.662s
1.113s,2.633s,6.634s,10.381s,6.589s
1.111s,2.737s,6.878s,10.728s,6.725s
1.135s,2.912s,6.760s,10.808s,6.602s
1.135s,2.786s,6.689s,10.610s,6.656s
1.134s,2.867s,6.556s,10.558s,6.534s
1.115s,2.950s,6.680s,10.746s,6.644s
1.214s,2.911s,6.823s,10.949s,6.788s
1.110s,2.785s,6.655s,10.551s,6.516s
1.101s,2.829s,6.682s,10.613s,6.660s
1.155s,2.886s,6.655s,10.696s,6.623s
1.110s,2.611s,6.650s,10.371s,6.619s
1.139s,2.836s,6.727s,10.703s,6.693s
1.153s,2.946s,6.880s,10.980s,6.729s
1.109s,2.858s,6.769s,10.737s,6.729s
1.140s,2.647s,6.580s,10.367s,6.553s
1.116s,2.617s,6.673s,10.407s,6.646s
1.109s,2.775s,6.671s,10.556s,6.637s
1.150s,2.917s,6.702s,10.770s,6.669s
1.126s,2.877s,6.752s,10.756s,6.610s
1.097s,2.901s,6.687s,10.686s,6.651s
1.126s,2.778s,6.835s,10.740s,6.683s
1.111s,2.775s,6.870s,10.757s,6.834s
1.117s,2.912s,6.665s,10.694s,6.638s
1.147s,2.770s,6.538s,10.456s,6.508s
1.106s,2.650s,6.608s,10.365s,6.578s
1.114s,2.678s,6.786s,10.580s,6.637s
1.116s,2.782s,6.589s,10.488s,6.558s
