7.828s,3.773s,2.340s,13.942s,2.312s
1.104s,2.861s,2.085s,6.052s,2.050s
1.101s,2.981s,1.917s,6.000s,1.882s
1.125s,2.741s,2.049s,5.916s,2.012s
1.113s,2.770s,2.143s,6.027s,2.112s
1.139s,2.779s,2.052s,5.972s,2.017s
1.098s,2.654s,2.042s,5.795s,2.012s
1.128s,2.865s,2.071s,6.064s,2.039s
1.104s,2.761s,2.054s,5.920s,2.022s
1.129s,2.850s,2.114s,6.095s,2.079s
1.124s,2.814s,2.188s,6.128s,2.036s
1.121s,2.794s,1.958s,5.875s,1.923s
1.155s,2.737s,2.033s,5.926s,2.003s
1.118s,2.663s,2.017s,5.799s,1.986s
1.119s,2.823s,2.044s,5.987s,2.012s
1.133s,2.855s,2.033s,6.022s,2.005s
1.107s,2.742s,1.999s,5.849s,1.973s
1.116s,2.671s,2.064s,5.853s,2.031s
1.110s,2.798s,2.001s,5.910s,1.970s
1.115s,2.715s,2.152s,5.984s,2.121s
1.116s,2.866s,2.026s,6.009s,2.003s
1.190s,2.777s,2.187s,6.156s,2.050s
1.131s,2.892s,2.058s,6.081s,2.028s
1.120s,2.757s,2.028s,5.906s,1.993s
1.117s,2.741s,2.236s,6.096s,2.086s
1.130s,2.944s,2.063s,6.138s,2.027s
2.436s,2.912s,2.047s,7.395s,2.016s
1.128s,2.879s,2.079s,6.087s,2.047s
1.112s,2.853s,2.027s,5.993s,1.992s
1.113s,2.642s,2.084s,5.840s,2.054s
1.115s,2.781s,2.031s,5.929s,2.000s
1.119s,2.780s,2.090s,5.991s,2.064s
1.109s,2.648s,2.057s,5.815s,2.027s
1.132s,2.810s,2.049s,5.993s,2.018s
1.121s,2.872s,2.069s,6.063s,2.038s
1.105s,2.609s,2.023s,5.738s,1.992s
1.137s,2.876s,2.018s,6.031s,1.989s
1.111s,2.907s,2.026s,6.045s,1.999s
1.139s,2.918s,2.030s,6.087s,1.997s
1.135s,2.735s,2.141s,6.012s,2.102s
1.114s,2.678s,2.127s,5.920s,1.988s
1.108s,2.787s,2.110s,6.006s,2.068s
1.120s,2.831s,2.046s,5.999s,2.011s
1.116s,2.671s,2.040s,5.828s,2.005s
1.119s,2.784s,2.114s,6.018s,2.075s
1.119s,2.754s,2.055s,5.930s,2.010s
1.128s,2.953s,2.094s,6.176s,2.067s
1.106s,2.727s,2.080s,5.914s,2.051s
1.107s,2.814s,2.086s,6.008s,2.052s
1.123s,2.781s,1.915s,5.820s,1.875s
1.122s,2.741s,2.074s,5.938s,2.044s
1.137s,2.862s,2.090s,6.090s,2.053s
1.715s,2.784s,2.066s,6.566s,2.030s
1.110s,2.848s,2.037s,5.995s,2.007s
1.129s,2.730s,2.109s,5.969s,2.080s
