7.757s,3.576s,2.608s,13.942s,2.564s
1.311s,3.324s,2.478s,7.114s,2.437s
1.127s,2.905s,2.317s,6.351s,2.282s
1.108s,2.903s,2.256s,6.267s,2.225s
1.114s,2.687s,2.259s,6.061s,2.227s
1.125s,2.734s,2.260s,6.121s,2.221s
1.121s,2.887s,2.289s,6.298s,2.259s
1.102s,2.692s,2.276s,6.070s,2.248s
1.105s,2.849s,2.268s,6.223s,2.232s
1.112s,2.785s,2.286s,6.184s,2.263s
1.138s,2.732s,2.222s,6.093s,2.191s
1.123s,2.860s,2.231s,6.215s,2.202s
1.128s,2.649s,2.271s,6.049s,2.235s
1.146s,2.785s,2.226s,6.158s,2.198s
1.156s,2.833s,2.294s,6.284s,2.255s
1.127s,2.708s,2.223s,6.059s,2.195s
1.137s,2.828s,2.269s,6.235s,2.241s
1.112s,2.876s,2.267s,6.256s,2.235s
1.117s,2.680s,2.250s,6.048s,2.215s
1.106s,2.692s,2.352s,6.151s,2.314s
1.121s,2.747s,2.281s,6.150s,2.248s
1.159s,2.766s,2.295s,6.221s,2.262s
1.127s,2.865s,2.389s,6.382s,2.240s
1.117s,2.744s,2.287s,6.149s,2.242s
1.129s,2.761s,2.132s,6.023s,2.094s
1.111s,2.759s,2.236s,6.108s,2.211s
1.096s,2.751s,2.244s,6.092s,2.215s
1.093s,2.721s,2.227s,6.042s,2.199s
1.116s,2.760s,2.088s,5.965s,2.052s
1.111s,2.870s,2.120s,6.103s,2.085s
1.138s,2.825s,2.229s,6.193s,2.196s
1.153s,2.762s,2.224s,6.140s,2.196s
1.109s,2.689s,2.235s,6.034s,2.210s
1.132s,2.784s,2.145s,6.062s,2.117s
1.113s,2.887s,2.255s,6.256s,2.230s
1.125s,2.787s,2.266s,6.179s,2.233s
1.120s,2.780s,2.300s,6.200s,2.256s
1.132s,2.782s,2.283s,6.198s,2.249s
1.109s,2.998s,2.298s,6.406s,2.255s
1.115s,2.968s,2.322s,6.406s,2.289s
1.152s,2.963s,2.253s,6.368s,2.220s
1.106s,2.816s,2.256s,6.180s,2.228s
1.115s,2.805s,2.205s,6.126s,2.179s
1.103s,2.594s,2.322s,6.020s,2.271s
1.109s,2.799s,2.286s,6.195s,2.251s
1.141s,2.705s,2.243s,6.090s,2.205s
1.118s,2.947s,2.291s,6.357s,2.250s
1.116s,2.732s,2.246s,6.095s,2.209s
1.127s,2.808s,2.388s,6.324s,2.241s
1.120s,2.702s,2.281s,6.104s,2.253s
1.154s,2.893s,2.204s,6.252s,2.169s
1.134s,2.856s,2.345s,6.336s,2.308s
1.101s,2.612s,2.211s,5.925s,2.185s
1.113s,2.848s,2.354s,6.316s,2.202s
1.106s,2.870s,2.144s,6.121s,2.107s
