6.496s,4.380s,2.816s,13.693s,2.779s
1.130s,2.901s,1.972s,6.003s,1.947s
1.150s,3.098s,2.032s,6.281s,1.998s
1.123s,3.208s,2.101s,6.434s,2.068s
1.117s,2.913s,2.110s,6.140s,2.064s
1.133s,2.953s,2.010s,6.097s,1.979s
1.140s,2.983s,2.009s,6.133s,1.963s
1.130s,2.793s,2.236s,6.160s,1.968s
1.134s,3.139s,2.054s,6.328s,2.018s
1.128s,3.011s,2.004s,6.144s,1.986s
1.125s,3.038s,2.021s,6.185s,1.985s
1.132s,2.685s,1.966s,5.785s,1.935s
1.133s,2.848s,2.060s,6.042s,2.033s
1.103s,3.123s,2.001s,6.228s,1.976s
1.114s,2.818s,2.045s,5.978s,2.017s
1.137s,3.265s,2.015s,6.418s,1.980s
1.117s,3.129s,2.232s,6.480s,1.977s
1.117s,3.076s,2.041s,6.236s,2.000s
1.138s,2.963s,2.040s,6.142s,2.008s
1.131s,2.712s,2.110s,5.953s,2.073s
1.105s,3.199s,2.027s,6.332s,1.997s
1.109s,2.628s,2.011s,5.749s,1.971s
1.107s,3.149s,1.987s,6.244s,1.954s
1.100s,3.008s,2.056s,6.165s,2.031s
1.124s,3.084s,2.061s,6.270s,2.032s
1.124s,2.745s,2.032s,5.901s,2.001s
1.129s,2.794s,1.980s,5.903s,1.948s
1.106s,2.660s,1.998s,5.765s,1.976s
1.165s,3.194s,2.028s,6.388s,1.988s
1.114s,3.224s,2.075s,6.413s,2.054s
1.108s,2.954s,1.967s,6.030s,1.933s
1.099s,2.966s,2.050s,6.116s,2.018s
1.118s,2.839s,1.993s,5.951s,1.976s
1.112s,2.812s,2.070s,5.994s,2.039s
1.128s,2.863s,2.016s,6.007s,1.983s
1.117s,2.698s,1.973s,5.789s,1.947s
1.113s,2.760s,1.974s,5.847s,1.957s
1.124s,2.757s,2.026s,5.907s,1.998s
1.115s,2.912s,2.004s,6.032s,1.970s
1.128s,2.878s,2.109s,6.116s,2.089s
1.111s,3.141s,1.908s,6.160s,1.877s
1.121s,2.977s,2.095s,6.194s,2.067s
1.105s,2.994s,2.032s,6.132s,1.997s
1.104s,2.747s,2.070s,5.922s,2.033s
1.105s,3.083s,2.019s,6.208s,1.997s
1.122s,3.005s,2.004s,6.132s,1.972s
1.110s,3.072s,2.027s,6.210s,2.001s
2.070s,2.691s,1.986s,6.748s,1.951s
1.120s,3.041s,2.111s,6.273s,2.075s
1.127s,3.034s,2.044s,6.205s,2.009s
1.127s,2.631s,1.891s,5.650s,1.868s
1.122s,2.739s,2.267s,6.130s,1.957s
1.115s,3.000s,2.042s,6.158s,2.007s
1.132s,2.817s,2.046s,5.996s,2.017s
1.114s,3.183s,2.043s,6.341s,2.006s
