7.686s,3.640s,3.449s,14.777s,3.421s
1.196s,2.900s,2.982s,7.080s,2.956s
1.125s,2.793s,2.850s,6.769s,2.828s
1.109s,2.705s,2.814s,6.629s,2.785s
1.138s,2.845s,2.799s,6.783s,2.771s
1.124s,2.987s,2.795s,6.908s,2.766s
1.138s,2.719s,2.806s,6.664s,2.777s
1.115s,2.708s,2.808s,6.631s,2.773s
1.129s,2.758s,2.811s,6.698s,2.781s
1.166s,2.777s,2.849s,6.792s,2.817s
1.115s,2.743s,2.796s,6.654s,2.768s
1.116s,2.758s,2.904s,6.780s,2.760s
1.119s,2.848s,2.991s,6.959s,2.851s
1.102s,2.841s,2.881s,6.825s,2.845s
1.101s,2.739s,2.867s,6.708s,2.828s
1.112s,2.960s,2.840s,6.913s,2.801s
1.102s,2.694s,2.882s,6.678s,2.845s
1.105s,2.957s,2.874s,6.937s,2.845s
1.175s,2.887s,2.826s,6.889s,2.792s
1.147s,2.897s,2.913s,6.959s,2.891s
1.162s,2.870s,2.896s,6.929s,2.856s
1.144s,2.887s,2.836s,6.869s,2.803s
1.141s,2.800s,2.798s,6.740s,2.768s
1.126s,2.827s,2.894s,6.848s,2.860s
1.110s,2.815s,2.827s,6.752s,2.794s
1.117s,2.773s,2.865s,6.756s,2.827s
1.109s,2.669s,2.677s,6.456s,2.647s
1.112s,2.689s,2.778s,6.581s,2.743s
1.137s,2.685s,2.817s,6.640s,2.786s
1.134s,2.997s,2.821s,6.953s,2.788s
1.108s,2.863s,2.789s,6.760s,2.756s
1.129s,2.748s,2.705s,6.584s,2.671s
1.145s,2.816s,2.839s,6.801s,2.804s
1.142s,3.000s,2.869s,7.013s,2.814s
1.140s,2.962s,2.785s,6.888s,2.750s
1.106s,2.731s,2.800s,6.638s,2.760s
1.115s,2.673s,2.788s,6.577s,2.762s
1.105s,2.705s,2.811s,6.621s,2.770s
1.132s,2.707s,2.807s,6.647s,2.781s
1.138s,2.816s,2.953s,6.909s,2.917s
1.125s,2.822s,2.774s,6.721s,2.750s
1.111s,2.806s,2.799s,6.717s,2.773s
1.153s,2.719s,2.805s,6.678s,2.786s
1.097s,2.941s,2.821s,6.860s,2.788s
1.130s,2.874s,2.827s,6.832s,2.798s
1.113s,2.754s,2.790s,6.658s,2.760s
1.107s,2.856s,2.775s,6.739s,2.742s
1.117s,2.662s,2.795s,6.575s,2.763s
1.345s,2.830s,2.830s,7.006s,2.804s
1.117s,2.746s,2.861s,6.724s,2.840s
1.103s,2.878s,2.810s,6.793s,2.778s
1.112s,2.840s,2.887s,6.840s,2.740s
1.095s,2.736s,2.853s,6.685s,2.821s
1.125s,2.965s,2.797s,6.888s,2.761s
1.111s,2.917s,2.857s,6.886s,2.826s
