1.119s,2.755s,2.357s,6.231s,2.327s
1.043s,2.787s,2.390s,6.222s,2.349s
1.052s,2.715s,2.331s,6.100s,2.306s
1.088s,2.713s,2.343s,6.145s,2.310s
1.068s,2.800s,2.435s,6.304s,2.400s
1.081s,2.619s,2.391s,6.093s,2.359s
1.066s,2.709s,2.324s,6.101s,2.292s
1.093s,2.659s,2.370s,6.124s,2.323s
1.059s,2.657s,2.340s,6.057s,2.321s
1.063s,2.681s,2.427s,6.171s,2.401s
1.080s,2.847s,2.401s,6.329s,2.372s
1.065s,2.870s,2.405s,6.341s,2.371s
1.063s,2.651s,2.370s,6.084s,2.340s
1.062s,2.863s,2.382s,6.307s,2.354s
1.085s,2.707s,2.554s,6.347s,2.408s
1.092s,2.892s,2.434s,6.420s,2.400s
1.078s,2.749s,2.496s,6.324s,2.347s
1.068s,2.592s,2.418s,6.079s,2.384s
1.069s,2.805s,2.441s,6.317s,2.386s
1.069s,2.847s,2.330s,6.247s,2.291s
1.056s,2.713s,2.452s,6.221s,2.425s
1.104s,3.026s,2.465s,6.596s,2.433s
1.077s,2.815s,2.462s,6.354s,2.422s
1.136s,2.828s,2.304s,6.268s,2.264s
1.114s,2.850s,2.458s,6.423s,2.430s
1.089s,3.010s,2.397s,6.496s,2.360s
1.082s,2.809s,2.497s,6.389s,2.344s
1.109s,2.898s,2.285s,6.293s,2.260s
1.184s,2.902s,2.377s,6.463s,2.348s
1.086s,2.665s,2.415s,6.168s,2.382s
1.075s,2.546s,2.355s,5.976s,2.326s
1.080s,2.740s,2.355s,6.176s,2.321s
1.077s,2.745s,2.402s,6.225s,2.368s
1.074s,2.625s,2.345s,6.044s,2.313s
1.082s,2.653s,2.430s,6.166s,2.398s
1.084s,2.827s,2.476s,6.388s,2.329s
1.062s,2.728s,2.319s,6.109s,2.286s
1.059s,2.717s,2.374s,6.150s,2.344s
1.124s,2.688s,2.270s,6.082s,2.233s
1.062s,2.840s,2.383s,6.286s,2.355s
1.069s,2.776s,2.338s,6.183s,2.311s
1.094s,2.723s,2.361s,6.179s,2.319s
1.072s,2.657s,2.356s,6.085s,2.311s
1.067s,2.775s,2.344s,6.187s,2.311s
1.089s,2.616s,2.430s,6.136s,2.405s
1.074s,2.829s,2.368s,6.272s,2.332s
1.074s,2.820s,2.414s,6.309s,2.380s
1.064s,2.733s,2.353s,6.152s,2.329s
1.130s,2.580s,2.412s,6.122s,2.378s
1.084s,2.713s,2.459s,6.257s,2.418s
1.125s,2.825s,2.403s,6.354s,2.380s
1.075s,2.847s,2.446s,6.370s,2.421s
1.155s,2.880s,2.442s,6.478s,2.411s
1.095s,2.816s,2.379s,6.290s,2.352s
1.095s,2.994s,2.382s,6.472s,2.344s
