1.168s,2.831s,2.716s,6.716s,2.570s
1.066s,3.000s,2.560s,6.627s,2.529s
1.070s,2.759s,2.538s,6.367s,2.514s
1.071s,2.725s,2.546s,6.344s,2.516s
1.087s,2.697s,2.596s,6.380s,2.564s
1.056s,2.816s,2.449s,6.322s,2.416s
1.059s,2.753s,2.563s,6.376s,2.532s
1.099s,2.775s,2.563s,6.438s,2.530s
1.083s,2.674s,2.601s,6.359s,2.569s
1.140s,2.632s,2.584s,6.357s,2.550s
1.056s,2.854s,2.565s,6.476s,2.533s
1.075s,2.743s,2.577s,6.396s,2.545s
1.064s,2.856s,2.623s,6.544s,2.587s
1.065s,2.690s,2.652s,6.408s,2.503s
1.075s,2.757s,2.794s,6.628s,2.656s
1.063s,2.774s,2.826s,6.664s,2.666s
1.078s,2.749s,2.621s,6.449s,2.586s
1.097s,2.731s,2.661s,6.490s,2.515s
1.064s,2.784s,2.530s,6.378s,2.504s
1.063s,2.764s,2.613s,6.441s,2.577s
1.063s,2.661s,2.594s,6.319s,2.562s
1.069s,2.854s,2.569s,6.493s,2.536s
1.071s,2.579s,2.577s,6.228s,2.539s
1.064s,2.648s,2.591s,6.304s,2.556s
1.083s,2.971s,2.576s,6.631s,2.546s
1.065s,2.949s,2.561s,6.576s,2.537s
1.054s,2.622s,2.656s,6.332s,2.622s
1.049s,2.688s,2.619s,6.357s,2.584s
1.068s,2.696s,2.591s,6.356s,2.554s
1.070s,2.726s,2.606s,6.404s,2.576s
1.083s,2.917s,2.575s,6.576s,2.541s
1.064s,2.779s,2.537s,6.381s,2.510s
1.085s,2.799s,2.598s,6.482s,2.566s
1.075s,2.766s,2.574s,6.417s,2.544s
1.062s,2.649s,2.605s,6.317s,2.571s
1.067s,2.776s,2.609s,6.452s,2.579s
1.061s,2.648s,2.761s,6.472s,2.596s
1.094s,2.836s,2.598s,6.529s,2.566s
1.066s,2.695s,2.577s,6.339s,2.546s
1.039s,2.857s,2.766s,6.664s,2.606s
1.080s,2.717s,2.585s,6.382s,2.558s
1.058s,2.850s,2.476s,6.385s,2.443s
1.062s,2.968s,2.559s,6.590s,2.537s
1.065s,2.674s,2.619s,6.359s,2.587s
1.064s,2.643s,2.577s,6.285s,2.549s
1.064s,2.699s,2.692s,6.456s,2.549s
1.067s,2.938s,2.571s,6.577s,2.545s
1.063s,2.862s,2.556s,6.481s,2.531s
1.066s,2.877s,2.506s,6.449s,2.490s
1.060s,2.762s,2.593s,6.416s,2.558s
1.058s,2.885s,2.506s,6.450s,2.474s
1.061s,2.728s,2.531s,6.322s,2.500s
1.055s,2.684s,2.575s,6.315s,2.539s
1.059s,2.797s,2.573s,6.429s,2.544s
1.056s,2.681s,2.595s,6.334s,2.566s
