1.116s,2.865s,4.382s,8.364s,4.362s
1.064s,2.532s,4.185s,7.782s,4.154s
1.092s,2.850s,4.244s,8.188s,4.104s
1.049s,2.685s,4.161s,7.896s,4.129s
1.062s,2.776s,4.138s,7.977s,4.119s
1.062s,2.684s,4.269s,8.016s,4.125s
1.064s,2.738s,4.137s,7.940s,4.100s
1.083s,2.755s,4.261s,8.100s,4.123s
1.059s,2.873s,4.119s,8.052s,4.088s
1.063s,2.639s,4.150s,7.853s,4.118s
1.094s,2.754s,4.124s,7.973s,4.090s
1.130s,2.831s,4.160s,8.122s,4.129s
1.055s,2.651s,4.333s,8.040s,4.179s
1.069s,2.782s,4.153s,8.004s,4.131s
1.061s,2.767s,4.307s,8.136s,4.160s
1.059s,2.837s,4.121s,8.018s,4.100s
1.104s,2.624s,4.206s,7.936s,4.065s
1.065s,2.674s,4.176s,7.916s,4.149s
1.114s,2.767s,4.125s,8.007s,4.097s
1.059s,2.711s,4.170s,7.942s,4.151s
1.062s,2.808s,4.109s,7.980s,4.079s
1.067s,2.664s,4.148s,7.880s,4.123s
1.087s,2.758s,4.132s,7.977s,4.098s
1.075s,2.755s,4.159s,7.990s,4.139s
1.071s,2.794s,4.235s,8.100s,4.213s
1.055s,2.882s,4.224s,8.161s,4.190s
1.073s,2.671s,4.153s,7.897s,4.120s
1.066s,2.551s,4.234s,7.852s,4.204s
1.064s,2.584s,4.114s,7.764s,4.092s
1.066s,2.714s,4.275s,8.056s,4.131s
1.085s,2.812s,4.112s,8.011s,4.089s
1.057s,2.633s,4.201s,7.892s,4.154s
1.055s,2.766s,4.178s,7.999s,4.150s
1.101s,2.731s,4.192s,8.026s,4.165s
1.083s,2.619s,4.188s,7.891s,4.153s
1.044s,2.647s,4.095s,7.788s,4.045s
1.060s,2.620s,4.144s,7.825s,4.121s
1.059s,2.768s,4.169s,7.997s,4.141s
1.110s,2.630s,4.196s,7.937s,4.175s
1.050s,2.749s,4.166s,7.966s,4.146s
1.085s,2.995s,4.133s,8.213s,4.105s
1.058s,2.879s,4.182s,8.121s,4.151s
1.060s,2.817s,4.246s,8.124s,4.103s
1.080s,2.610s,4.138s,7.829s,4.112s
1.069s,2.713s,4.190s,7.973s,4.160s
1.068s,2.626s,4.195s,7.890s,4.166s
1.121s,2.669s,4.147s,7.938s,4.107s
1.060s,2.777s,4.158s,7.996s,4.128s
1.060s,2.708s,4.144s,7.913s,4.116s
1.058s,2.749s,4.307s,8.116s,4.161s
1.145s,2.723s,4.109s,7.978s,4.074s
1.067s,2.726s,4.111s,7.905s,4.087s
1.072s,2.635s,4.173s,7.881s,4.142s
1.110s,2.842s,4.164s,8.117s,4.141s
1.083s,2.892s,4.239s,8.214s,4.209s
