3.592s,3.566s,28.899s,36.058s,28.890s
1.163s,3.338s,23.569s,28.070s,23.559s
1.158s,3.485s,23.418s,28.062s,23.405s
1.148s,3.237s,23.681s,28.067s,23.670s
1.162s,3.438s,23.461s,28.062s,23.444s
1.158s,3.287s,23.616s,28.062s,23.606s
1.172s,3.715s,23.167s,28.055s,23.156s
1.198s,3.479s,23.376s,28.054s,23.366s
1.170s,3.521s,23.378s,28.070s,23.368s
1.166s,3.218s,23.692s,28.077s,23.676s
1.155s,3.556s,23.343s,28.055s,23.332s
1.156s,3.321s,23.589s,28.067s,23.579s
1.160s,3.187s,23.719s,28.066s,23.709s
1.152s,3.287s,23.628s,28.068s,23.617s
1.148s,3.301s,23.621s,28.071s,23.610s
1.191s,3.466s,23.413s,28.071s,23.403s
1.159s,3.247s,23.658s,28.065s,23.646s
1.212s,3.354s,23.495s,28.062s,23.485s
1.170s,3.508s,23.379s,28.058s,23.369s
1.180s,3.183s,23.696s,28.060s,23.685s
1.141s,3.516s,23.410s,28.068s,23.398s
1.150s,3.442s,23.478s,28.071s,23.468s
1.144s,3.303s,23.614s,28.061s,23.597s
1.140s,3.422s,23.518s,28.081s,23.506s
1.142s,3.338s,23.583s,28.063s,23.572s
1.184s,3.380s,23.505s,28.070s,23.495s
1.153s,3.083s,23.821s,28.058s,23.808s
1.217s,3.462s,23.375s,28.055s,23.365s
1.167s,3.525s,23.361s,28.055s,23.351s
1.176s,3.507s,23.381s,28.066s,23.372s
1.159s,3.225s,23.691s,28.075s,23.680s
1.203s,3.528s,23.331s,28.063s,23.321s
1.199s,3.339s,23.524s,28.063s,23.513s
1.229s,3.526s,23.312s,28.067s,23.301s
1.167s,3.286s,23.618s,28.073s,23.606s
1.169s,3.307s,23.586s,28.063s,23.576s
1.157s,3.498s,23.416s,28.072s,23.405s
1.232s,3.237s,23.610s,28.080s,23.582s
1.204s,3.529s,23.332s,28.067s,23.322s
1.160s,3.478s,23.435s,28.074s,23.426s
1.175s,3.296s,23.590s,28.063s,23.580s
1.132s,3.334s,23.597s,28.063s,23.586s
1.167s,3.515s,23.372s,28.055s,23.362s
1.134s,3.459s,23.470s,28.063s,23.459s
1.130s,3.499s,23.440s,28.071s,23.430s
1.175s,3.321s,23.569s,28.066s,23.560s
1.145s,3.509s,23.400s,28.055s,23.389s
1.155s,3.544s,23.363s,28.063s,23.353s
1.151s,3.474s,23.438s,28.065s,23.422s
1.192s,3.652s,23.211s,28.056s,23.200s
1.155s,3.468s,23.444s,28.068s,23.433s
1.157s,3.557s,23.348s,28.063s,23.338s
1.161s,3.563s,23.335s,28.060s,23.324s
1.156s,3.545s,23.355s,28.058s,23.346s
1.153s,3.475s,23.437s,28.067s,23.427s
