1.165s,3.442s,28.456s,33.063s,28.445s
1.151s,3.163s,24.757s,29.072s,24.746s
1.147s,3.598s,24.321s,29.068s,24.310s
1.154s,3.520s,24.391s,29.066s,24.381s
1.138s,3.448s,24.488s,29.075s,24.477s
1.161s,3.380s,24.520s,29.062s,24.511s
1.146s,3.236s,24.683s,29.067s,24.673s
1.146s,3.270s,24.658s,29.075s,24.648s
1.145s,3.510s,24.402s,29.058s,24.392s
1.129s,3.299s,24.642s,29.071s,24.631s
1.181s,3.392s,24.493s,29.068s,24.482s
1.148s,3.308s,24.613s,29.070s,24.601s
1.133s,3.380s,24.549s,29.063s,24.538s
1.150s,3.333s,24.575s,29.059s,24.565s
1.168s,3.463s,25.417s,30.050s,25.408s
1.168s,3.597s,24.285s,29.051s,24.275s
1.138s,3.273s,24.662s,29.073s,24.645s
1.206s,3.483s,24.383s,29.074s,24.366s
1.146s,3.227s,24.696s,29.070s,24.679s
1.123s,3.494s,24.444s,29.062s,24.427s
1.141s,3.404s,24.517s,29.063s,24.507s
1.164s,3.276s,24.614s,29.055s,24.604s
1.128s,3.479s,24.451s,29.058s,24.441s
1.176s,3.430s,24.462s,29.069s,24.453s
1.159s,3.263s,24.652s,29.075s,24.642s
1.156s,3.318s,24.600s,29.075s,24.590s
1.151s,3.367s,24.548s,29.067s,24.538s
1.149s,3.565s,24.345s,29.060s,24.334s
1.136s,3.275s,24.669s,29.081s,24.657s
1.178s,3.323s,24.565s,29.066s,24.555s
1.204s,3.405s,24.453s,29.063s,24.443s
1.175s,3.622s,24.265s,29.063s,24.255s
1.141s,3.531s,24.390s,29.063s,24.380s
1.122s,3.289s,24.655s,29.066s,24.645s
1.150s,3.474s,24.443s,29.068s,24.432s
1.236s,3.605s,25.218s,30.059s,25.207s
1.152s,3.319s,24.590s,29.062s,24.581s
1.181s,3.109s,24.765s,29.055s,24.754s
1.152s,3.332s,24.581s,29.066s,24.571s
1.177s,3.404s,24.481s,29.063s,24.470s
1.137s,3.300s,24.613s,29.050s,24.603s
1.148s,3.317s,24.599s,29.065s,24.587s
1.147s,3.590s,24.328s,29.066s,24.318s
1.141s,3.622s,24.306s,29.071s,24.296s
1.144s,3.654s,24.283s,29.081s,24.266s
1.170s,3.647s,24.264s,29.082s,24.247s
1.132s,3.585s,24.356s,29.074s,24.340s
1.066s,3.455s,24.560s,29.081s,24.543s
1.119s,3.271s,24.683s,29.074s,24.670s
1.063s,3.547s,24.459s,29.070s,24.446s
1.071s,3.502s,24.508s,29.082s,24.491s
1.078s,3.418s,24.569s,29.066s,24.552s
1.066s,3.235s,24.772s,29.074s,24.755s
1.066s,3.228s,24.779s,29.074s,24.763s
1.075s,3.459s,24.540s,29.075s,24.522s
