3.392s,3.572s,28.089s,35.055s,28.079s
1.171s,3.425s,23.462s,28.058s,23.452s
1.194s,3.468s,23.408s,28.071s,23.397s
1.155s,3.353s,23.559s,28.068s,23.548s
1.158s,3.466s,23.437s,28.062s,23.427s
1.183s,3.429s,23.437s,28.050s,23.427s
1.184s,3.266s,23.607s,28.058s,23.597s
1.117s,3.278s,23.688s,28.084s,23.677s
1.143s,3.050s,23.880s,28.074s,23.863s
1.138s,3.142s,23.789s,28.070s,23.779s
1.149s,3.440s,23.477s,28.067s,23.467s
1.147s,3.356s,23.558s,28.062s,23.548s
1.151s,3.322s,23.594s,28.068s,23.582s
1.178s,3.490s,23.393s,28.063s,23.383s
1.151s,3.412s,23.506s,28.070s,23.497s
1.160s,3.533s,23.360s,28.054s,23.350s
1.156s,3.527s,23.388s,28.072s,23.376s
1.148s,3.277s,23.658s,28.084s,23.634s
1.151s,3.445s,23.466s,28.063s,23.456s
1.148s,3.347s,23.571s,28.067s,23.561s
1.159s,3.296s,23.614s,28.070s,23.604s
1.148s,3.391s,23.534s,28.073s,23.518s
1.160s,3.211s,23.699s,28.071s,23.689s
1.193s,3.436s,23.428s,28.058s,23.419s
1.200s,3.377s,23.484s,28.063s,23.474s
1.138s,3.451s,23.477s,28.067s,23.467s
1.208s,3.364s,23.494s,28.067s,23.484s
1.159s,3.573s,23.329s,28.062s,23.319s
1.139s,3.338s,23.581s,28.059s,23.571s
1.145s,3.500s,23.450s,28.096s,23.440s
1.179s,3.261s,23.623s,28.065s,23.611s
1.152s,3.469s,23.429s,28.052s,23.418s
1.180s,3.235s,23.638s,28.055s,23.628s
1.179s,3.594s,24.304s,29.078s,24.294s
1.187s,3.542s,23.341s,28.071s,23.330s
1.163s,3.362s,23.552s,28.077s,23.536s
1.189s,3.522s,48.349s,53.062s,48.339s
1.205s,3.238s,23.636s,28.080s,23.612s
1.140s,3.411s,23.507s,28.059s,23.496s
1.168s,3.555s,24.343s,29.067s,24.333s
1.168s,3.340s,23.557s,28.066s,23.547s
1.151s,3.294s,23.614s,28.060s,23.603s
1.160s,3.329s,23.583s,28.073s,23.567s
1.165s,3.373s,23.536s,28.075s,23.518s
1.148s,3.259s,23.659s,28.067s,23.649s
1.165s,3.223s,23.681s,28.070s,23.671s
1.145s,3.270s,23.653s,28.069s,23.641s
1.146s,3.321s,23.594s,28.062s,23.585s
1.156s,3.514s,23.380s,28.050s,23.370s
1.126s,3.317s,23.619s,28.063s,23.608s
1.142s,3.254s,23.672s,28.068s,23.660s
1.160s,3.507s,23.394s,28.062s,23.384s
1.153s,3.519s,23.392s,28.066s,23.383s
1.178s,3.429s,23.471s,28.080s,23.444s
1.147s,3.487s,23.439s,28.074s,23.429s
