1.202s,3.003s,26.856s,31.062s,26.847s
1.182s,3.021s,22.868s,27.071s,22.857s
1.158s,3.075s,22.816s,27.051s,22.806s
1.183s,3.293s,23.590s,28.067s,23.580s
1.141s,3.037s,22.885s,27.064s,22.873s
1.136s,3.068s,22.845s,27.050s,22.835s
1.149s,2.979s,22.942s,27.071s,22.932s
1.141s,3.110s,22.815s,27.067s,22.805s
1.147s,3.072s,22.850s,27.070s,22.841s
1.139s,2.886s,23.031s,27.057s,23.019s
1.149s,3.242s,23.678s,28.071s,23.668s
1.139s,3.209s,22.713s,27.062s,22.704s
1.151s,2.969s,22.939s,27.060s,22.928s
1.185s,3.068s,22.804s,27.058s,22.794s
1.163s,2.988s,22.907s,27.059s,22.896s
1.151s,3.090s,22.816s,27.058s,22.807s
1.156s,3.113s,22.788s,27.058s,22.778s
1.185s,3.159s,23.738s,28.084s,23.727s
1.147s,3.084s,22.837s,27.070s,22.828s
1.139s,2.932s,22.994s,27.067s,22.984s
1.144s,2.865s,23.049s,27.060s,23.038s
1.179s,3.092s,22.795s,27.067s,22.784s
1.145s,3.155s,23.770s,28.071s,23.760s
1.153s,3.265s,23.651s,28.071s,23.641s
1.155s,2.911s,22.996s,27.063s,22.985s
1.134s,3.151s,22.769s,27.054s,22.759s
1.142s,3.093s,22.830s,27.066s,22.813s
1.205s,3.116s,23.744s,28.066s,23.735s
1.146s,3.091s,22.829s,27.067s,22.818s
1.149s,3.036s,22.865s,27.052s,22.854s
1.201s,3.132s,22.720s,27.054s,22.710s
1.141s,3.213s,22.704s,27.059s,22.690s
1.145s,3.101s,23.819s,28.066s,23.809s
1.144s,3.175s,22.743s,27.063s,22.732s
1.144s,2.963s,22.948s,27.056s,22.937s
1.144s,2.832s,23.082s,27.058s,23.072s
1.148s,3.105s,22.810s,27.064s,22.799s
1.150s,3.040s,22.875s,27.066s,22.865s
1.177s,3.022s,22.864s,27.063s,22.853s
1.167s,3.095s,22.809s,27.072s,22.798s
1.186s,3.148s,23.727s,28.063s,23.717s
1.147s,3.035s,22.873s,27.055s,22.862s
1.157s,3.227s,23.686s,28.072s,23.675s
1.194s,3.112s,23.765s,28.071s,23.754s
1.168s,3.107s,22.795s,27.071s,22.784s
1.143s,3.137s,23.790s,28.072s,23.780s
1.148s,2.927s,22.979s,27.056s,22.968s
1.147s,2.927s,22.976s,27.050s,22.966s
1.144s,3.132s,22.775s,27.051s,22.764s
1.141s,2.957s,22.964s,27.063s,22.953s
1.145s,3.257s,32.679s,37.083s,32.669s
1.197s,3.103s,23.776s,28.078s,23.760s
1.149s,3.103s,22.814s,27.067s,22.804s
1.143s,3.115s,22.797s,27.056s,22.785s
1.136s,3.168s,22.756s,27.061s,22.740s
