1.206s,3.106s,26.752s,31.066s,26.739s
1.175s,2.904s,22.990s,27.071s,22.980s
1.147s,3.126s,22.781s,27.055s,22.771s
1.152s,3.149s,22.765s,27.067s,22.755s
1.124s,2.943s,23.007s,27.075s,22.997s
1.145s,3.142s,22.774s,27.062s,22.764s
1.142s,3.091s,22.829s,27.063s,22.818s
1.145s,3.062s,22.864s,27.072s,22.853s
1.147s,3.004s,22.915s,27.067s,22.905s
1.146s,3.071s,22.847s,27.065s,22.834s
1.151s,3.054s,22.869s,27.075s,22.859s
1.175s,2.984s,22.903s,27.063s,22.892s
1.141s,3.012s,22.908s,27.062s,22.899s
1.122s,3.160s,22.772s,27.055s,22.762s
1.130s,3.103s,22.826s,27.060s,22.815s
1.149s,2.961s,22.954s,27.066s,22.945s
1.141s,3.025s,22.905s,27.071s,22.894s
1.163s,3.153s,22.737s,27.054s,22.727s
1.152s,2.982s,22.923s,27.058s,22.914s
1.177s,2.995s,22.900s,27.072s,22.888s
1.184s,2.954s,22.959s,27.099s,22.949s
1.119s,2.998s,22.949s,27.067s,22.939s
1.135s,2.963s,22.968s,27.067s,22.958s
1.147s,2.987s,22.935s,27.070s,22.926s
1.148s,3.062s,22.855s,27.066s,22.846s
1.157s,3.195s,22.713s,27.066s,22.696s
1.184s,3.222s,22.664s,27.070s,22.647s
1.150s,3.037s,22.879s,27.066s,22.869s
1.150s,3.112s,22.797s,27.060s,22.786s
1.127s,3.048s,22.882s,27.058s,22.872s
1.143s,3.114s,22.813s,27.071s,22.802s
1.143s,2.669s,23.253s,27.066s,23.244s
1.152s,3.093s,22.821s,27.067s,22.810s
1.130s,2.930s,23.005s,27.067s,22.995s
1.138s,3.140s,22.775s,27.054s,22.765s
1.137s,3.037s,22.891s,27.066s,22.881s
1.136s,3.093s,22.836s,27.066s,22.827s
1.120s,3.087s,22.858s,27.066s,22.842s
1.147s,2.902s,23.025s,27.075s,23.015s
1.147s,3.196s,22.727s,27.071s,22.716s
1.140s,3.003s,22.923s,27.066s,22.913s
1.164s,3.173s,22.730s,27.068s,22.718s
1.163s,3.118s,22.772s,27.054s,22.762s
1.136s,3.004s,22.917s,27.058s,22.907s
1.148s,3.178s,22.727s,27.053s,22.718s
1.146s,3.019s,22.905s,27.071s,22.894s
1.153s,2.935s,22.978s,27.067s,22.968s
1.165s,3.166s,22.725s,27.057s,22.716s
1.133s,3.066s,22.858s,27.058s,22.848s
1.190s,2.962s,22.901s,27.054s,22.892s
1.117s,2.973s,22.991s,27.082s,22.974s
1.140s,3.135s,22.774s,27.050s,22.764s
1.153s,2.984s,22.937s,27.075s,22.926s
1.177s,2.938s,22.947s,27.063s,22.937s
1.140s,3.039s,22.895s,27.075s,22.885s
