6.384s,3.302s,40.565s,50.252s,40.345s
1.152s,2.976s,34.941s,39.070s,34.919s
1.180s,3.212s,34.705s,39.098s,34.657s
1.150s,3.006s,35.031s,39.188s,34.995s
1.223s,3.058s,34.784s,39.066s,34.763s
1.159s,3.033s,34.887s,39.080s,34.860s
1.228s,3.124s,34.727s,39.080s,34.695s
1.157s,2.905s,35.013s,39.076s,34.993s
1.160s,3.216s,34.820s,39.196s,34.792s
1.166s,3.173s,34.895s,39.235s,34.873s
1.142s,2.873s,35.095s,39.111s,35.080s
1.151s,3.162s,34.776s,39.090s,34.762s
1.222s,3.154s,34.689s,39.066s,34.676s
1.149s,2.940s,34.999s,39.090s,34.966s
1.151s,3.133s,34.787s,39.073s,34.767s
1.148s,3.212s,34.738s,39.100s,34.723s
1.143s,3.205s,34.841s,39.190s,34.812s
1.151s,3.224s,34.700s,39.076s,34.668s
1.146s,3.118s,34.965s,39.230s,34.788s
1.164s,2.942s,34.999s,39.105s,34.986s
1.160s,3.156s,34.772s,39.089s,34.756s
1.147s,2.972s,34.948s,39.068s,34.936s
1.165s,2.987s,34.895s,39.048s,34.878s
1.174s,2.991s,34.906s,39.072s,34.889s
1.195s,3.157s,34.716s,39.069s,34.695s
1.177s,3.031s,34.851s,39.060s,34.832s
1.165s,3.015s,35.012s,39.192s,34.988s
1.180s,2.989s,35.074s,39.244s,35.063s
1.174s,3.075s,34.812s,39.063s,34.798s
1.195s,2.949s,34.975s,39.120s,34.943s
1.146s,2.975s,35.209s,39.332s,35.199s
1.152s,3.000s,34.904s,39.057s,34.876s
1.156s,2.900s,35.005s,39.063s,34.987s
1.234s,2.934s,35.211s,39.380s,35.196s
1.163s,3.109s,34.783s,39.056s,34.761s
1.192s,3.030s,34.919s,39.142s,34.909s
1.154s,3.202s,34.692s,39.049s,34.675s
1.153s,3.156s,34.753s,39.063s,34.743s
1.188s,2.963s,34.920s,39.072s,34.897s
1.254s,2.979s,34.904s,39.137s,34.879s
1.171s,3.082s,34.824s,39.077s,34.807s
1.165s,3.289s,34.613s,39.068s,34.593s
1.196s,3.113s,34.755s,39.065s,34.739s
1.144s,3.067s,34.847s,39.059s,34.832s
1.146s,2.913s,35.013s,39.073s,34.985s
1.140s,3.017s,34.895s,39.054s,34.886s
1.154s,3.165s,34.753s,39.073s,34.724s
1.145s,2.976s,35.030s,39.152s,34.926s
1.152s,3.138s,34.800s,39.092s,34.781s
1.150s,2.889s,35.015s,39.056s,35.000s
1.179s,3.047s,34.841s,39.069s,34.825s
1.161s,3.098s,34.803s,39.062s,34.781s
1.141s,2.913s,35.018s,39.073s,34.997s
1.145s,3.121s,34.793s,39.060s,34.781s
1.149s,2.921s,34.971s,39.043s,34.957s
