4.410s,3.109s,27.543s,35.063s,27.532s
1.147s,3.132s,23.791s,28.071s,23.781s
1.179s,2.890s,24.001s,28.071s,23.990s
1.182s,3.155s,23.744s,28.082s,23.728s
1.149s,3.090s,23.836s,28.075s,23.825s
1.188s,3.167s,23.716s,28.073s,23.704s
1.139s,2.903s,24.024s,28.067s,24.014s
1.156s,2.935s,22.974s,27.067s,22.964s
1.165s,3.161s,23.739s,28.067s,23.729s
1.158s,3.234s,23.666s,28.060s,23.655s
1.151s,2.891s,23.024s,27.067s,23.013s
1.148s,3.156s,23.766s,28.071s,23.756s
1.157s,3.194s,23.708s,28.059s,23.697s
1.157s,3.171s,23.730s,28.059s,23.720s
1.153s,3.076s,23.841s,28.071s,23.831s
1.211s,3.185s,23.670s,28.067s,23.660s
1.163s,3.210s,23.693s,28.067s,23.683s
1.169s,3.124s,23.772s,28.065s,23.763s
1.157s,3.211s,23.694s,28.063s,23.683s
1.159s,3.049s,23.859s,28.067s,23.848s
1.174s,3.040s,23.876s,28.091s,23.866s
1.179s,3.113s,23.778s,28.071s,23.769s
1.174s,3.212s,23.679s,28.067s,23.669s
1.167s,3.124s,23.771s,28.063s,23.761s
1.143s,3.067s,23.870s,28.080s,23.858s
1.159s,3.208s,23.698s,28.066s,23.688s
1.149s,3.030s,23.890s,28.070s,23.880s
1.191s,3.324s,23.555s,28.071s,23.545s
1.193s,3.313s,23.560s,28.067s,23.550s
1.170s,3.192s,23.711s,28.074s,23.701s
1.135s,2.979s,22.956s,27.071s,22.945s
1.159s,3.126s,23.785s,28.071s,23.775s
1.151s,2.985s,23.934s,28.071s,23.924s
1.180s,3.262s,23.622s,28.066s,23.613s
1.158s,3.107s,23.810s,28.076s,23.799s
1.211s,2.928s,23.935s,28.075s,23.925s
1.145s,2.898s,24.031s,28.075s,24.021s
1.143s,3.083s,23.838s,28.066s,23.829s
1.191s,2.904s,23.975s,28.071s,23.964s
1.150s,2.780s,23.152s,27.083s,23.141s
1.191s,3.174s,23.697s,28.063s,23.687s
1.174s,3.043s,23.853s,28.070s,23.843s
1.160s,3.000s,23.909s,28.070s,23.900s
1.193s,3.245s,23.623s,28.063s,23.613s
1.165s,2.999s,23.902s,28.067s,23.891s
1.171s,2.989s,22.890s,27.051s,22.880s
1.142s,3.016s,23.906s,28.066s,23.896s
1.143s,3.077s,23.854s,28.075s,23.844s
1.141s,2.937s,22.992s,27.071s,22.981s
1.174s,2.956s,23.935s,28.066s,23.926s
1.149s,3.124s,23.792s,28.067s,23.782s
1.146s,2.891s,23.028s,27.066s,23.018s
1.196s,2.923s,23.942s,28.062s,23.932s
1.151s,3.113s,23.803s,28.067s,23.792s
1.134s,3.076s,23.860s,28.071s,23.849s
