4.959s,3.108s,28.002s,36.070s,27.985s
1.147s,3.146s,23.780s,28.073s,23.764s
1.155s,3.067s,23.834s,28.058s,23.825s
1.183s,2.995s,23.883s,28.063s,23.873s
1.155s,3.204s,23.709s,28.070s,23.693s
1.157s,3.173s,23.732s,28.062s,23.722s
1.149s,3.024s,23.888s,28.062s,23.878s
1.141s,3.012s,23.912s,28.066s,23.902s
1.173s,3.172s,24.721s,29.067s,24.711s
1.151s,3.195s,24.727s,29.075s,24.710s
1.159s,2.870s,24.044s,28.075s,24.026s
1.164s,2.907s,24.991s,29.063s,24.981s
1.149s,3.286s,24.641s,29.078s,24.625s
1.165s,2.910s,24.006s,28.082s,23.990s
1.144s,3.052s,23.866s,28.063s,23.856s
1.166s,3.296s,24.608s,29.071s,24.598s
1.179s,2.932s,23.961s,28.073s,23.945s
1.160s,3.172s,24.752s,29.085s,24.736s
1.150s,3.010s,23.909s,28.070s,23.893s
1.150s,2.883s,24.039s,28.073s,24.023s
1.154s,2.975s,23.944s,28.074s,23.927s
1.152s,2.949s,23.965s,28.066s,23.955s
1.151s,2.842s,24.084s,28.077s,24.067s
1.146s,2.981s,23.938s,28.066s,23.928s
1.174s,3.004s,23.882s,28.061s,23.866s
1.161s,3.167s,24.725s,29.054s,24.715s
1.150s,2.895s,24.028s,28.074s,24.019s
1.146s,3.198s,24.728s,29.072s,24.712s
1.150s,2.908s,24.003s,28.062s,23.993s
1.151s,2.937s,23.984s,28.073s,23.968s
1.143s,2.968s,23.966s,28.078s,23.956s
1.150s,3.238s,24.677s,29.066s,24.667s
1.172s,3.296s,24.595s,29.063s,24.584s
1.157s,2.845s,24.074s,28.078s,24.058s
1.163s,3.092s,23.818s,28.074s,23.801s
1.138s,3.090s,23.840s,28.070s,23.823s
1.153s,2.970s,23.945s,28.070s,23.929s
1.153s,2.983s,24.924s,29.061s,24.908s
1.147s,3.077s,23.837s,28.062s,23.827s
1.153s,2.936s,23.973s,28.063s,23.963s
1.146s,2.891s,24.044s,28.082s,24.028s
1.149s,2.925s,23.987s,28.062s,23.977s
1.146s,3.091s,24.829s,29.066s,24.819s
1.158s,3.217s,24.689s,29.066s,24.680s
1.151s,2.996s,23.919s,28.067s,23.909s
1.159s,3.107s,24.796s,29.062s,24.786s
1.152s,2.931s,23.991s,28.074s,23.981s
1.146s,3.103s,23.805s,28.054s,23.795s
1.139s,3.006s,23.916s,28.063s,23.906s
1.141s,3.333s,24.595s,29.070s,24.578s
1.143s,3.194s,24.736s,29.074s,24.720s
1.143s,3.036s,24.897s,29.077s,24.881s
1.151s,3.040s,23.892s,28.084s,23.873s
1.158s,3.183s,24.728s,29.070s,24.718s
1.167s,3.321s,24.580s,29.069s,24.564s
