1.163s,2.988s,26.926s,31.077s,26.910s
1.126s,2.997s,22.942s,27.066s,22.933s
1.134s,2.913s,23.011s,27.059s,23.000s
1.136s,2.979s,23.969s,28.085s,23.953s
1.144s,2.994s,22.926s,27.065s,22.910s
1.152s,3.198s,23.720s,28.072s,23.709s
1.143s,3.028s,22.883s,27.055s,22.873s
1.150s,2.995s,23.916s,28.062s,23.906s
1.150s,3.267s,23.650s,28.067s,23.639s
1.139s,3.121s,23.797s,28.058s,23.787s
1.132s,2.928s,23.020s,27.081s,23.004s
1.136s,3.002s,22.922s,27.061s,22.906s
1.143s,3.239s,23.695s,28.078s,23.678s
1.144s,3.057s,23.876s,28.078s,23.859s
1.138s,2.965s,23.970s,28.074s,23.961s
1.152s,3.161s,23.778s,28.091s,23.767s
1.150s,3.131s,23.793s,28.075s,23.783s
1.146s,3.046s,23.866s,28.059s,23.855s
1.143s,3.170s,23.749s,28.063s,23.739s
1.142s,3.123s,22.796s,27.063s,22.786s
1.138s,3.123s,23.813s,28.075s,23.803s
1.137s,2.913s,23.010s,27.062s,22.994s
1.134s,2.869s,23.063s,27.067s,23.053s
1.149s,3.170s,23.747s,28.067s,23.737s
1.147s,2.993s,23.930s,28.071s,23.919s
1.148s,2.884s,23.028s,27.061s,23.012s
1.151s,2.897s,23.001s,27.050s,22.991s
1.141s,3.287s,23.638s,28.066s,23.628s
1.139s,2.963s,22.960s,27.063s,22.950s
1.144s,3.032s,23.889s,28.066s,23.879s
1.133s,3.227s,23.705s,28.066s,23.695s
1.139s,3.014s,23.924s,28.078s,23.907s
1.149s,3.019s,22.912s,27.081s,22.896s
1.137s,3.301s,23.642s,28.081s,23.626s
1.156s,3.003s,23.917s,28.078s,23.901s
1.147s,3.233s,23.694s,28.074s,23.676s
1.142s,3.201s,22.710s,27.054s,22.701s
1.153s,2.934s,22.971s,27.059s,22.960s
1.160s,3.217s,23.687s,28.066s,23.678s
1.158s,2.927s,23.984s,28.070s,23.974s
1.123s,2.960s,22.989s,27.073s,22.973s
1.137s,2.868s,23.059s,27.065s,23.043s
1.148s,3.023s,23.891s,28.062s,23.881s
1.150s,3.179s,23.736s,28.066s,23.726s
1.145s,3.000s,23.919s,28.066s,23.910s
1.146s,3.081s,23.843s,28.071s,23.833s
1.146s,3.127s,23.793s,28.067s,23.782s
1.147s,3.052s,22.869s,27.069s,22.853s
1.146s,2.854s,23.080s,27.081s,23.064s
1.155s,2.866s,23.036s,27.058s,23.026s
1.144s,2.970s,23.947s,28.062s,23.937s
1.141s,3.152s,23.772s,28.066s,23.763s
1.146s,3.201s,23.718s,28.066s,23.708s
1.138s,3.291s,23.637s,28.067s,23.626s
1.144s,2.977s,23.944s,28.066s,23.934s
