1.191s,3.101s,27.781s,32.073s,27.764s
1.134s,3.021s,23.928s,28.085s,23.913s
1.138s,2.894s,24.029s,28.062s,24.019s
1.151s,3.207s,23.728s,28.086s,23.718s
1.147s,2.976s,23.935s,28.059s,23.924s
1.148s,3.179s,23.743s,28.070s,23.733s
1.140s,3.206s,23.711s,28.058s,23.702s
1.150s,3.088s,23.830s,28.069s,23.814s
1.147s,3.122s,23.807s,28.077s,23.791s
1.151s,3.068s,23.857s,28.077s,23.840s
1.144s,3.110s,23.819s,28.074s,23.802s
1.127s,3.096s,23.850s,28.074s,23.833s
1.157s,3.033s,23.875s,28.066s,23.865s
1.155s,3.208s,23.698s,28.063s,23.688s
1.144s,2.966s,23.968s,28.079s,23.950s
1.166s,3.066s,23.817s,28.050s,23.808s
1.144s,3.029s,23.889s,28.063s,23.879s
1.147s,2.970s,23.953s,28.071s,23.935s
1.133s,3.050s,23.890s,28.074s,23.873s
1.150s,3.242s,23.681s,28.074s,23.668s
1.153s,3.180s,23.737s,28.071s,23.727s
1.154s,2.932s,23.967s,28.054s,23.957s
1.163s,3.044s,23.854s,28.062s,23.844s
1.153s,2.982s,23.923s,28.059s,23.913s
1.150s,3.197s,23.720s,28.068s,23.708s
1.158s,3.193s,23.707s,28.058s,23.697s
1.160s,2.924s,23.978s,28.062s,23.968s
1.148s,3.106s,23.808s,28.063s,23.798s
1.149s,3.014s,23.913s,28.077s,23.897s
1.136s,3.053s,23.892s,28.082s,23.875s
1.136s,2.944s,23.997s,28.078s,23.980s
1.139s,3.005s,23.922s,28.067s,23.912s
1.136s,3.093s,23.844s,28.074s,23.828s
1.145s,2.936s,23.975s,28.056s,23.963s
1.169s,3.074s,23.819s,28.062s,23.809s
1.170s,3.231s,23.672s,28.073s,23.656s
1.148s,3.231s,23.686s,28.066s,23.676s
1.154s,3.055s,23.864s,28.073s,23.847s
1.159s,3.138s,23.776s,28.074s,23.759s
1.155s,3.148s,23.773s,28.077s,23.757s
1.152s,3.190s,23.719s,28.063s,23.709s
1.150s,2.987s,23.925s,28.063s,23.915s
1.153s,3.045s,23.875s,28.074s,23.858s
1.144s,2.843s,24.082s,28.069s,24.066s
1.150s,3.097s,23.830s,28.078s,23.813s
1.140s,3.195s,23.741s,28.077s,23.725s
1.158s,3.306s,24.609s,29.073s,24.593s
1.162s,3.157s,23.754s,28.074s,23.738s
1.151s,2.940s,23.971s,28.063s,23.960s
1.128s,3.255s,23.679s,28.063s,23.669s
1.147s,3.261s,23.645s,28.055s,23.635s
1.154s,3.292s,24.619s,29.066s,24.610s
1.147s,3.040s,23.881s,28.069s,23.865s
1.157s,2.887s,24.044s,28.089s,24.019s
1.156s,3.003s,23.914s,28.074s,23.897s
