5.882s,3.370s,32.801s,42.054s,32.788s
1.158s,3.126s,27.789s,32.075s,27.772s
1.163s,3.119s,26.803s,31.086s,26.786s
1.152s,3.105s,27.816s,32.073s,27.799s
1.142s,3.101s,26.823s,31.066s,26.813s
1.164s,3.169s,27.723s,32.058s,27.714s
1.134s,2.899s,27.024s,31.058s,27.014s
1.141s,2.997s,26.923s,31.062s,26.914s
1.146s,3.205s,26.718s,31.070s,26.701s
1.139s,2.968s,26.966s,31.073s,26.950s
1.143s,3.101s,26.813s,31.058s,26.803s
1.151s,3.160s,27.749s,32.062s,27.740s
1.154s,3.288s,27.619s,32.062s,27.609s
1.171s,3.108s,27.784s,32.063s,27.773s
1.148s,3.340s,27.569s,32.058s,27.559s
1.159s,3.169s,27.740s,32.070s,27.731s
1.172s,2.914s,26.976s,31.063s,26.966s
1.150s,2.949s,26.959s,31.059s,26.948s
1.147s,3.153s,26.765s,31.067s,26.755s
1.171s,3.302s,27.601s,32.075s,27.583s
1.173s,3.078s,26.818s,31.070s,26.801s
1.165s,3.147s,27.753s,32.066s,27.744s
1.163s,3.410s,27.493s,32.067s,27.482s
1.162s,3.272s,27.634s,32.070s,27.625s
1.155s,2.826s,27.073s,31.054s,27.063s
1.166s,2.946s,26.944s,31.058s,26.935s
1.178s,3.350s,27.533s,32.063s,27.523s
1.159s,3.113s,27.792s,32.065s,27.776s
1.167s,2.942s,26.960s,31.069s,26.943s
1.154s,3.077s,26.829s,31.062s,26.820s
1.161s,2.965s,26.931s,31.058s,26.921s
1.167s,3.144s,27.755s,32.066s,27.745s
1.160s,3.289s,27.623s,32.073s,27.607s
1.157s,2.975s,26.944s,31.078s,26.928s
1.132s,3.131s,26.794s,31.058s,26.784s
1.152s,2.939s,26.967s,31.059s,26.957s
1.164s,3.335s,27.558s,32.058s,27.548s
1.161s,3.161s,27.744s,32.067s,27.733s
1.164s,3.104s,26.802s,31.070s,26.785s
1.143s,2.824s,27.102s,31.070s,27.085s
1.156s,3.108s,26.797s,31.062s,26.788s
1.151s,3.330s,27.580s,32.062s,27.571s
1.159s,3.213s,26.682s,31.055s,26.672s
1.160s,2.904s,26.994s,31.060s,26.983s
1.142s,3.078s,26.849s,31.070s,26.833s
1.138s,3.033s,26.903s,31.075s,26.885s
1.150s,2.968s,26.939s,31.058s,26.930s
1.136s,2.946s,26.980s,31.063s,26.970s
1.159s,3.132s,27.779s,32.071s,27.761s
1.163s,2.988s,26.918s,31.069s,26.902s
1.143s,2.968s,26.957s,31.070s,26.941s
1.150s,3.027s,26.899s,31.078s,26.883s
1.141s,2.880s,27.036s,31.059s,27.026s
1.139s,3.210s,26.712s,31.062s,26.702s
1.166s,2.940s,26.962s,31.070s,26.946s
