8.987s,3.007s,36.086s,48.081s,36.047s
1.162s,3.152s,28.751s,33.065s,28.734s
1.142s,3.052s,28.861s,33.055s,28.850s
1.152s,3.156s,28.745s,33.054s,28.735s
1.145s,3.037s,28.875s,33.058s,28.866s
1.155s,3.088s,28.822s,33.066s,28.806s
1.182s,3.389s,29.498s,34.070s,29.481s
1.160s,3.132s,29.768s,34.061s,29.752s
1.148s,3.121s,28.800s,33.070s,28.783s
1.157s,2.961s,28.950s,33.070s,28.934s
1.145s,3.050s,28.860s,33.056s,28.849s
1.161s,3.014s,28.882s,33.058s,28.865s
1.155s,3.065s,28.849s,33.069s,28.832s
1.161s,3.183s,28.713s,33.058s,28.703s
1.157s,3.071s,28.829s,33.058s,28.819s
1.158s,3.072s,28.838s,33.070s,28.822s
1.159s,3.233s,28.665s,33.058s,28.655s
1.159s,3.125s,28.771s,33.056s,28.759s
1.148s,3.213s,29.705s,34.067s,29.694s
1.171s,2.967s,28.917s,33.055s,28.906s
1.162s,3.343s,29.553s,34.059s,29.543s
1.145s,3.160s,28.773s,33.079s,28.755s
1.159s,3.250s,28.656s,33.066s,28.639s
1.153s,3.221s,28.700s,33.075s,28.682s
1.148s,3.121s,28.801s,33.071s,28.783s
1.165s,3.045s,28.858s,33.069s,28.841s
1.162s,2.892s,29.014s,33.069s,28.998s
1.144s,2.932s,28.994s,33.070s,28.976s
1.162s,3.190s,28.711s,33.063s,28.693s
1.152s,3.053s,28.856s,33.062s,28.840s
1.144s,3.106s,28.835s,33.085s,28.819s
1.134s,3.073s,28.866s,33.073s,28.849s
1.157s,3.155s,29.759s,34.072s,29.740s
1.154s,3.055s,28.864s,33.073s,28.847s
1.173s,3.024s,28.876s,33.074s,28.859s
1.150s,3.193s,29.726s,34.070s,29.709s
1.146s,3.276s,28.639s,33.063s,28.629s
1.154s,3.196s,29.723s,34.075s,29.705s
1.138s,3.078s,28.852s,33.069s,28.836s
1.147s,3.001s,28.926s,33.075s,28.908s
1.134s,2.972s,28.956s,33.062s,28.946s
1.156s,2.746s,29.159s,33.062s,29.149s
1.161s,3.038s,28.869s,33.069s,28.853s
1.163s,3.272s,29.626s,34.062s,29.610s
1.162s,3.163s,29.748s,34.074s,29.727s
1.143s,3.208s,28.719s,33.071s,28.701s
1.158s,3.046s,28.857s,33.062s,28.847s
1.139s,3.198s,29.722s,34.060s,29.711s
1.149s,3.200s,28.716s,33.067s,28.699s
1.150s,2.887s,29.026s,33.065s,29.011s
1.144s,2.878s,29.055s,33.079s,29.037s
1.154s,3.118s,28.790s,33.063s,28.780s
1.159s,3.330s,29.572s,34.062s,29.563s
1.154s,3.122s,28.776s,33.054s,28.767s
1.153s,2.992s,28.916s,33.062s,28.906s
