3.486s,3.488s,28.095s,35.070s,28.086s
1.140s,3.457s,23.468s,28.066s,23.458s
1.157s,3.611s,23.293s,28.062s,23.283s
1.153s,3.628s,23.280s,28.062s,23.271s
1.139s,3.303s,23.634s,28.077s,23.618s
1.144s,3.581s,23.332s,28.058s,23.322s
1.149s,3.534s,23.396s,28.080s,23.377s
1.164s,3.542s,23.363s,28.070s,23.353s
1.148s,3.518s,23.407s,28.074s,23.390s
1.146s,3.044s,23.875s,28.066s,23.865s
1.160s,3.381s,23.535s,28.077s,23.519s
1.164s,3.305s,23.605s,28.074s,23.588s
1.141s,3.553s,23.363s,28.058s,23.353s
1.151s,3.199s,23.715s,28.066s,23.705s
1.150s,3.481s,23.438s,28.070s,23.422s
1.149s,3.355s,23.568s,28.073s,23.552s
1.152s,3.546s,23.371s,28.069s,23.358s
1.195s,3.561s,23.317s,28.074s,23.307s
1.187s,3.462s,23.428s,28.078s,23.411s
1.153s,3.452s,23.459s,28.065s,23.447s
1.167s,3.513s,23.373s,28.054s,23.363s
1.159s,3.483s,23.412s,28.055s,23.402s
1.144s,3.603s,23.322s,28.070s,23.313s
1.162s,3.600s,23.303s,28.066s,23.286s
1.150s,3.734s,23.167s,28.051s,23.156s
1.165s,3.301s,23.596s,28.063s,23.586s
1.147s,3.356s,23.573s,28.077s,23.557s
1.146s,3.232s,23.689s,28.067s,23.678s
1.143s,3.294s,23.637s,28.075s,23.626s
1.144s,3.453s,23.464s,28.063s,23.454s
1.141s,3.604s,23.325s,28.070s,23.315s
1.175s,3.304s,23.595s,28.075s,23.585s
1.175s,3.654s,23.237s,28.067s,23.227s
1.143s,3.409s,23.517s,28.070s,23.508s
1.153s,3.287s,23.621s,28.062s,23.611s
1.152s,3.543s,23.363s,28.060s,23.352s
1.170s,3.523s,23.369s,28.062s,23.359s
1.149s,3.664s,23.259s,28.073s,23.243s
1.161s,3.458s,23.460s,28.080s,23.449s
1.152s,3.280s,23.631s,28.065s,23.619s
1.156s,3.492s,23.418s,28.067s,23.408s
1.140s,3.324s,23.605s,28.070s,23.596s
1.159s,3.105s,23.796s,28.061s,23.787s
1.140s,3.300s,23.629s,28.070s,23.619s
1.147s,3.195s,23.728s,28.070s,23.718s
1.148s,3.432s,23.490s,28.070s,23.480s
1.158s,3.408s,23.528s,28.095s,23.518s
1.147s,3.491s,23.424s,28.064s,23.413s
1.161s,3.552s,23.336s,28.051s,23.326s
1.176s,3.435s,23.459s,28.071s,23.449s
1.151s,3.408s,23.506s,28.067s,23.496s
1.157s,3.342s,23.562s,28.063s,23.552s
1.186s,3.318s,23.559s,28.063s,23.548s
1.145s,3.567s,23.355s,28.068s,23.343s
1.135s,3.240s,23.688s,28.065s,23.680s
