4.906s,3.447s,26.710s,35.064s,26.699s
1.144s,3.316s,22.605s,27.066s,22.588s
1.149s,3.656s,23.279s,28.085s,23.263s
1.159s,3.559s,23.348s,28.067s,23.337s
1.139s,3.450s,22.489s,27.079s,22.471s
1.163s,3.552s,23.354s,28.070s,23.345s
1.162s,3.355s,22.536s,27.054s,22.526s
1.150s,3.297s,22.611s,27.058s,22.601s
1.170s,3.463s,22.421s,27.055s,22.411s
1.154s,3.318s,22.577s,27.051s,22.567s
1.146s,3.641s,23.289s,28.078s,23.280s
1.159s,3.342s,22.576s,27.077s,22.560s
1.172s,3.632s,22.273s,27.078s,22.257s
1.139s,3.470s,22.455s,27.066s,22.439s
1.134s,3.389s,22.549s,27.074s,22.533s
1.162s,3.591s,23.327s,28.081s,23.311s
1.172s,3.712s,23.185s,28.070s,23.176s
1.140s,3.489s,23.455s,28.085s,23.438s
1.154s,3.269s,22.638s,27.062s,22.629s
1.139s,3.250s,22.675s,27.065s,22.659s
1.146s,3.514s,22.408s,27.069s,22.392s
1.172s,3.603s,23.306s,28.082s,23.289s
1.155s,3.527s,23.386s,28.069s,23.370s
1.143s,3.752s,23.188s,28.085s,23.172s
1.162s,3.373s,22.537s,27.073s,22.520s
1.150s,3.625s,23.289s,28.066s,23.280s
1.142s,3.441s,22.474s,27.058s,22.464s
1.152s,3.588s,23.326s,28.066s,23.316s
1.161s,3.310s,22.583s,27.054s,22.573s
1.146s,3.449s,22.454s,27.050s,22.444s
1.180s,3.648s,23.246s,28.075s,23.236s
1.174s,3.676s,23.216s,28.067s,23.205s
1.133s,3.293s,22.638s,27.065s,22.622s
1.126s,3.407s,22.540s,27.074s,22.523s
1.149s,3.558s,23.362s,28.070s,23.349s
1.148s,3.283s,22.634s,27.066s,22.617s
1.156s,3.275s,22.634s,27.066s,22.624s
1.132s,3.433s,22.488s,27.054s,22.479s
1.159s,3.616s,23.303s,28.078s,23.286s
1.140s,3.191s,22.735s,27.066s,22.725s
1.151s,3.485s,23.430s,28.067s,23.420s
1.148s,3.238s,22.686s,27.073s,22.670s
1.168s,3.590s,23.321s,28.079s,23.307s
1.137s,3.236s,22.693s,27.066s,22.677s
1.146s,3.287s,22.636s,27.070s,22.619s
1.149s,3.591s,22.332s,27.073s,22.316s
1.158s,3.588s,23.323s,28.069s,23.314s
1.150s,3.641s,23.274s,28.066s,23.258s
1.150s,3.452s,22.459s,27.062s,22.449s
1.158s,3.540s,23.372s,28.071s,23.362s
1.148s,3.426s,23.490s,28.066s,23.481s
1.146s,3.306s,22.606s,27.059s,22.596s
1.176s,3.756s,23.133s,28.067s,23.123s
1.148s,3.442s,22.463s,27.054s,22.453s
1.173s,3.645s,23.252s,28.071s,23.242s
