1.162s,3.605s,39.450s,44.218s,39.279s
1.166s,3.670s,35.279s,40.117s,35.259s
1.153s,3.590s,35.445s,40.188s,35.425s
1.157s,3.338s,34.584s,39.080s,34.568s
1.143s,3.389s,34.542s,39.074s,34.512s
1.126s,3.312s,34.624s,39.064s,34.609s
1.141s,3.458s,35.710s,40.310s,35.456s
1.145s,3.281s,34.656s,39.083s,34.629s
1.151s,3.390s,34.515s,39.056s,34.496s
1.155s,3.437s,34.486s,39.079s,34.472s
1.138s,3.269s,35.667s,40.075s,35.644s
1.171s,3.623s,35.300s,40.094s,35.274s
1.183s,3.581s,35.307s,40.073s,35.287s
1.156s,3.368s,35.561s,40.087s,35.527s
1.138s,3.521s,35.425s,40.084s,35.393s
1.130s,3.425s,35.555s,40.111s,35.533s
1.141s,3.428s,35.485s,40.055s,35.474s
1.133s,3.467s,34.471s,39.073s,34.459s
1.133s,3.209s,35.722s,40.066s,35.701s
1.146s,3.415s,35.492s,40.054s,35.479s
1.160s,3.313s,35.822s,40.295s,35.810s
1.141s,3.173s,34.750s,39.064s,34.722s
1.142s,3.552s,35.458s,40.153s,35.445s
1.139s,3.398s,34.590s,39.128s,34.574s
1.106s,3.220s,35.732s,40.059s,35.718s
1.161s,3.455s,35.451s,40.068s,35.435s
1.149s,3.529s,35.464s,40.143s,35.453s
1.147s,3.593s,35.317s,40.058s,35.301s
1.143s,3.411s,34.514s,39.068s,34.498s
1.150s,3.469s,35.519s,40.139s,35.425s
1.146s,3.453s,35.876s,40.476s,35.660s
1.150s,3.571s,35.357s,40.080s,35.322s
1.154s,3.280s,35.633s,40.069s,35.615s
1.157s,3.611s,35.483s,40.252s,35.364s
1.145s,3.527s,35.439s,40.112s,35.403s
1.137s,3.360s,34.599s,39.096s,34.563s
1.140s,3.610s,35.322s,40.073s,35.293s
1.140s,3.283s,35.647s,40.071s,35.629s
1.136s,3.331s,35.609s,40.077s,35.592s
1.143s,3.317s,35.602s,40.063s,35.588s
1.141s,3.461s,34.459s,39.062s,34.445s
1.121s,3.315s,35.836s,40.272s,35.690s
1.156s,3.630s,35.279s,40.066s,35.266s
1.156s,3.639s,35.262s,40.059s,35.247s
1.141s,3.601s,35.502s,40.244s,35.346s
1.153s,3.363s,34.584s,39.101s,34.560s
1.151s,3.600s,35.481s,40.233s,35.292s
1.150s,3.692s,35.246s,40.088s,35.210s
1.145s,3.331s,35.587s,40.064s,35.575s
1.141s,3.560s,35.354s,40.056s,35.342s
1.140s,3.327s,34.591s,39.058s,34.576s
1.097s,3.460s,34.490s,39.049s,34.478s
1.062s,3.377s,33.789s,38.228s,33.641s
1.089s,3.368s,33.607s,38.065s,33.586s
1.063s,3.215s,33.774s,38.052s,33.761s
