5.965s,3.635s,27.457s,37.059s,27.447s
1.150s,3.484s,23.438s,28.073s,23.421s
1.165s,3.513s,23.388s,28.066s,23.378s
1.162s,3.667s,23.220s,28.051s,23.210s
1.151s,3.277s,23.648s,28.077s,23.632s
1.156s,3.339s,23.578s,28.073s,23.562s
1.144s,3.521s,23.396s,28.062s,23.387s
1.135s,3.376s,23.554s,28.066s,23.545s
1.157s,3.575s,23.329s,28.062s,23.319s
1.154s,3.667s,23.237s,28.059s,23.226s
1.163s,3.373s,23.537s,28.074s,23.521s
1.154s,3.459s,23.447s,28.061s,23.431s
1.154s,3.551s,23.349s,28.054s,23.339s
1.152s,3.376s,23.542s,28.070s,23.532s
1.155s,3.291s,23.619s,28.066s,23.609s
1.143s,3.464s,23.466s,28.073s,23.454s
1.138s,3.379s,23.556s,28.074s,23.539s
1.147s,3.386s,23.536s,28.069s,23.519s
1.141s,3.411s,23.520s,28.074s,23.503s
1.156s,3.239s,23.685s,28.081s,23.669s
1.144s,3.254s,23.675s,28.074s,23.658s
1.154s,3.283s,23.624s,28.062s,23.614s
1.150s,3.359s,23.555s,28.065s,23.539s
1.122s,3.294s,23.660s,28.078s,23.644s
1.152s,3.372s,23.539s,28.065s,23.527s
1.144s,3.491s,23.422s,28.058s,23.412s
1.147s,3.560s,23.342s,28.051s,23.332s
1.154s,3.368s,23.554s,28.078s,23.538s
1.153s,3.547s,23.357s,28.058s,23.347s
1.150s,3.427s,23.492s,28.070s,23.482s
1.155s,3.576s,23.343s,28.075s,23.332s
1.150s,3.497s,23.414s,28.063s,23.404s
1.160s,3.507s,23.395s,28.062s,23.385s
1.151s,3.682s,23.217s,28.051s,23.206s
1.161s,3.212s,23.692s,28.066s,23.682s
1.154s,3.515s,23.403s,28.074s,23.387s
1.141s,3.314s,23.625s,28.081s,23.608s
1.144s,3.556s,23.360s,28.061s,23.344s
1.147s,3.440s,23.482s,28.070s,23.472s
1.142s,3.260s,23.669s,28.072s,23.654s
1.157s,3.450s,23.453s,28.061s,23.437s
1.147s,3.354s,23.580s,28.082s,23.563s
1.159s,3.573s,23.325s,28.058s,23.315s
1.169s,3.609s,23.288s,28.067s,23.277s
1.158s,3.451s,23.452s,28.062s,23.442s
1.159s,3.515s,23.386s,28.061s,23.370s
1.120s,3.534s,23.407s,28.062s,23.391s
1.147s,3.487s,23.429s,28.063s,23.418s
1.137s,3.551s,23.372s,28.061s,23.356s
1.142s,3.289s,23.634s,28.065s,23.617s
1.163s,3.219s,23.699s,28.081s,23.682s
1.154s,3.491s,23.417s,28.063s,23.406s
1.147s,3.349s,23.574s,28.071s,23.564s
1.150s,3.348s,23.563s,28.063s,23.553s
1.154s,3.583s,23.324s,28.061s,23.307s
