5.040s,4.721s,30.307s,40.069s,30.287s
1.218s,3.654s,25.223s,30.096s,25.212s
1.208s,3.374s,25.492s,30.075s,25.474s
1.193s,3.446s,25.439s,30.079s,25.422s
1.181s,3.613s,25.268s,30.063s,25.258s
1.190s,3.504s,25.373s,30.068s,25.361s
1.195s,3.443s,25.435s,30.074s,25.415s
1.210s,3.396s,25.457s,30.064s,25.446s
1.190s,3.394s,25.491s,30.076s,25.479s
1.178s,3.570s,25.352s,30.101s,25.321s
1.167s,3.324s,24.572s,29.064s,24.561s
1.202s,3.543s,25.313s,30.059s,25.302s
1.195s,3.680s,25.192s,30.068s,25.180s
1.177s,3.541s,25.355s,30.075s,25.338s
1.176s,3.342s,25.568s,30.086s,25.551s
1.188s,3.639s,25.252s,30.080s,25.225s
1.230s,3.832s,25.009s,30.071s,24.998s
1.182s,3.300s,25.591s,30.074s,25.578s
1.194s,3.717s,25.151s,30.064s,25.140s
1.194s,3.332s,25.545s,30.072s,25.534s
1.193s,3.809s,25.064s,30.068s,25.053s
1.180s,3.697s,25.200s,30.078s,25.179s
1.188s,3.376s,25.514s,30.078s,25.501s
1.213s,3.365s,25.490s,30.069s,25.478s
1.201s,3.444s,25.418s,30.064s,25.406s
1.203s,3.633s,25.219s,30.056s,25.207s
1.190s,3.617s,25.256s,30.063s,25.245s
1.179s,3.186s,24.706s,29.072s,24.695s
1.192s,3.358s,25.517s,30.068s,25.505s
1.219s,3.545s,25.320s,30.085s,25.308s
1.195s,3.674s,25.185s,30.055s,25.174s
1.198s,3.659s,25.210s,30.068s,25.199s
1.188s,3.629s,25.256s,30.074s,25.239s
1.174s,3.629s,25.264s,30.068s,25.249s
1.196s,3.454s,25.413s,30.064s,25.402s
1.185s,3.650s,25.265s,30.100s,25.253s
1.174s,3.471s,25.437s,30.083s,25.420s
1.180s,3.353s,25.554s,30.088s,25.526s
1.188s,3.743s,25.123s,30.055s,25.112s
1.203s,3.578s,25.285s,30.067s,25.275s
1.218s,3.323s,25.526s,30.068s,25.511s
1.197s,3.371s,25.495s,30.064s,25.484s
1.186s,3.673s,25.203s,30.063s,25.192s
1.205s,3.680s,25.177s,30.064s,25.166s
1.193s,3.397s,25.477s,30.068s,25.465s
1.190s,3.661s,25.219s,30.072s,25.208s
1.232s,3.348s,25.488s,30.068s,25.476s
1.199s,3.673s,25.200s,30.074s,25.183s
1.233s,3.465s,25.379s,30.078s,25.362s
1.210s,3.669s,25.199s,30.079s,25.182s
1.208s,3.421s,25.452s,30.082s,25.431s
1.204s,3.349s,25.502s,30.056s,25.490s
1.231s,3.419s,25.421s,30.073s,25.409s
1.224s,3.632s,25.226s,30.082s,25.209s
1.222s,3.764s,25.094s,30.080s,25.074s
