15.645s,8.043s,39.373s,3.062s,39.360s
1.181s,3.330s,23.563s,28.075s,23.545s
1.189s,3.433s,23.441s,28.064s,23.430s
1.188s,3.493s,23.384s,28.067s,23.367s
1.179s,3.597s,24.291s,29.069s,24.279s
1.181s,3.458s,23.424s,28.064s,23.413s
1.199s,3.510s,24.361s,29.072s,24.350s
1.213s,3.560s,24.293s,29.067s,24.282s
1.216s,3.412s,24.435s,29.064s,24.423s
1.191s,3.478s,23.402s,28.072s,23.375s
1.192s,3.317s,23.558s,28.069s,23.539s
1.211s,3.619s,24.237s,29.067s,24.226s
1.211s,3.370s,23.484s,28.065s,23.471s
1.199s,3.538s,24.333s,29.072s,24.322s
1.189s,3.523s,23.358s,28.070s,23.340s
1.200s,3.742s,24.142s,29.086s,24.122s
1.216s,3.342s,23.504s,28.063s,23.493s
1.219s,3.441s,23.405s,28.066s,23.388s
1.218s,3.472s,23.371s,28.061s,23.358s
1.206s,3.723s,24.155s,29.086s,24.135s
1.196s,3.690s,24.201s,29.088s,24.190s
1.186s,3.584s,23.303s,28.074s,23.286s
1.197s,3.560s,24.317s,29.074s,24.299s
1.191s,3.447s,23.425s,28.064s,23.414s
1.211s,3.494s,23.350s,28.057s,23.338s
1.212s,3.735s,24.126s,29.073s,24.113s
1.200s,3.662s,24.193s,29.056s,24.181s
1.220s,3.464s,23.387s,28.073s,23.375s
1.191s,3.635s,24.245s,29.072s,24.233s
1.225s,3.714s,24.124s,29.064s,24.113s
1.231s,3.619s,24.221s,29.072s,24.209s
1.200s,3.634s,24.237s,29.072s,24.226s
1.187s,3.550s,24.342s,29.080s,24.323s
1.187s,3.449s,23.430s,28.067s,23.420s
1.211s,3.408s,23.451s,28.071s,23.437s
1.220s,3.644s,23.187s,28.052s,23.176s
1.198s,3.435s,23.434s,28.068s,23.422s
1.227s,3.375s,23.464s,28.068s,23.453s
1.219s,3.642s,24.210s,29.072s,24.199s
1.214s,3.432s,23.420s,28.068s,23.397s
1.197s,3.307s,23.564s,28.069s,23.551s
1.204s,3.427s,23.434s,28.067s,23.424s
1.196s,3.542s,24.344s,29.083s,24.326s
1.199s,3.465s,23.409s,28.075s,23.391s
1.185s,3.409s,23.484s,28.078s,23.466s
1.192s,3.437s,23.442s,28.072s,23.431s
1.196s,3.255s,23.619s,28.072s,23.608s
1.180s,3.494s,23.419s,28.094s,23.402s
1.198s,3.375s,23.499s,28.073s,23.486s
1.185s,3.365s,23.512s,28.063s,23.501s
1.190s,3.740s,24.147s,29.078s,24.130s
1.207s,3.424s,24.451s,29.084s,24.433s
1.196s,3.411s,23.467s,28.075s,23.449s
1.220s,3.327s,23.512s,28.061s,23.500s
1.197s,3.653s,24.214s,29.064s,24.202s
