23.829s,9.984s,41.418s,15.232s,41.395s
1.173s,3.525s,24.376s,29.075s,24.358s
1.192s,3.360s,24.518s,29.071s,24.507s
1.184s,3.464s,24.434s,29.083s,24.416s
1.193s,3.371s,24.509s,29.075s,24.491s
1.190s,3.342s,24.535s,29.069s,24.523s
1.161s,3.487s,24.425s,29.074s,24.408s
1.214s,3.615s,24.246s,29.075s,24.228s
1.193s,3.472s,24.413s,29.078s,24.395s
1.192s,3.418s,24.467s,29.079s,24.450s
1.182s,3.333s,24.563s,29.078s,24.546s
1.200s,3.368s,24.513s,29.081s,24.493s
1.187s,3.650s,24.245s,29.083s,24.224s
1.176s,3.323s,24.565s,29.065s,24.553s
1.188s,3.504s,24.375s,29.069s,24.363s
1.206s,3.503s,24.361s,29.071s,24.351s
1.195s,3.717s,24.150s,29.063s,24.140s
1.211s,3.673s,24.184s,29.069s,24.171s
1.192s,3.597s,24.273s,29.064s,24.262s
1.192s,3.599s,24.275s,29.068s,24.264s
1.200s,3.530s,24.344s,29.074s,24.327s
1.191s,3.470s,24.413s,29.075s,24.395s
1.185s,3.548s,24.344s,29.078s,24.327s
1.168s,3.412s,24.491s,29.072s,24.480s
1.182s,3.518s,24.363s,29.064s,24.352s
1.187s,3.435s,24.452s,29.075s,24.434s
1.163s,3.251s,24.657s,29.072s,24.646s
1.206s,3.607s,24.259s,29.073s,24.247s
1.211s,3.657s,24.213s,29.081s,24.194s
1.188s,3.508s,24.373s,29.070s,24.356s
1.192s,3.481s,24.402s,29.075s,24.387s
1.210s,3.404s,24.453s,29.068s,24.441s
1.172s,3.499s,24.395s,29.068s,24.384s
1.186s,3.526s,24.350s,29.064s,24.339s
1.177s,3.261s,24.625s,29.064s,24.613s
1.177s,3.252s,24.648s,29.078s,24.630s
1.188s,3.485s,24.406s,29.080s,24.387s
1.237s,3.668s,24.163s,29.068s,24.151s
1.222s,3.595s,24.242s,29.059s,24.231s
1.190s,3.724s,24.172s,29.088s,24.161s
1.182s,3.523s,24.364s,29.070s,24.347s
1.181s,3.417s,24.477s,29.076s,24.458s
1.188s,3.398s,24.491s,29.078s,24.475s
1.220s,3.464s,24.367s,29.052s,24.355s
1.224s,3.641s,24.210s,29.076s,24.182s
1.193s,3.339s,24.538s,29.072s,24.527s
1.186s,3.328s,24.549s,29.064s,24.538s
1.185s,3.444s,24.438s,29.067s,24.427s
1.195s,3.585s,24.292s,29.074s,24.279s
1.181s,3.681s,24.204s,29.067s,24.194s
1.223s,3.565s,24.279s,29.067s,24.268s
1.199s,3.426s,24.445s,29.072s,24.434s
1.244s,3.430s,24.396s,29.071s,24.385s
1.192s,3.377s,24.495s,29.066s,24.482s
1.183s,3.266s,24.623s,29.074s,24.610s
