4.097s,4.698s,34.447s,43.243s,34.320s
1.198s,3.487s,27.395s,32.081s,27.375s
1.193s,3.384s,27.492s,32.070s,27.475s
1.192s,3.445s,28.423s,33.061s,28.411s
1.176s,3.764s,27.122s,32.062s,27.109s
1.198s,3.850s,27.007s,32.056s,26.996s
1.196s,3.940s,27.927s,33.064s,27.916s
1.178s,3.737s,28.152s,33.067s,28.141s
1.191s,3.251s,27.617s,32.060s,27.602s
1.205s,3.908s,27.953s,33.067s,27.943s
1.181s,3.485s,27.397s,32.063s,27.386s
1.176s,3.527s,28.375s,33.079s,28.357s
1.204s,4.028s,27.844s,33.077s,27.825s
1.201s,3.512s,27.347s,32.062s,27.335s
1.200s,3.627s,27.235s,32.064s,27.224s
1.196s,3.495s,27.383s,32.076s,27.356s
1.181s,3.560s,27.318s,32.060s,27.307s
1.185s,3.652s,28.225s,33.063s,28.214s
1.208s,3.576s,27.278s,32.063s,27.268s
1.210s,3.910s,26.948s,32.069s,26.931s
1.165s,3.788s,28.123s,33.077s,28.107s
1.187s,3.537s,28.347s,33.072s,28.328s
1.199s,3.501s,27.377s,32.078s,27.360s
1.178s,3.711s,27.184s,32.075s,27.167s
1.182s,3.594s,27.283s,32.060s,27.272s
1.198s,3.593s,28.271s,33.063s,28.260s
1.216s,3.601s,28.254s,33.071s,28.236s
1.186s,3.276s,27.600s,32.063s,27.589s
1.182s,3.743s,28.148s,33.074s,28.131s
1.203s,3.530s,28.348s,33.082s,28.328s
1.186s,3.634s,27.261s,32.083s,27.243s
1.199s,3.456s,28.420s,33.075s,28.402s
1.209s,3.416s,27.449s,32.075s,27.431s
1.184s,3.445s,27.460s,32.091s,27.443s
1.196s,3.493s,27.388s,32.079s,27.371s
1.190s,3.436s,27.456s,32.083s,27.438s
1.206s,3.419s,27.433s,32.060s,27.422s
1.179s,3.672s,28.216s,33.068s,28.205s
1.208s,3.338s,27.517s,32.064s,27.506s
1.162s,3.181s,27.717s,32.060s,27.705s
1.192s,3.268s,27.599s,32.060s,27.588s
1.217s,3.550s,28.296s,33.063s,28.285s
1.177s,3.277s,27.605s,32.060s,27.594s
1.227s,3.551s,27.300s,32.079s,27.282s
1.206s,3.760s,27.104s,32.071s,27.086s
1.211s,3.837s,28.011s,33.059s,28.000s
1.169s,3.681s,28.222s,33.073s,28.209s
1.193s,3.773s,28.095s,33.062s,28.082s
1.218s,3.722s,28.137s,33.078s,28.124s
1.171s,3.353s,27.535s,32.060s,27.524s
1.195s,3.858s,28.017s,33.071s,27.999s
1.207s,3.747s,28.123s,33.078s,28.106s
1.187s,3.277s,27.610s,32.076s,27.591s
1.153s,3.372s,27.542s,32.068s,27.531s
1.129s,3.552s,27.382s,32.064s,27.371s
