23.925s,9.564s,43.662s,17.151s,43.647s
1.187s,3.256s,24.631s,29.075s,24.613s
1.173s,3.597s,25.304s,30.075s,25.287s
1.186s,3.475s,24.415s,29.078s,24.396s
1.197s,3.359s,24.520s,29.076s,24.501s
1.211s,3.603s,25.249s,30.064s,25.238s
1.206s,3.379s,25.490s,30.076s,25.472s
1.198s,3.389s,24.481s,29.069s,24.468s
1.167s,3.589s,24.308s,29.065s,24.296s
1.191s,3.339s,24.537s,29.068s,24.525s
1.200s,3.667s,25.199s,30.068s,25.188s
1.191s,3.737s,25.134s,30.064s,25.123s
1.211s,3.374s,24.486s,29.072s,24.474s
1.192s,3.304s,24.576s,29.072s,24.564s
1.172s,3.572s,24.319s,29.064s,24.307s
1.195s,3.395s,24.477s,29.068s,24.462s
1.211s,3.463s,25.386s,30.061s,25.373s
1.200s,3.548s,25.318s,30.067s,25.307s
1.187s,3.648s,25.236s,30.071s,25.225s
1.209s,3.496s,25.357s,30.063s,25.346s
1.212s,3.454s,25.414s,30.081s,25.402s
1.205s,3.112s,24.762s,29.080s,24.744s
1.204s,3.634s,25.235s,30.075s,25.218s
1.174s,3.427s,24.476s,29.079s,24.459s
1.180s,3.524s,24.374s,29.079s,24.356s
1.193s,3.509s,25.376s,30.079s,25.359s
1.188s,3.556s,25.334s,30.079s,25.316s
1.181s,3.517s,25.370s,30.068s,25.350s
1.184s,3.475s,25.417s,30.077s,25.397s
1.194s,3.444s,24.432s,29.071s,24.414s
1.186s,3.374s,24.508s,29.069s,24.496s
1.168s,3.298s,24.612s,29.079s,24.594s
1.188s,3.446s,25.424s,30.060s,25.413s
1.220s,3.586s,25.273s,30.080s,25.261s
1.190s,3.392s,24.480s,29.063s,24.470s
1.202s,3.517s,25.343s,30.063s,25.332s
1.227s,3.500s,25.341s,30.068s,25.329s
1.201s,3.750s,25.119s,30.071s,25.101s
1.191s,3.670s,25.205s,30.067s,25.194s
1.194s,3.568s,25.301s,30.064s,25.290s
1.194s,3.463s,25.408s,30.066s,25.395s
1.208s,3.597s,25.262s,30.068s,25.247s
1.199s,3.613s,25.258s,30.071s,25.244s
1.182s,3.517s,25.368s,30.068s,25.357s
1.227s,3.369s,24.488s,29.086s,24.475s
1.190s,3.384s,24.489s,29.064s,24.478s
1.205s,3.528s,25.330s,30.064s,25.318s
1.190s,3.451s,25.431s,30.073s,25.411s
1.187s,3.666s,25.227s,30.081s,25.207s
1.228s,3.698s,25.146s,30.072s,25.134s
1.184s,3.448s,24.451s,29.084s,24.432s
1.162s,3.454s,24.449s,29.065s,24.436s
1.180s,3.418s,24.469s,29.068s,24.457s
1.174s,3.506s,25.382s,30.064s,25.371s
1.180s,3.468s,25.414s,30.064s,25.403s
