5.203s,4.782s,37.641s,47.628s,37.609s
1.181s,3.594s,29.293s,34.070s,29.281s
1.151s,3.550s,29.367s,34.069s,29.354s
1.179s,3.535s,29.344s,34.060s,29.333s
1.154s,3.499s,29.415s,34.069s,29.396s
1.193s,3.639s,29.239s,34.073s,29.220s
1.196s,3.494s,29.368s,34.059s,29.357s
1.185s,3.470s,29.410s,34.066s,29.397s
1.175s,3.417s,29.472s,34.065s,29.460s
1.210s,3.389s,29.458s,34.059s,29.448s
1.185s,3.561s,29.316s,34.063s,29.302s
1.196s,3.547s,29.321s,34.065s,29.309s
1.184s,3.646s,29.241s,34.072s,29.229s
1.195s,3.678s,29.182s,34.056s,29.171s
1.214s,3.724s,29.130s,34.068s,29.118s
1.212s,3.368s,29.486s,34.066s,29.472s
1.200s,3.439s,29.424s,34.065s,29.412s
1.178s,3.657s,29.228s,34.064s,29.217s
1.208s,3.580s,29.271s,34.060s,29.260s
1.189s,3.587s,29.295s,34.072s,29.276s
1.188s,3.403s,29.484s,34.075s,29.465s
1.183s,3.565s,29.329s,34.078s,29.308s
1.248s,3.706s,30.116s,35.070s,30.098s
1.176s,3.522s,29.361s,34.060s,29.349s
1.197s,3.409s,29.457s,34.063s,29.447s
1.192s,3.602s,29.269s,34.064s,29.258s
1.218s,3.739s,29.097s,34.055s,29.086s
1.191s,3.486s,29.382s,34.060s,29.370s
1.189s,3.550s,29.319s,34.060s,29.308s
1.194s,3.456s,29.421s,34.071s,29.406s
1.202s,3.546s,29.310s,34.060s,29.299s
1.182s,3.365s,29.511s,34.059s,29.501s
1.189s,3.389s,29.480s,34.059s,29.469s
1.207s,3.454s,29.394s,34.056s,29.383s
1.198s,3.469s,29.407s,34.075s,29.390s
1.186s,3.385s,29.498s,34.070s,29.481s
1.220s,3.660s,29.184s,34.066s,29.171s
1.215s,3.582s,29.261s,34.059s,29.250s
1.185s,3.560s,29.315s,34.060s,29.303s
1.169s,3.377s,29.513s,34.061s,29.501s
1.211s,3.452s,29.396s,34.060s,29.385s
1.192s,3.457s,29.414s,34.064s,29.403s
1.173s,3.580s,29.313s,34.067s,29.295s
1.198s,3.427s,29.439s,34.065s,29.423s
1.184s,3.703s,29.174s,34.063s,29.160s
1.174s,3.226s,29.685s,34.087s,29.668s
1.197s,3.436s,29.435s,34.069s,29.416s
1.206s,3.397s,29.455s,34.059s,29.441s
1.201s,3.373s,29.490s,34.065s,29.477s
1.210s,3.638s,29.211s,34.061s,29.199s
1.149s,3.300s,29.609s,34.059s,29.598s
1.183s,3.457s,29.415s,34.056s,29.404s
1.137s,3.373s,29.564s,34.074s,29.542s
1.130s,3.239s,29.690s,34.059s,29.679s
1.147s,3.486s,29.434s,34.068s,29.420s
