1.177s,3.575s,27.310s,32.062s,27.300s
1.142s,3.464s,23.475s,28.081s,23.458s
1.149s,3.331s,23.588s,28.069s,23.572s
1.139s,3.271s,23.660s,28.071s,23.650s
1.153s,3.311s,23.606s,28.070s,23.596s
1.187s,3.513s,23.377s,28.078s,23.360s
1.140s,3.456s,23.477s,28.074s,23.460s
1.136s,3.422s,23.525s,28.084s,23.506s
1.143s,3.219s,23.700s,28.063s,23.689s
1.172s,3.539s,23.359s,28.071s,23.348s
1.126s,3.330s,23.610s,28.067s,23.600s
1.163s,3.365s,23.539s,28.068s,23.528s
1.158s,3.404s,23.505s,28.068s,23.494s
1.147s,3.416s,23.503s,28.067s,23.493s
1.147s,3.136s,23.778s,28.063s,23.768s
1.158s,3.508s,23.387s,28.054s,23.377s
1.163s,3.572s,23.345s,28.081s,23.329s
1.143s,3.580s,23.342s,28.067s,23.332s
1.162s,3.483s,23.418s,28.064s,23.407s
1.138s,3.479s,23.453s,28.071s,23.443s
1.148s,3.165s,23.763s,28.077s,23.747s
1.142s,3.475s,23.455s,28.074s,23.438s
1.134s,3.333s,23.605s,28.074s,23.589s
1.137s,3.218s,23.711s,28.067s,23.701s
1.131s,3.267s,23.671s,28.070s,23.654s
1.166s,3.515s,23.378s,28.060s,23.367s
1.154s,3.424s,23.492s,28.071s,23.482s
1.144s,3.452s,23.467s,28.063s,23.456s
1.144s,3.249s,23.664s,28.058s,23.654s
1.143s,3.506s,23.416s,28.066s,23.406s
1.142s,3.320s,23.604s,28.067s,23.593s
1.199s,3.225s,23.657s,28.082s,23.640s
1.141s,3.513s,23.412s,28.067s,23.402s
1.140s,3.419s,23.510s,28.070s,23.500s
1.149s,3.271s,23.631s,28.052s,23.620s
1.146s,3.494s,23.429s,28.069s,23.417s
1.145s,3.303s,23.614s,28.063s,23.604s
1.137s,3.564s,23.357s,28.059s,23.346s
1.162s,3.204s,23.706s,28.073s,23.697s
1.238s,3.268s,23.559s,28.066s,23.549s
1.148s,3.428s,23.489s,28.067s,23.479s
1.139s,3.228s,23.696s,28.064s,23.684s
1.138s,3.364s,23.575s,28.078s,23.559s
1.140s,3.282s,23.635s,28.059s,23.625s
1.201s,3.314s,23.558s,28.074s,23.541s
1.146s,3.267s,23.672s,28.086s,23.655s
1.194s,3.291s,23.579s,28.066s,23.563s
1.144s,3.186s,23.750s,28.082s,23.733s
1.136s,3.174s,23.758s,28.069s,23.741s
1.146s,3.476s,23.458s,28.082s,23.442s
1.138s,3.202s,23.741s,28.082s,23.724s
1.141s,3.183s,23.748s,28.073s,23.732s
1.152s,3.589s,23.337s,28.079s,23.319s
1.243s,3.412s,23.426s,28.081s,23.410s
1.144s,3.177s,23.746s,28.068s,23.735s
