5.376s,5.137s,30.163s,40.677s,28.563s
1.184s,3.634s,23.242s,28.062s,23.229s
1.170s,3.522s,23.358s,28.052s,23.347s
1.171s,3.621s,23.289s,28.082s,23.272s
1.193s,3.602s,23.270s,28.066s,23.257s
1.188s,3.531s,23.348s,28.067s,23.337s
1.182s,3.597s,23.275s,28.056s,23.264s
1.152s,3.523s,23.375s,28.051s,23.365s
1.188s,3.476s,23.403s,28.068s,23.392s
1.187s,3.521s,23.368s,28.077s,23.356s
1.175s,3.630s,23.266s,28.072s,23.255s
1.204s,3.404s,22.451s,27.060s,22.440s
1.193s,3.615s,23.251s,28.060s,23.240s
1.181s,3.652s,23.217s,28.052s,23.206s
1.198s,3.631s,23.237s,28.067s,23.226s
1.178s,3.478s,23.410s,28.068s,23.399s
1.187s,3.429s,23.454s,28.072s,23.443s
1.195s,3.666s,23.214s,28.076s,23.187s
1.182s,3.673s,23.212s,28.068s,23.201s
1.210s,3.626s,23.232s,28.069s,23.220s
1.176s,3.406s,23.473s,28.056s,23.461s
1.186s,3.576s,23.297s,28.060s,23.286s
1.179s,3.460s,23.422s,28.062s,23.408s
1.192s,3.554s,23.331s,28.078s,23.314s
1.167s,3.549s,23.359s,28.077s,23.347s
1.169s,3.383s,22.512s,27.065s,22.499s
1.184s,3.559s,23.336s,28.080s,23.318s
1.170s,3.481s,23.422s,28.074s,23.409s
1.178s,3.486s,23.397s,28.062s,23.383s
1.166s,3.362s,22.537s,27.066s,22.520s
1.195s,3.895s,22.965s,28.056s,22.954s
1.186s,3.787s,23.082s,28.056s,23.070s
1.193s,3.753s,23.125s,28.072s,23.113s
1.197s,3.591s,23.263s,28.052s,23.252s
1.192s,3.581s,23.283s,28.056s,23.271s
1.206s,3.785s,23.083s,28.074s,23.069s
1.201s,3.430s,23.424s,28.056s,23.413s
1.181s,3.667s,23.213s,28.062s,23.200s
1.187s,3.593s,23.291s,28.072s,23.280s
1.183s,3.539s,23.341s,28.064s,23.330s
1.183s,3.554s,23.314s,28.052s,23.303s
1.174s,3.417s,23.495s,28.087s,23.478s
1.183s,3.390s,23.484s,28.057s,23.471s
1.193s,3.502s,23.376s,28.072s,23.365s
1.183s,3.506s,23.381s,28.071s,23.366s
1.163s,3.455s,22.437s,27.056s,22.426s
1.183s,3.555s,23.316s,28.056s,23.305s
1.174s,3.602s,23.300s,28.077s,23.280s
1.197s,3.622s,23.247s,28.067s,23.236s
1.204s,3.516s,23.344s,28.065s,23.332s
1.191s,3.511s,23.371s,28.074s,23.358s
1.191s,3.602s,23.284s,28.078s,23.267s
1.201s,3.482s,23.390s,28.074s,23.374s
1.230s,3.522s,23.302s,28.056s,23.291s
1.193s,3.670s,23.214s,28.078s,23.197s
