15.461s,9.046s,52.577s,17.085s,52.548s
1.199s,3.636s,35.246s,40.082s,35.220s
1.188s,3.681s,35.409s,40.280s,35.390s
1.177s,3.644s,35.253s,40.076s,35.234s
1.165s,3.599s,35.311s,40.077s,35.287s
1.186s,3.354s,35.531s,40.072s,35.515s
1.206s,3.423s,35.473s,40.103s,35.431s
1.181s,3.388s,35.506s,40.076s,35.482s
1.187s,3.380s,35.522s,40.090s,35.505s
1.186s,3.283s,35.597s,40.067s,35.574s
1.182s,3.427s,35.464s,40.074s,35.450s
1.199s,3.272s,35.629s,40.101s,35.613s
1.183s,3.476s,35.416s,40.076s,35.392s
1.183s,3.453s,35.433s,40.070s,35.416s
1.207s,3.493s,35.495s,40.196s,35.479s
1.190s,3.468s,35.426s,40.085s,35.397s
1.201s,3.537s,35.335s,40.075s,35.313s
1.209s,3.564s,35.315s,40.089s,35.283s
1.205s,3.605s,35.269s,40.080s,35.245s
1.200s,3.526s,35.340s,40.067s,35.317s
1.183s,3.500s,35.483s,40.167s,35.449s
1.216s,3.669s,35.180s,40.066s,35.163s
1.210s,3.485s,35.369s,40.065s,35.349s
1.186s,3.669s,35.213s,40.068s,35.179s
1.181s,3.373s,35.553s,40.108s,35.515s
1.173s,3.536s,35.459s,40.169s,35.418s
1.194s,3.486s,35.376s,40.057s,35.354s
1.181s,3.345s,35.555s,40.082s,35.526s
1.191s,3.430s,35.473s,40.095s,35.439s
1.178s,3.338s,35.559s,40.076s,35.539s
1.212s,3.244s,35.667s,40.124s,35.620s
1.205s,3.509s,35.363s,40.077s,35.346s
1.242s,3.635s,35.217s,40.095s,35.187s
1.178s,3.467s,35.419s,40.065s,35.399s
1.191s,3.252s,35.637s,40.081s,35.624s
1.196s,3.404s,35.469s,40.071s,35.451s
1.196s,3.419s,35.535s,40.151s,35.484s
1.196s,3.593s,35.419s,40.209s,35.406s
1.180s,3.575s,35.329s,40.084s,35.309s
1.174s,3.566s,35.327s,40.068s,35.308s
1.201s,3.651s,35.357s,40.209s,35.336s
1.199s,3.265s,35.595s,40.060s,35.573s
1.195s,3.377s,35.500s,40.073s,35.472s
1.187s,3.461s,35.426s,40.075s,35.404s
1.224s,3.628s,35.220s,40.073s,35.195s
1.197s,3.662s,35.215s,40.075s,35.192s
1.183s,3.318s,35.750s,40.252s,35.701s
1.200s,3.277s,35.584s,40.061s,35.571s
1.182s,3.244s,35.641s,40.068s,35.622s
1.211s,3.394s,35.487s,40.093s,35.470s
1.218s,3.717s,35.141s,40.077s,35.116s
1.201s,3.452s,35.408s,40.061s,35.391s
1.182s,3.328s,35.678s,40.190s,35.661s
1.184s,3.487s,35.388s,40.061s,35.371s
1.191s,3.423s,35.597s,40.212s,35.551s
