5.159s,5.094s,29.923s,40.177s,29.810s
1.183s,3.345s,23.549s,28.078s,23.531s
1.171s,3.403s,23.504s,28.079s,23.486s
1.200s,3.503s,23.356s,28.060s,23.345s
1.181s,3.553s,23.349s,28.084s,23.322s
1.196s,3.578s,23.302s,28.077s,23.290s
1.191s,3.371s,23.511s,28.074s,23.494s
1.205s,3.313s,23.564s,28.083s,23.547s
1.174s,3.509s,23.398s,28.082s,23.377s
1.195s,3.451s,23.429s,28.075s,23.411s
1.191s,3.326s,23.559s,28.077s,23.542s
1.196s,3.391s,23.484s,28.072s,23.473s
1.210s,3.637s,24.233s,29.082s,24.216s
1.177s,3.582s,23.307s,28.067s,23.289s
1.188s,3.317s,23.575s,28.081s,23.556s
1.178s,3.615s,23.284s,28.078s,23.267s
1.190s,3.358s,23.529s,28.078s,23.512s
1.186s,3.557s,23.322s,28.067s,23.305s
1.231s,3.470s,23.374s,28.076s,23.355s
1.178s,3.583s,23.313s,28.075s,23.295s
1.181s,3.235s,23.667s,28.083s,23.645s
1.187s,3.413s,23.462s,28.063s,23.444s
1.211s,3.659s,23.196s,28.066s,23.178s
1.204s,3.531s,23.338s,28.074s,23.321s
1.186s,3.412s,23.472s,28.071s,23.454s
1.183s,3.451s,23.436s,28.071s,23.419s
1.178s,3.643s,23.244s,28.066s,23.227s
1.223s,3.502s,23.344s,28.070s,23.323s
1.188s,3.475s,23.414s,28.078s,23.397s
1.198s,3.712s,24.167s,29.078s,24.150s
1.211s,3.627s,24.252s,29.090s,24.235s
1.205s,3.394s,23.475s,28.075s,23.457s
1.193s,3.411s,23.461s,28.066s,23.444s
1.224s,3.377s,23.465s,28.067s,23.447s
1.208s,3.576s,23.298s,28.082s,23.280s
1.196s,3.451s,23.424s,28.072s,23.405s
1.183s,3.595s,23.298s,28.077s,23.281s
1.201s,3.321s,23.558s,28.081s,23.538s
1.212s,3.612s,23.262s,28.087s,23.244s
1.193s,3.364s,23.524s,28.082s,23.507s
1.191s,3.362s,23.521s,28.075s,23.504s
1.192s,3.368s,23.514s,28.075s,23.497s
1.213s,3.641s,23.219s,28.075s,23.202s
1.220s,3.584s,23.258s,28.063s,23.240s
1.192s,3.353s,23.534s,28.080s,23.515s
1.211s,3.336s,23.527s,28.075s,23.509s
1.191s,3.532s,23.350s,28.074s,23.333s
1.202s,3.610s,23.254s,28.067s,23.236s
1.202s,3.656s,23.219s,28.078s,23.198s
1.218s,3.563s,23.289s,28.072s,23.270s
1.222s,3.526s,23.330s,28.079s,23.312s
1.227s,3.697s,24.157s,29.082s,24.140s
1.203s,3.463s,23.411s,28.078s,23.394s
1.171s,3.297s,23.609s,28.078s,23.592s
1.218s,3.543s,23.312s,28.075s,23.295s
