5.267s,4.915s,30.982s,41.166s,30.926s
1.162s,3.419s,24.497s,29.080s,24.478s
1.202s,3.383s,24.489s,29.075s,24.471s
1.189s,3.384s,24.490s,29.064s,24.479s
1.218s,3.633s,24.220s,29.072s,24.209s
1.190s,3.388s,24.495s,29.074s,24.478s
1.187s,3.400s,24.475s,29.064s,24.464s
1.176s,3.440s,24.448s,29.065s,24.436s
1.193s,3.538s,24.332s,29.064s,24.321s
1.191s,3.282s,24.593s,29.067s,24.582s
1.194s,3.336s,24.540s,29.071s,24.529s
1.202s,3.440s,24.427s,29.070s,24.410s
1.198s,3.438s,24.427s,29.064s,24.415s
1.178s,3.541s,24.363s,29.082s,24.345s
1.197s,3.653s,24.232s,29.083s,24.214s
1.189s,3.526s,24.356s,29.072s,24.345s
1.182s,3.168s,24.730s,29.082s,24.714s
1.211s,3.214s,24.651s,29.077s,24.631s
1.183s,3.431s,24.452s,29.067s,24.442s
1.177s,3.483s,24.419s,29.079s,24.401s
1.185s,3.143s,24.758s,29.086s,24.740s
1.194s,3.433s,24.436s,29.064s,24.425s
1.202s,3.337s,24.523s,29.063s,24.512s
1.175s,3.333s,24.553s,29.063s,24.543s
1.187s,3.473s,24.413s,29.074s,24.400s
1.171s,3.486s,24.413s,29.072s,24.402s
1.177s,3.289s,24.604s,29.072s,24.593s
1.182s,3.584s,24.297s,29.064s,24.286s
1.202s,3.285s,24.579s,29.068s,24.568s
1.152s,3.343s,24.571s,29.067s,24.560s
1.186s,3.292s,24.584s,29.063s,24.573s
1.226s,3.579s,24.257s,29.063s,24.246s
1.182s,3.558s,24.327s,29.068s,24.316s
1.200s,3.574s,24.289s,29.064s,24.277s
1.177s,3.321s,24.572s,29.071s,24.561s
1.195s,3.359s,24.526s,29.081s,24.506s
1.168s,3.437s,24.462s,29.068s,24.451s
1.181s,3.177s,24.709s,29.068s,24.698s
1.166s,3.183s,24.720s,29.071s,24.706s
1.169s,3.295s,24.613s,29.078s,24.596s
1.143s,3.393s,24.539s,29.075s,24.521s
1.158s,3.394s,24.524s,29.077s,24.505s
1.218s,3.231s,24.625s,29.075s,24.607s
1.162s,3.148s,24.768s,29.079s,24.752s
1.205s,3.625s,24.240s,29.071s,24.226s
1.183s,3.443s,24.436s,29.064s,24.425s
1.163s,3.217s,24.694s,29.075s,24.676s
1.177s,3.502s,24.409s,29.089s,24.389s
1.189s,3.419s,24.464s,29.072s,24.452s
1.186s,3.467s,24.420s,29.074s,24.403s
1.183s,3.318s,24.576s,29.077s,24.556s
1.176s,3.472s,24.429s,29.078s,24.412s
1.189s,3.600s,24.285s,29.075s,24.267s
1.197s,3.408s,24.464s,29.070s,24.448s
1.213s,3.277s,24.585s,29.077s,24.565s
