18.992s,9.793s,42.278s,11.064s,42.266s
1.176s,3.358s,23.550s,28.085s,23.531s
1.166s,3.389s,23.519s,28.075s,23.501s
1.187s,3.264s,23.617s,28.068s,23.605s
1.185s,3.408s,23.474s,28.068s,23.463s
1.187s,3.600s,23.280s,28.068s,23.268s
1.150s,3.456s,23.461s,28.068s,23.449s
1.183s,3.354s,23.526s,28.065s,23.514s
1.214s,3.449s,23.419s,28.082s,23.398s
1.195s,3.292s,23.586s,28.074s,23.569s
1.175s,3.645s,23.234s,28.055s,23.223s
1.221s,3.621s,23.213s,28.055s,23.202s
1.248s,3.575s,23.254s,28.078s,23.237s
1.198s,3.311s,23.564s,28.074s,23.547s
1.195s,3.399s,23.486s,28.081s,23.466s
1.178s,3.385s,23.512s,28.075s,23.501s
1.200s,3.372s,23.500s,28.074s,23.487s
1.176s,3.419s,23.474s,28.070s,23.461s
1.173s,3.341s,23.570s,28.086s,23.558s
1.176s,3.309s,23.597s,28.084s,23.579s
1.184s,3.317s,23.576s,28.077s,23.556s
1.185s,3.547s,23.339s,28.072s,23.321s
1.192s,3.493s,23.394s,28.081s,23.375s
1.177s,3.445s,23.445s,28.067s,23.427s
1.194s,3.532s,23.338s,28.065s,23.325s
1.180s,3.518s,23.361s,28.060s,23.349s
1.189s,3.322s,23.556s,28.068s,23.544s
1.193s,3.499s,23.374s,28.068s,23.360s
1.190s,3.486s,23.379s,28.056s,23.368s
1.174s,3.240s,23.663s,28.078s,23.650s
1.185s,3.210s,23.682s,28.078s,23.665s
1.174s,3.243s,23.657s,28.074s,23.640s
1.191s,3.630s,24.261s,29.083s,24.243s
1.199s,3.662s,24.210s,29.072s,24.199s
1.197s,3.696s,23.166s,28.061s,23.154s
1.250s,3.509s,23.297s,28.056s,23.285s
1.180s,3.266s,23.617s,28.065s,23.605s
1.181s,3.702s,23.191s,28.074s,23.174s
1.188s,3.400s,23.486s,28.075s,23.468s
1.177s,3.326s,23.576s,28.080s,23.558s
1.184s,3.321s,23.574s,28.079s,23.557s
1.172s,3.460s,23.450s,28.082s,23.433s
1.179s,3.287s,23.617s,28.084s,23.598s
1.210s,3.454s,23.402s,28.068s,23.391s
1.159s,3.474s,23.439s,28.073s,23.427s
1.196s,3.335s,23.535s,28.067s,23.524s
1.199s,3.559s,23.301s,28.060s,23.290s
1.187s,3.571s,23.306s,28.064s,23.294s
1.243s,3.676s,23.150s,28.069s,23.137s
1.224s,3.512s,23.331s,28.068s,23.320s
1.220s,3.627s,23.217s,28.065s,23.205s
1.187s,3.258s,23.638s,28.084s,23.610s
1.185s,3.695s,23.198s,28.078s,23.181s
1.173s,3.299s,23.599s,28.072s,23.580s
1.219s,3.431s,23.432s,28.082s,23.415s
