24.131s,10.601s,36.457s,11.190s,36.419s
1.244s,3.518s,23.298s,28.062s,23.285s
1.181s,3.677s,23.204s,28.064s,23.193s
1.195s,3.649s,23.234s,28.079s,23.216s
1.197s,3.525s,23.349s,28.072s,23.326s
1.179s,3.340s,23.562s,28.082s,23.545s
1.196s,3.331s,23.541s,28.068s,23.529s
1.200s,3.577s,23.285s,28.064s,23.274s
1.177s,3.572s,23.329s,28.080s,23.310s
1.197s,3.546s,23.322s,28.065s,23.309s
1.205s,3.477s,23.377s,28.059s,23.358s
1.195s,3.551s,23.309s,28.057s,23.297s
1.180s,3.249s,23.643s,28.072s,23.631s
1.203s,3.313s,23.550s,28.068s,23.539s
1.212s,3.483s,23.377s,28.072s,23.365s
1.191s,3.393s,23.482s,28.067s,23.471s
1.185s,3.357s,23.524s,28.068s,23.513s
1.179s,3.441s,23.447s,28.068s,23.436s
1.182s,3.525s,23.364s,28.072s,23.353s
1.175s,3.403s,23.494s,28.073s,23.482s
1.176s,3.450s,23.434s,28.061s,23.422s
1.195s,3.577s,23.290s,28.064s,23.279s
1.187s,3.284s,23.600s,28.072s,23.589s
1.220s,3.537s,23.306s,28.064s,23.294s
1.180s,3.349s,23.538s,28.068s,23.526s
1.189s,3.493s,23.377s,28.060s,23.366s
1.196s,3.373s,23.498s,28.068s,23.486s
1.174s,3.318s,23.571s,28.064s,23.560s
1.187s,3.521s,23.351s,28.060s,23.340s
1.198s,3.595s,23.262s,28.057s,23.250s
1.178s,3.476s,23.418s,28.073s,23.406s
1.190s,3.482s,23.394s,28.068s,23.383s
1.176s,3.410s,23.476s,28.063s,23.462s
1.192s,3.443s,23.438s,28.074s,23.425s
1.180s,3.398s,23.489s,28.068s,23.478s
1.183s,3.394s,23.493s,28.071s,23.482s
1.191s,3.633s,23.241s,28.066s,23.228s
1.172s,3.419s,23.480s,28.072s,23.468s
1.210s,3.419s,23.443s,28.072s,23.427s
1.157s,3.640s,23.271s,28.069s,23.259s
1.184s,3.526s,23.358s,28.068s,23.346s
1.179s,3.496s,23.399s,28.075s,23.385s
1.182s,3.560s,23.328s,28.072s,23.317s
1.197s,3.585s,23.309s,28.092s,23.282s
1.192s,3.324s,23.565s,28.082s,23.553s
1.185s,3.329s,23.559s,28.074s,23.542s
1.201s,3.586s,23.288s,28.076s,23.277s
1.154s,3.435s,23.479s,28.070s,23.467s
1.220s,3.624s,23.224s,28.068s,23.212s
1.180s,3.408s,23.494s,28.084s,23.467s
1.180s,3.503s,23.398s,28.081s,23.385s
1.199s,3.533s,23.331s,28.065s,23.319s
1.190s,3.413s,23.471s,28.075s,23.454s
1.173s,3.368s,23.527s,28.068s,23.515s
1.191s,3.604s,23.287s,28.082s,23.269s
