5.323s,4.990s,29.781s,40.095s,29.766s
1.183s,3.576s,23.314s,28.074s,23.301s
1.204s,3.549s,23.318s,28.072s,23.307s
1.168s,3.572s,23.327s,28.067s,23.312s
1.207s,3.612s,23.253s,28.073s,23.241s
1.171s,3.519s,23.382s,28.073s,23.370s
1.192s,3.449s,23.424s,28.066s,23.414s
1.167s,3.390s,23.505s,28.063s,23.487s
1.184s,3.509s,23.388s,28.083s,23.371s
1.164s,3.625s,23.278s,28.068s,23.267s
1.168s,3.423s,22.471s,27.063s,22.453s
1.159s,3.417s,22.499s,27.076s,22.487s
1.187s,3.655s,23.220s,28.064s,23.209s
1.177s,3.572s,23.326s,28.075s,23.315s
1.184s,3.509s,23.374s,28.068s,23.363s
1.186s,3.490s,23.396s,28.074s,23.380s
1.205s,3.578s,23.279s,28.063s,23.261s
1.167s,3.336s,22.571s,27.076s,22.553s
1.179s,3.586s,23.297s,28.063s,23.286s
1.174s,3.425s,23.468s,28.068s,23.457s
1.201s,3.783s,23.086s,28.072s,23.075s
1.172s,3.725s,23.158s,28.056s,23.147s
1.173s,3.666s,23.249s,28.089s,23.229s
1.171s,3.535s,23.378s,28.084s,23.359s
1.156s,3.538s,23.368s,28.063s,23.350s
1.185s,3.531s,23.357s,28.074s,23.344s
1.193s,3.351s,23.531s,28.076s,23.520s
1.174s,3.535s,22.358s,27.067s,22.340s
1.183s,3.577s,22.299s,27.061s,22.287s
1.182s,3.484s,23.401s,28.068s,23.390s
1.206s,3.785s,23.092s,28.084s,23.074s
1.176s,3.318s,22.574s,27.069s,22.562s
1.183s,3.401s,22.487s,27.072s,22.472s
1.179s,3.635s,23.248s,28.062s,23.234s
1.166s,3.555s,23.342s,28.064s,23.331s
1.166s,3.286s,22.626s,27.079s,22.609s
1.204s,3.557s,23.302s,28.063s,23.284s
1.188s,3.448s,23.419s,28.056s,23.408s
1.194s,3.629s,23.242s,28.066s,23.225s
1.189s,3.331s,22.556s,27.078s,22.539s
1.175s,3.373s,22.530s,27.079s,22.513s
1.203s,3.625s,23.248s,28.078s,23.231s
1.190s,3.650s,23.227s,28.068s,23.215s
1.187s,3.540s,23.344s,28.072s,23.326s
1.191s,3.518s,23.357s,28.066s,23.340s
1.194s,3.668s,23.200s,28.063s,23.182s
1.211s,3.336s,23.524s,28.072s,23.513s
1.215s,3.763s,23.097s,28.076s,23.086s
1.200s,3.614s,23.248s,28.063s,23.230s
1.167s,3.352s,22.552s,27.073s,22.540s
1.182s,3.732s,23.145s,28.060s,23.133s
1.190s,3.455s,23.416s,28.062s,23.399s
1.187s,3.470s,23.425s,28.083s,23.408s
1.212s,3.558s,22.300s,27.071s,22.282s
1.158s,3.371s,22.537s,27.067s,22.519s
