18.340s,9.868s,52.874s,21.084s,52.851s
1.146s,3.428s,35.500s,40.075s,35.477s
1.186s,3.654s,35.393s,40.233s,35.372s
1.200s,3.421s,35.477s,40.099s,35.420s
1.185s,3.525s,35.390s,40.101s,35.365s
1.198s,3.618s,35.282s,40.098s,35.241s
1.197s,3.477s,35.417s,40.093s,35.389s
1.185s,3.525s,35.478s,40.188s,35.456s
1.190s,3.441s,35.466s,40.097s,35.441s
1.188s,3.556s,35.490s,40.235s,35.403s
1.194s,3.437s,35.457s,40.088s,35.425s
1.185s,3.601s,35.289s,40.077s,35.265s
1.193s,3.697s,35.182s,40.073s,35.158s
1.173s,3.457s,35.536s,40.167s,35.505s
1.202s,3.476s,35.483s,40.162s,35.445s
1.205s,3.568s,35.309s,40.083s,35.286s
1.193s,3.644s,35.234s,40.072s,35.214s
1.191s,3.470s,35.409s,40.071s,35.394s
1.189s,3.651s,35.227s,40.068s,35.207s
1.185s,3.656s,35.253s,40.095s,35.219s
1.177s,3.639s,35.257s,40.073s,35.236s
1.185s,3.386s,35.498s,40.070s,35.484s
1.179s,3.578s,35.327s,40.085s,35.306s
1.186s,3.426s,35.449s,40.062s,35.435s
1.187s,3.538s,35.330s,40.056s,35.319s
1.208s,3.420s,35.446s,40.076s,35.415s
1.198s,3.487s,35.372s,40.058s,35.359s
1.181s,3.688s,35.544s,40.414s,35.390s
1.172s,3.400s,35.499s,40.072s,35.479s
1.191s,3.462s,35.427s,40.081s,35.407s
1.191s,3.505s,35.369s,40.066s,35.355s
1.174s,3.544s,35.347s,40.066s,35.329s
1.183s,3.372s,35.528s,40.084s,35.508s
1.206s,3.656s,35.229s,40.092s,35.197s
1.188s,3.673s,35.211s,40.073s,35.190s
1.183s,3.633s,35.346s,40.164s,35.319s
1.198s,3.542s,35.337s,40.077s,35.320s
1.210s,3.372s,35.494s,40.077s,35.473s
1.194s,3.533s,35.357s,40.084s,35.341s
1.183s,3.570s,35.488s,40.242s,35.466s
1.202s,3.633s,35.245s,40.080s,35.213s
1.198s,3.463s,35.418s,40.080s,35.390s
1.174s,3.473s,35.431s,40.080s,35.396s
1.185s,3.431s,35.665s,40.282s,35.651s
1.177s,3.372s,35.811s,40.361s,35.782s
1.181s,3.501s,35.499s,40.182s,35.474s
1.197s,3.502s,35.356s,40.056s,35.340s
1.203s,3.457s,35.448s,40.109s,35.409s
1.178s,3.527s,35.374s,40.081s,35.350s
1.181s,3.398s,35.686s,40.265s,35.673s
1.168s,3.340s,35.608s,40.116s,35.585s
1.175s,3.344s,35.540s,40.060s,35.528s
1.181s,3.600s,35.307s,40.089s,35.280s
1.199s,3.706s,35.146s,40.053s,35.132s
1.203s,3.674s,35.195s,40.073s,35.174s
