5.627s,5.028s,30.501s,41.157s,30.488s
1.218s,3.574s,24.274s,29.067s,24.263s
1.187s,3.583s,23.285s,28.056s,23.273s
1.178s,3.577s,23.310s,28.066s,23.297s
1.204s,3.451s,23.423s,28.079s,23.405s
1.179s,3.470s,23.416s,28.067s,23.398s
1.189s,3.510s,23.378s,28.079s,23.360s
1.167s,3.381s,23.507s,28.056s,23.496s
1.192s,3.436s,23.436s,28.065s,23.419s
1.178s,3.764s,24.129s,29.072s,24.118s
1.176s,3.682s,23.198s,28.057s,23.186s
1.196s,3.476s,23.402s,28.074s,23.385s
1.222s,3.642s,24.215s,29.080s,24.196s
1.223s,3.617s,24.241s,29.083s,24.220s
1.195s,3.423s,23.455s,28.075s,23.437s
1.212s,3.356s,23.487s,28.056s,23.476s
1.212s,3.653s,23.186s,28.052s,23.174s
1.201s,3.765s,24.108s,29.075s,24.097s
1.169s,3.537s,23.354s,28.061s,23.342s
1.193s,3.653s,24.227s,29.074s,24.214s
1.197s,3.468s,23.400s,28.066s,23.383s
1.186s,3.568s,23.305s,28.061s,23.293s
1.206s,3.382s,23.470s,28.060s,23.459s
1.179s,3.612s,23.273s,28.065s,23.261s
1.201s,3.696s,23.169s,28.067s,23.151s
1.190s,3.527s,23.356s,28.074s,23.338s
1.175s,3.467s,23.421s,28.064s,23.410s
1.179s,3.544s,23.339s,28.064s,23.328s
1.175s,3.689s,23.204s,28.069s,23.185s
1.205s,3.682s,23.183s,28.071s,23.165s
1.187s,3.477s,23.407s,28.072s,23.396s
1.197s,3.454s,23.421s,28.072s,23.409s
1.180s,3.758s,24.131s,29.071s,24.114s
1.223s,3.583s,23.253s,28.060s,23.242s
1.197s,3.716s,24.157s,29.071s,24.143s
1.180s,3.733s,23.162s,28.076s,23.143s
1.181s,3.414s,23.467s,28.063s,23.449s
1.166s,3.408s,23.500s,28.075s,23.482s
1.172s,3.417s,23.497s,28.087s,23.479s
1.170s,3.480s,23.415s,28.067s,23.398s
1.198s,3.585s,23.296s,28.080s,23.278s
1.174s,3.666s,23.219s,28.060s,23.208s
1.180s,3.443s,23.439s,28.064s,23.428s
1.183s,3.559s,23.318s,28.061s,23.306s
1.189s,3.706s,24.183s,29.079s,24.165s
1.169s,3.508s,23.398s,28.076s,23.380s
1.193s,3.415s,23.469s,28.078s,23.444s
1.189s,3.662s,23.215s,28.068s,23.204s
1.186s,3.400s,23.471s,28.057s,23.458s
1.228s,3.737s,24.103s,29.069s,24.091s
1.199s,3.755s,24.126s,29.081s,24.107s
1.198s,3.632s,23.244s,28.074s,23.227s
1.195s,3.394s,23.470s,28.060s,23.459s
1.169s,3.365s,23.544s,28.079s,23.526s
1.191s,3.545s,24.327s,29.063s,24.316s
